frames,time,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,simulation_19,simulation_20,simulation_21,simulation_22,simulation_23,simulation_24,simulation_25,simulation_26,simulation_27,simulation_28,simulation_29,simulation_30,simulation_31,simulation_32,simulation_33,simulation_34,simulation_35,simulation_36,simulation_37,simulation_38,simulation_39,simulation_40,simulation_41,simulation_42,simulation_43,simulation_44,simulation_45,simulation_46,simulation_47,simulation_48,simulation_49,simulation_50,simulation_51,simulation_52,simulation_53,simulation_54,simulation_55,simulation_56,simulation_57,simulation_58,simulation_59,simulation_60,simulation_61,simulation_62,simulation_63,simulation_64,simulation_65,simulation_66,simulation_67,simulation_68,simulation_69,simulation_70,simulation_71,simulation_72,simulation_73,simulation_74,simulation_75,simulation_76,simulation_77,simulation_78,simulation_79,simulation_80,simulation_81,simulation_82,simulation_83,simulation_84,simulation_85,simulation_86,simulation_87,simulation_88,simulation_89,simulation_90,simulation_91,simulation_92,simulation_93,simulation_94,simulation_95
0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0.5,5,7,4,7,6,6,8,8,6,7,6,5,8,6,6,9,6,4,6,5,7,8,11,5,4,6,4,6,6,6,7,2,6,9,5,7,4,8,5,7,5,5,7,8,7,8,8,4,7,8,6,5,9,6,7,8,5,8,7,6,9,5,6,5,6,5,7,5,7,5,6,6,7,5,5,9,4,5,4,8,8,5,6,6,6,7,6,8,6,6,7,9,8,9,7,4
2,1.0,8,10,11,10,9,9,11,11,11,13,11,7,11,10,11,13,9,8,10,9,8,13,12,8,7,8,5,8,9,6,7,6,9,10,6,9,8,9,11,10,9,9,9,12,11,9,11,7,7,11,9,9,12,10,9,10,7,15,8,9,11,8,7,9,10,12,12,7,11,10,7,9,10,8,9,9,7,9,10,13,11,6,10,9,12,6,12,11,8,9,10,13,9,14,10,10
3,1.5,12,10,13,10,12,13,10,12,9,13,12,8,15,13,11,15,11,9,11,13,12,10,14,10,9,9,9,11,8,8,10,9,10,9,10,12,8,10,13,13,9,10,8,12,9,9,11,13,9,12,10,10,14,12,13,10,7,18,10,12,12,9,8,11,12,12,13,9,14,11,11,11,11,9,12,12,10,7,13,16,14,11,11,13,11,10,11,14,9,14,12,12,13,14,11,7
4,2.0,15,12,13,10,12,16,9,10,12,10,16,8,12,15,12,15,11,11,14,14,15,11,16,11,11,12,11,13,9,12,11,9,13,9,12,14,10,10,13,16,10,13,9,11,12,9,11,10,13,14,9,12,15,14,16,12,9,18,12,10,9,9,8,13,14,14,13,12,16,8,14,11,11,7,12,12,14,11,14,15,12,12,14,11,9,9,12,11,12,14,14,11,15,15,13,7
5,2.5,14,13,15,11,14,13,14,14,12,10,17,11,12,15,14,14,13,11,17,13,14,12,16,11,9,10,12,14,13,13,13,9,12,9,12,13,10,9,14,15,11,13,11,13,13,13,11,11,14,11,11,12,15,13,18,12,10,18,12,6,9,13,10,12,14,14,14,15,14,8,15,13,13,9,10,11,13,10,15,17,12,10,17,10,11,11,12,13,12,14,11,13,16,15,13,11
6,3.0,11,14,16,12,11,15,15,14,11,12,17,12,13,14,13,14,14,13,17,12,12,13,14,10,12,13,8,15,14,15,13,8,13,8,13,15,13,14,14,15,14,14,11,15,15,13,11,10,14,12,11,14,15,12,16,12,12,12,11,9,8,13,13,13,15,13,17,15,14,9,13,13,12,14,10,10,11,12,15,16,12,15,14,11,12,11,13,13,12,12,12,14,13,13,12,10
7,3.5,11,14,15,15,13,16,17,14,12,14,16,9,11,15,14,16,14,12,15,13,12,10,12,12,13,13,7,16,12,14,13,11,12,9,15,16,12,14,14,17,13,11,12,15,13,13,11,10,14,13,12,13,12,11,14,14,9,12,14,13,10,13,16,14,16,14,15,14,11,11,14,12,13,14,7,12,12,13,15,16,10,15,15,13,13,11,13,11,9,14,12,14,17,14,12,11
8,4.0,11,13,15,16,15,14,17,14,13,15,13,10,12,17,16,15,14,12,14,12,10,9,14,13,10,13,12,13,12,13,14,11,10,11,12,16,12,15,15,18,12,11,12,14,12,11,12,11,15,15,11,11,14,12,12,14,11,10,14,12,10,12,16,16,15,13,14,12,13,14,11,14,15,12,10,12,11,13,14,15,11,12,19,15,12,14,14,11,10,15,10,13,14,14,10,11
9,4.5,11,15,13,16,16,13,17,10,15,14,13,11,12,16,17,14,13,14,16,14,11,9,13,12,8,13,14,13,13,12,13,12,14,12,12,15,12,16,15,13,12,15,12,16,12,13,11,11,15,14,12,10,13,10,13,15,12,11,14,13,11,13,15,17,14,13,14,13,14,15,13,15,14,11,12,13,11,13,14,14,12,15,19,13,12,14,12,11,12,13,10,12,16,16,11,13
