frames,time,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,simulation_19,simulation_20,simulation_21,simulation_22,simulation_23,simulation_24,simulation_25,simulation_26,simulation_27,simulation_28,simulation_29,simulation_30,simulation_31,simulation_32,simulation_33,simulation_34,simulation_35,simulation_36,simulation_37,simulation_38,simulation_39,simulation_40,simulation_41,simulation_42,simulation_43,simulation_44,simulation_45,simulation_46,simulation_47,simulation_48,simulation_49,simulation_50,simulation_51,simulation_52,simulation_53,simulation_54,simulation_55,simulation_56,simulation_57,simulation_58,simulation_59,simulation_60,simulation_61,simulation_62,simulation_63,simulation_64,simulation_65,simulation_66,simulation_67,simulation_68,simulation_69,simulation_70,simulation_71,simulation_72,simulation_73,simulation_74,simulation_75,simulation_76,simulation_77,simulation_78,simulation_79,simulation_80,simulation_81,simulation_82,simulation_83,simulation_84,simulation_85,simulation_86,simulation_87,simulation_88,simulation_89,simulation_90,simulation_91,simulation_92,simulation_93,simulation_94,simulation_95
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.5,6,6,5,7,6,5,8,7,8,8,6,4,7,6,5,8,6,5,6,4,6,7,10,5,3,5,4,5,6,6,6,2,6,8,5,6,5,7,6,6,7,4,8,7,7,8,8,5,8,8,6,4,8,7,6,8,5,9,6,5,9,7,6,5,7,4,6,6,7,5,6,5,7,5,6,9,4,6,4,8,8,5,6,6,6,6,5,7,5,6,7,8,7,8,8,3
2,1.0,4,4,8,5,3,4,5,5,5,6,5,5,5,5,5,4,4,6,4,6,3,6,3,4,4,3,4,4,4,4,2,5,5,4,4,4,7,4,6,5,5,4,5,5,5,3,5,3,4,4,5,4,4,6,3,3,5,7,3,6,3,4,2,5,5,7,5,4,6,7,4,4,4,4,4,3,4,6,7,5,5,3,5,5,7,2,6,3,4,5,3,4,3,6,3,7
3,1.5,5,2,2,4,5,6,2,2,2,2,2,1,4,4,2,5,4,3,3,5,4,2,2,4,3,5,5,4,2,5,4,3,1,3,6,5,2,3,5,5,2,3,2,1,3,2,3,6,4,1,3,2,3,4,5,5,3,3,4,4,3,2,1,3,3,3,2,4,5,4,5,5,3,4,4,5,3,1,5,3,4,6,3,5,2,7,1,4,2,7,3,4,5,2,2,1
4,2.0,3,3,2,4,4,4,1,1,5,3,4,2,1,2,2,1,1,3,4,3,5,2,2,2,2,5,3,5,3,4,3,2,4,2,3,4,4,3,3,3,2,3,3,2,3,3,2,2,4,2,2,2,2,4,3,3,4,3,3,1,2,1,1,4,4,3,3,4,3,3,3,2,1,2,2,2,6,4,3,1,2,1,5,2,1,1,3,1,3,3,2,1,2,1,3,2
5,2.5,1,2,4,3,2,1,5,4,2,2,1,3,2,2,3,1,2,2,3,2,1,2,1,1,3,1,3,2,5,3,4,2,2,2,2,2,3,1,1,2,2,2,3,2,2,4,1,5,1,1,4,1,1,2,2,2,2,1,1,2,2,4,4,1,2,2,2,3,3,2,2,2,3,7,1,1,1,2,2,3,2,0,4,2,3,3,2,3,2,2,1,3,3,1,3,5
6,3.0,1,2,2,3,2,4,2,1,2,3,1,3,2,1,2,3,3,3,2,1,2,2,1,2,4,4,1,3,3,3,2,3,3,1,3,3,4,5,1,2,4,2,1,2,2,1,1,2,2,2,2,2,1,2,1,2,3,1,2,5,3,2,4,2,1,2,3,2,1,3,1,1,1,5,3,2,1,3,3,1,3,5,2,2,2,2,1,2,1,1,2,2,0,0,1,2
7,3.5,1,0,2,3,4,2,3,2,2,3,0,2,2,1,2,3,1,1,1,2,2,0,1,3,3,2,1,2,1,1,2,3,1,3,2,1,1,2,1,3,1,1,1,1,2,4,1,2,2,2,2,1,0,2,0,2,3,2,4,5,3,3,3,2,1,2,2,2,3,3,3,3,3,2,2,3,1,2,1,2,1,4,2,2,2,2,1,0,1,2,2,1,4,2,3,3
8,4.0,2,1,1,2,2,1,2,2,1,1,1,3,2,2,2,1,2,1,2,1,1,1,3,2,1,1,5,1,4,1,2,2,1,3,2,1,0,2,3,1,1,1,1,1,2,1,3,2,2,3,2,1,3,3,1,1,4,1,1,2,2,2,2,2,1,1,2,2,3,3,2,3,2,2,3,2,1,1,1,1,1,1,4,2,2,3,2,2,3,1,2,1,1,1,1,1
9,4.5,2,2,0,1,2,1,1,2,3,2,1,4,0,2,2,1,2,2,3,2,2,2,2,1,1,2,3,1,2,2,1,3,5,3,2,2,3,1,2,0,2,4,1,2,2,2,1,2,1,0,3,4,1,2,2,1,2,2,1,2,2,2,1,2,0,3,1,2,2,1,3,2,0,1,3,2,2,2,3,1,2,3,1,0,2,1,2,2,4,0,3,1,3,2,3,2
10,5.0,1,1,2,2,1,4,1,5,1,2,2,3,3,0,1,0,1,2,0,1,2,2,2,1,3,1,2,0,3,2,2,2,2,1,2,1,2,1,1,0,2,2,2,0,3,2,2,2,1,1,2,2,2,2,1,1,0,1,1,1,1,2,1,1,2,2,3,3,1,1,1,2,1,0,2,1,1,2,1,1,1,1,3,2,1,3,2,2,1,2,2,2,2,2,2,1
