frame,time,name,site,position,twist,superhelical,global_twist,global_superhelical
0,0.0,EXT_L,EXT,-3950.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
0,0.0,ori,ori,2000.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
0,0.0,EXT_R,EXT,8000.0,0.0,-0.06,-213.62830044410595,-0.06
1,0.25,EXT_L,EXT,-3950.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
1,0.25,ori,ori,2000.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
1,0.25,EXT_R,EXT,8000.0,0.0,-0.06,-213.62830044410595,-0.06
2,0.5,EXT_L,EXT,-3950.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
2,0.5,ori,ori,2000.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
2,0.5,EXT_R,EXT,8000.0,0.0,-0.06,-213.62830044410595,-0.06
3,0.75,EXT_L,EXT,-3950.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
3,0.75,ori,ori,2000.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
3,0.75,EXT_R,EXT,8000.0,0.0,-0.06,-213.62830044410595,-0.06
4,1.0,EXT_L,EXT,-3950.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
4,1.0,ori,ori,2000.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
4,1.0,EXT_R,EXT,8000.0,0.0,-0.06,-213.62830044410595,-0.06
5,1.25,EXT_L,EXT,-3950.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
5,1.25,ori,ori,2000.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
5,1.25,EXT_R,EXT,8000.0,0.0,-0.06,-213.62830044410595,-0.06
6,1.5,EXT_L,EXT,-3950.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
6,1.5,ori,ori,2000.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
6,1.5,EXT_R,EXT,8000.0,0.0,-0.06,-213.62830044410595,-0.06
7,1.75,EXT_L,EXT,-3950.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
7,1.75,ori,ori,2000.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
7,1.75,EXT_R,EXT,8000.0,0.0,-0.06,-213.62830044410595,-0.06
8,2.0,EXT_L,EXT,-3950.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
8,2.0,ori,ori,2000.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
8,2.0,EXT_R,EXT,8000.0,0.0,-0.06,-213.62830044410595,-0.06
9,2.25,EXT_L,EXT,-3950.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
9,2.25,ori,ori,2000.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
9,2.25,EXT_R,EXT,8000.0,0.0,-0.06,-213.62830044410595,-0.06
10,2.5,EXT_L,EXT,-3950.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
10,2.5,ori,ori,2000.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
10,2.5,EXT_R,EXT,8000.0,0.0,-0.06,-213.62830044410595,-0.06
11,2.75,EXT_L,EXT,-3950.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
11,2.75,ori,ori,2000.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
11,2.75,EXT_R,EXT,8000.0,0.0,-0.06,-213.62830044410595,-0.06
12,3.0,EXT_L,EXT,-3950.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
12,3.0,ori,ori,2000.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
12,3.0,EXT_R,EXT,8000.0,0.0,-0.06,-213.62830044410595,-0.06
13,3.25,EXT_L,EXT,-3950.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
13,3.25,ori,ori,2000.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
13,3.25,EXT_R,EXT,8000.0,0.0,-0.06,-213.62830044410595,-0.06
14,3.5,EXT_L,EXT,-3950.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
14,3.5,ori,ori,2000.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
14,3.5,EXT_R,EXT,8000.0,0.0,-0.06,-213.62830044410595,-0.06
15,3.75,EXT_L,EXT,-3950.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
15,3.75,ori,ori,2000.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
15,3.75,EXT_R,EXT,8000.0,0.0,-0.06,-213.62830044410595,-0.06
16,4.0,EXT_L,EXT,-3950.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
16,4.0,ori,ori,2000.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
16,4.0,EXT_R,EXT,8000.0,0.0,-0.06,-213.62830044410595,-0.06
17,4.25,EXT_L,EXT,-3950.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
17,4.25,ori,ori,2000.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
17,4.25,EXT_R,EXT,8000.0,0.0,-0.06,-213.62830044410595,-0.06
18,4.5,EXT_L,EXT,-3950.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
18,4.5,ori,ori,2000.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
18,4.5,EXT_R,EXT,8000.0,0.0,-0.06,-213.62830044410595,-0.06
19,4.75,EXT_L,EXT,-3950.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
19,4.75,ori,ori,2000.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
19,4.75,EXT_R,EXT,8000.0,0.0,-0.06,-213.62830044410595,-0.06
20,5.0,EXT_L,EXT,-3950.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
20,5.0,ori,ori,2000.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
20,5.0,EXT_R,EXT,8000.0,0.0,-0.06,-213.62830044410595,-0.06
21,5.25,EXT_L,EXT,-3950.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
21,5.25,ori,ori,2000.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
21,5.25,EXT_R,EXT,8000.0,0.0,-0.06,-213.62830044410595,-0.06
22,5.5,EXT_L,EXT,-3950.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
22,5.5,ori,ori,2000.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
22,5.5,EXT_R,EXT,8000.0,0.0,-0.06,-213.62830044410595,-0.06
23,5.75,EXT_L,EXT,-3950.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
23,5.75,ori,ori,2000.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
23,5.75,EXT_R,EXT,8000.0,0.0,-0.06,-213.62830044410595,-0.06
24,6.0,EXT_L,EXT,-3950.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
24,6.0,ori,ori,2000.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
24,6.0,EXT_R,EXT,8000.0,0.0,-0.06,-213.62830044410595,-0.06
25,6.25,EXT_L,EXT,-3950.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
25,6.25,ori,ori,2000.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
25,6.25,EXT_R,EXT,8000.0,0.0,-0.06,-213.62830044410595,-0.06
26,6.5,EXT_L,EXT,-3950.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
26,6.5,ori,ori,2000.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
26,6.5,EXT_R,EXT,8000.0,0.0,-0.06,-213.62830044410595,-0.06
27,6.75,EXT_L,EXT,-3950.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
27,6.75,ori,ori,2000.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
27,6.75,EXT_R,EXT,8000.0,0.0,-0.06,-213.62830044410595,-0.06
28,7.0,EXT_L,EXT,-3950.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
28,7.0,ori,ori,2000.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
28,7.0,EXT_R,EXT,8000.0,0.0,-0.06,-213.62830044410595,-0.06
29,7.25,EXT_L,EXT,-3950.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
29,7.25,ori,ori,2000.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
29,7.25,EXT_R,EXT,8000.0,0.0,-0.06,-213.62830044410595,-0.06
30,7.5,EXT_L,EXT,-3950.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
30,7.5,ori,ori,2000.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
30,7.5,EXT_R,EXT,8000.0,0.0,-0.06,-213.62830044410595,-0.06
31,7.75,EXT_L,EXT,-3950.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
31,7.75,ori,ori,2000.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
31,7.75,EXT_R,EXT,8000.0,0.0,-0.06,-213.62830044410595,-0.06
32,8.0,EXT_L,EXT,-3950.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
32,8.0,ori,ori,2000.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
32,8.0,EXT_R,EXT,8000.0,0.0,-0.06,-213.62830044410595,-0.06
33,8.25,EXT_L,EXT,-3950.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
33,8.25,ori,ori,2000.0,-213.62830044410595,-0.06,-213.62830044410595,-0.06
33,8.25,EXT_R,EXT,8000.0,0.0,-0.06,-213.62830044410595,-0.06
34,8.5,EXT_L,EXT,-1490.0,-125.51561760099827,-0.060101010101010106,-213.62830044410595,-0.0601010101010101
34,8.5,ori,ori,2000.0,-88.11268284310768,-0.060101010101010106,-213.62830044410595,-0.0601010101010101
34,8.5,lacI,lac2,4500.0,-125.51561760099827,-0.060101010101010106,-213.62830044410595,-0.0601010101010101
34,8.5,EXT_R,EXT,8000.0,0.0,-0.06,-213.62830044410595,-0.0601010101010101
35,8.75,EXT_L,EXT,-1490.0,-125.51561760099827,-0.060101010101010106,-213.62830044410595,-0.0601010101010101
35,8.75,ori,ori,2000.0,-88.11268284310768,-0.060101010101010106,-213.62830044410595,-0.0601010101010101
35,8.75,lacI,lac2,4500.0,-125.51561760099827,-0.060101010101010106,-213.62830044410595,-0.0601010101010101
35,8.75,EXT_R,EXT,8000.0,0.0,-0.06,-213.62830044410595,-0.0601010101010101
36,9.0,EXT_L,EXT,-1490.0,-125.51561760099827,-0.060101010101010106,-213.62830044410595,-0.0601010101010101
36,9.0,ori,ori,2000.0,-88.11268284310768,-0.060101010101010106,-213.62830044410595,-0.0601010101010101
36,9.0,lacI,lac2,4500.0,-125.51561760099827,-0.060101010101010106,-213.62830044410595,-0.0601010101010101
36,9.0,EXT_R,EXT,8000.0,0.0,-0.06,-213.62830044410595,-0.0601010101010101
37,9.25,EXT_L,EXT,-1490.0,-125.51561760099827,-0.060101010101010106,-213.62830044410595,-0.0601010101010101
37,9.25,ori,ori,2000.0,-88.11268284310768,-0.060101010101010106,-213.62830044410595,-0.0601010101010101
37,9.25,lacI,lac2,4500.0,-125.51561760099827,-0.060101010101010106,-213.62830044410595,-0.0601010101010101
37,9.25,EXT_R,EXT,8000.0,0.0,-0.06,-213.62830044410595,-0.0601010101010101
38,9.5,EXT_L,EXT,-1490.0,-125.51561760099827,-0.060101010101010106,-213.62830044410595,-0.0601010101010101
