frame,time,type,name,twist,superhelical,#enzymes,binding,unbinding
0,0.0,circuit,partialcircuit_1,-213.62830044410595,-0.06,1,0,0
0,0.0,DNA_topoI,DNA_topoI,-213.62830044410595,-0.06,0,0,0
0,0.0,DNA_gyrase,DNA_gyrase,-213.62830044410595,-0.06,0,0,0
0,0.0,gene,tetA,-213.62830044410595,-0.06,0,0,0
0,0.0,origin,ori,-213.62830044410595,-0.06,1,0,0
0,0.0,lacOP,lac1,-213.62830044410595,-0.06,0,0,0
0,0.0,gene,mKalama1,-213.62830044410595,-0.06,0,0,0
0,0.0,lacOP,lac2,-213.62830044410595,-0.06,0,0,0
1,0.25,circuit,partialcircuit_1,-213.62830044410595,-0.06,1,0,0
1,0.25,DNA_topoI,DNA_topoI,-213.62830044410595,-0.06,0,0,0
1,0.25,DNA_gyrase,DNA_gyrase,-213.62830044410595,-0.06,0,0,0
1,0.25,gene,tetA,-213.62830044410595,-0.06,0,0,0
1,0.25,origin,ori,-213.62830044410595,-0.06,1,0,0
1,0.25,lacOP,lac1,-213.62830044410595,-0.06,0,0,0
1,0.25,gene,mKalama1,-213.62830044410595,-0.06,0,0,0
1,0.25,lacOP,lac2,-213.62830044410595,-0.06,0,0,0
2,0.5,circuit,partialcircuit_1,-213.62830044410595,-0.06,1,0,0
2,0.5,DNA_topoI,DNA_topoI,-213.62830044410595,-0.06,0,0,0
2,0.5,DNA_gyrase,DNA_gyrase,-213.62830044410595,-0.06,0,0,0
2,0.5,gene,tetA,-213.62830044410595,-0.06,0,0,0
2,0.5,origin,ori,-213.62830044410595,-0.06,1,0,0
2,0.5,lacOP,lac1,-213.62830044410595,-0.06,0,0,0
2,0.5,gene,mKalama1,-213.62830044410595,-0.06,0,0,0
2,0.5,lacOP,lac2,-213.62830044410595,-0.06,0,0,0
3,0.75,circuit,partialcircuit_1,-213.62830044410595,-0.06,1,0,0
3,0.75,DNA_topoI,DNA_topoI,-213.62830044410595,-0.06,0,0,0
3,0.75,DNA_gyrase,DNA_gyrase,-213.62830044410595,-0.06,0,0,0
3,0.75,gene,tetA,-213.62830044410595,-0.06,0,0,0
3,0.75,origin,ori,-213.62830044410595,-0.06,1,0,0
3,0.75,lacOP,lac1,-213.62830044410595,-0.06,0,0,0
3,0.75,gene,mKalama1,-213.62830044410595,-0.06,0,0,0
3,0.75,lacOP,lac2,-213.62830044410595,-0.06,0,0,0
4,1.0,circuit,partialcircuit_1,-213.62830044410595,-0.06,1,0,0
4,1.0,DNA_topoI,DNA_topoI,-213.62830044410595,-0.06,0,0,0
4,1.0,DNA_gyrase,DNA_gyrase,-213.62830044410595,-0.06,0,0,0
4,1.0,gene,tetA,-213.62830044410595,-0.06,0,0,0
4,1.0,origin,ori,-213.62830044410595,-0.06,1,0,0
4,1.0,lacOP,lac1,-213.62830044410595,-0.06,0,0,0
4,1.0,gene,mKalama1,-213.62830044410595,-0.06,0,0,0
4,1.0,lacOP,lac2,-213.62830044410595,-0.06,0,0,0
5,1.25,circuit,partialcircuit_1,-213.62830044410595,-0.06,1,0,0
5,1.25,DNA_topoI,DNA_topoI,-213.62830044410595,-0.06,0,0,0
5,1.25,DNA_gyrase,DNA_gyrase,-213.62830044410595,-0.06,0,0,0
5,1.25,gene,tetA,-213.62830044410595,-0.06,0,0,0
5,1.25,origin,ori,-213.62830044410595,-0.06,1,0,0
5,1.25,lacOP,lac1,-213.62830044410595,-0.06,0,0,0
5,1.25,gene,mKalama1,-213.62830044410595,-0.06,0,0,0
5,1.25,lacOP,lac2,-213.62830044410595,-0.06,0,0,0
6,1.5,circuit,partialcircuit_1,-213.62830044410595,-0.06,1,0,0
6,1.5,DNA_topoI,DNA_topoI,-213.62830044410595,-0.06,0,0,0
6,1.5,DNA_gyrase,DNA_gyrase,-213.62830044410595,-0.06,0,0,0
6,1.5,gene,tetA,-213.62830044410595,-0.06,0,0,0
6,1.5,origin,ori,-213.62830044410595,-0.06,1,0,0
6,1.5,lacOP,lac1,-213.62830044410595,-0.06,0,0,0
6,1.5,gene,mKalama1,-213.62830044410595,-0.06,0,0,0
6,1.5,lacOP,lac2,-213.62830044410595,-0.06,0,0,0
7,1.75,circuit,partialcircuit_1,-213.62830044410595,-0.06,1,0,0
7,1.75,DNA_topoI,DNA_topoI,-213.62830044410595,-0.06,0,0,0
7,1.75,DNA_gyrase,DNA_gyrase,-213.62830044410595,-0.06,0,0,0
