frame,time,type,name,concentration
0,0.0,RNAP,RNAP,0.2
0,0.0,topo,topoI,0.17
0,0.0,topo,gyrase,0.44
0,0.0,lacI,lacI,0.2
1,0.25,RNAP,RNAP,0.2
1,0.25,topo,topoI,0.17
1,0.25,topo,gyrase,0.44
1,0.25,lacI,lacI,0.2
2,0.5,RNAP,RNAP,0.2
2,0.5,topo,topoI,0.17
2,0.5,topo,gyrase,0.44
2,0.5,lacI,lacI,0.2
3,0.75,RNAP,RNAP,0.2
3,0.75,topo,topoI,0.17
3,0.75,topo,gyrase,0.44
3,0.75,lacI,lacI,0.2
4,1.0,RNAP,RNAP,0.2
4,1.0,topo,topoI,0.17
4,1.0,topo,gyrase,0.44
4,1.0,lacI,lacI,0.2
5,1.25,RNAP,RNAP,0.2
5,1.25,topo,topoI,0.17
5,1.25,topo,gyrase,0.44
5,1.25,lacI,lacI,0.2
6,1.5,RNAP,RNAP,0.2
6,1.5,topo,topoI,0.17
6,1.5,topo,gyrase,0.44
6,1.5,lacI,lacI,0.2
7,1.75,RNAP,RNAP,0.2
7,1.75,topo,topoI,0.17
7,1.75,topo,gyrase,0.44
7,1.75,lacI,lacI,0.2
8,2.0,RNAP,RNAP,0.2
8,2.0,topo,topoI,0.17
8,2.0,topo,gyrase,0.44
8,2.0,lacI,lacI,0.2
9,2.25,RNAP,RNAP,0.2
9,2.25,topo,topoI,0.17
9,2.25,topo,gyrase,0.44
9,2.25,lacI,lacI,0.2
10,2.5,RNAP,RNAP,0.2
10,2.5,topo,topoI,0.17
10,2.5,topo,gyrase,0.44
10,2.5,lacI,lacI,0.2
11,2.75,RNAP,RNAP,0.2
11,2.75,topo,topoI,0.17
11,2.75,topo,gyrase,0.44
11,2.75,lacI,lacI,0.2
12,3.0,RNAP,RNAP,0.2
12,3.0,topo,topoI,0.17
12,3.0,topo,gyrase,0.44
12,3.0,lacI,lacI,0.2
13,3.25,RNAP,RNAP,0.2
13,3.25,topo,topoI,0.17
13,3.25,topo,gyrase,0.44
13,3.25,lacI,lacI,0.2
14,3.5,RNAP,RNAP,0.2
14,3.5,topo,topoI,0.17
14,3.5,topo,gyrase,0.44
14,3.5,lacI,lacI,0.2
15,3.75,RNAP,RNAP,0.2
15,3.75,topo,topoI,0.17
15,3.75,topo,gyrase,0.44
15,3.75,lacI,lacI,0.2
16,4.0,RNAP,RNAP,0.2
16,4.0,topo,topoI,0.17
16,4.0,topo,gyrase,0.44
16,4.0,lacI,lacI,0.2
17,4.25,RNAP,RNAP,0.2
17,4.25,topo,topoI,0.17
17,4.25,topo,gyrase,0.44
17,4.25,lacI,lacI,0.2
18,4.5,RNAP,RNAP,0.2
18,4.5,topo,topoI,0.17
18,4.5,topo,gyrase,0.44
18,4.5,lacI,lacI,0.2
19,4.75,RNAP,RNAP,0.2
19,4.75,topo,topoI,0.17
19,4.75,topo,gyrase,0.44
19,4.75,lacI,lacI,0.2
