test,loss,k_on,width,threshold,gamma,kappa,velocity,stall_torque
0,1.151706707221055,0.07691678673092872,0.009324615345329726,-0.06702464541055266,0.05,0.5,30.0,12.0
1,0.1964995965936571,0.025099531055506073,0.009324615345329726,-0.06702464541055266,0.05,0.5,30.0,12.0
2,0.2510876330924122,0.13241295894291918,0.009324615345329726,-0.06702464541055266,0.05,0.5,30.0,12.0
3,0.32631356819132584,0.010670662782676572,0.009324615345329726,-0.06702464541055266,0.05,0.5,30.0,12.0
4,0.7687986657686922,0.048177141291566146,0.009324615345329726,-0.06702464541055266,0.05,0.5,30.0,12.0
5,0.30895422672293593,0.19593315283498472,0.009324615345329726,-0.06702464541055266,0.05,0.5,30.0,12.0
6,0.32339239187184166,0.05247196718005778,0.009324615345329726,-0.06702464541055266,0.05,0.5,30.0,12.0
7,2.075706414774859,0.14365332919513168,0.009324615345329726,-0.06702464541055266,0.05,0.5,30.0,12.0
8,2.5833479856906796,0.08215617298650342,0.009324615345329726,-0.06702464541055266,0.05,0.5,30.0,12.0
9,0.6959294011007973,0.1002587335744989,0.009324615345329726,-0.06702464541055266,0.05,0.5,30.0,12.0
10,0.12164931664925199,0.0964598124245104,0.009324615345329726,-0.06702464541055266,0.05,0.5,30.0,12.0
11,1.012388968716524,0.1421140331918176,0.009324615345329726,-0.06702464541055266,0.05,0.5,30.0,12.0
12,0.3035966742882739,0.020972242929106606,0.009324615345329726,-0.06702464541055266,0.05,0.5,30.0,12.0
13,0.22732325875209783,0.018348594356484185,0.009324615345329726,-0.06702464541055266,0.05,0.5,30.0,12.0
14,0.4087915135701586,0.1017314913263181,0.009324615345329726,-0.06702464541055266,0.05,0.5,30.0,12.0
15,0.9353383571631622,0.08750462829504971,0.009324615345329726,-0.06702464541055266,0.05,0.5,30.0,12.0
16,0.415611833123049,0.10966784135931239,0.009324615345329726,-0.06702464541055266,0.05,0.5,30.0,12.0
17,0.5238980729295923,0.044274588985204026,0.009324615345329726,-0.06702464541055266,0.05,0.5,30.0,12.0
18,0.9465542383988054,0.11123526299602422,0.009324615345329726,-0.06702464541055266,0.05,0.5,30.0,12.0
19,0.6111141837174574,0.1812815010299306,0.009324615345329726,-0.06702464541055266,0.05,0.5,30.0,12.0
20,0.3347033807665536,0.16636576478065093,0.009324615345329726,-0.06702464541055266,0.05,0.5,30.0,12.0
