test,loss,k_on,width,threshold,gamma,kappa,velocity,stall_torque
0,1.2074798003951162,0.06673687056269588,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
1,0.9526941459148358,0.14726959630715047,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
2,0.2031607557443399,0.06446075865617754,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
3,1.129135211275213,0.10600877047491275,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
4,0.6892806213128434,0.187120674071489,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
5,0.26068779400825776,0.052744793163681976,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
6,0.4841646694068287,0.1770592160885821,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
7,0.321142915009731,0.0621690786265614,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
8,1.1140740426762215,0.1511555127851367,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
9,0.305933639138644,0.186717078297705,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
10,4.577944533011774,0.12796625055474023,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
11,0.4425179026172015,0.11399248312695535,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
12,0.5562274746362548,0.10743176011218059,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
13,0.2595767703338519,0.06437525687990221,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
14,0.674517433826762,0.11164985497613415,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
15,0.6107628650549433,0.16717440750743065,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
16,0.339766805386433,0.19924558368995665,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
17,0.6260653866216177,0.1994285120703426,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
18,0.30784637046747604,0.04449885246198495,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
19,0.8143537316776297,0.160999644404183,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
20,0.5033300906520403,0.0021628339361247917,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
