test,loss,k_on,width,threshold,gamma,kappa,velocity,stall_torque
0,0.4587720150878326,0.12521369523146375,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
1,0.40252994929615254,0.08749524146649676,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
2,0.506310964310229,0.13641963976985846,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
3,1.5889929794550852,0.19578625614735037,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
4,0.1496898807147054,0.05190801025329677,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
5,0.951301727607567,0.14823488093368517,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
6,0.37246161357635743,0.1975648762925126,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
7,0.29753336143149345,0.10225498663044216,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
8,0.4458744565803803,0.19163295799024246,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
9,0.2099852666083167,0.18136677272404458,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
10,0.4689912133866349,0.05258944323380968,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
11,0.0588875498518944,0.0346928115533807,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
12,0.2019754405228817,0.06710404343751859,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
13,0.2893190124627814,0.006901610299093993,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
14,0.5701095362589073,0.07022148337697418,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
15,0.4602537222636286,0.10643356577516874,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
16,0.16328989744398253,0.1483615921254308,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
17,1.5703878553212278,0.12396405484359933,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
18,2.401228923761417,0.056154316131925876,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
19,0.3401072815796789,0.009098206524513505,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
20,0.13036555759039015,0.025154220166824764,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
21,0.12567805243381938,0.029417586003229676,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
22,0.15424485886639352,0.032435921657020736,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
23,0.14962476053112894,0.02597155581764382,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
24,0.36663957677303705,0.004762773374710216,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
25,0.22766150964956167,0.03536651640685538,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
26,0.12399138487700745,0.015301674923373601,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
