test,loss,k_on,superhelical_op,spread,k_closed,k_open,width,threshold,k_ini,gamma,kappa,velocity,stall_torque,k_off
0,0.0938921905538224,0.47160047902703955,-0.026971439963415195,0.018831080467730833,0.3458877785580963,0.46168260437169695,0.009324615345329726,-0.06702464541055266,0.44140480420702605,0.1,0.5,30.0,12.0,0.18105399393344287
1,0.12105149738753346,0.16944245668640986,-0.015689942889631298,0.02229908390018262,0.030402158036067654,0.15300551872671506,0.009324615345329726,-0.06702464541055266,0.30342992188784323,0.1,0.5,30.0,12.0,0.0466860526644585
2,0.289904149512314,0.13930059184547056,-0.03125390920415434,0.0260032040271606,0.08787620334822069,0.20660944692396677,0.009324615345329726,-0.06702464541055266,0.18977000140612868,0.1,0.5,30.0,12.0,0.34418102758955427
3,5.264515674539655,0.2222852182693662,-0.01994241807305587,0.008250351917446023,0.35622441245069997,0.47188165569173846,0.009324615345329726,-0.06702464541055266,0.29894918995725916,0.1,0.5,30.0,12.0,0.450562794164192
4,0.8653475283480437,0.28076662150027715,-0.03731000904952374,0.03942694065790168,0.045081869683966685,0.013454561878663446,0.009324615345329726,-0.06702464541055266,0.32938864102445287,0.1,0.5,30.0,12.0,0.22795756823527563
5,0.3694200095895331,0.2403864828134104,-0.02870202802649878,0.015858812045933642,0.38896921470500034,0.4252005921758437,0.009324615345329726,-0.06702464541055266,0.03146301312033041,0.1,0.5,30.0,12.0,0.06871051014128625
6,0.05951023430887378,0.46762119298222593,-0.037340693773843234,0.019708634071587374,0.1823290323092013,0.3758035333673454,0.009324615345329726,-0.06702464541055266,0.08764906257825296,0.1,0.5,30.0,12.0,0.07784604268350047
7,0.6724312803920041,0.03627839862573872,-0.029949017167992656,0.016366236834246522,0.0930580296476949,0.28008384886861387,0.009324615345329726,-0.06702464541055266,0.15003598624450465,0.1,0.5,30.0,12.0,0.47093793182105576
8,0.2906853671034147,0.3382717218678415,-0.07153488561407274,0.020969107530241334,0.33149789792645185,0.27359533110065515,0.009324615345329726,-0.06702464541055266,0.07507911290465857,0.1,0.5,30.0,12.0,0.40852021574508335
9,0.3790236077750037,0.4692107074116882,-0.03316877262033391,0.021310978722916096,0.2200467258837821,0.18267205658999094,0.009324615345329726,-0.06702464541055266,0.2314912697221858,0.1,0.5,30.0,12.0,0.46661818292030355
10,1.8354940398866757,0.015175735233239236,-0.08958731153855291,0.020234136576241415,0.33380464896324347,0.42260551200556906,0.009324615345329726,-0.06702464541055266,0.026757663293198626,0.1,0.5,30.0,12.0,0.08510399736123744
11,0.1428488664447917,0.40527929285595454,-0.02015295411872066,0.042402147057512544,0.22289502835843067,0.2878190828339799,0.009324615345329726,-0.06702464541055266,0.06970785069665243,0.1,0.5,30.0,12.0,0.23905851515787854
12,4.639355304987369,0.4734234833146167,-0.08369512344985981,0.02863175241740483,0.4264738083503032,0.31710444816009464,0.009324615345329726,-0.06702464541055266,0.23937967702729054,0.1,0.5,30.0,12.0,0.2898007054649244
13,2.47044718625338,0.4984851009715863,-0.06719872288124935,0.029384488357091263,0.025988460170889002,0.19704382337328608,0.009324615345329726,-0.06702464541055266,0.055740236007636466,0.1,0.5,30.0,12.0,0.4370260226529245
14,0.4380908127720614,0.22209863465093513,-0.05420135979400387,0.0412483217382437,0.37119219759996364,0.059903477375592165,0.009324615345329726,-0.06702464541055266,0.23304651646974756,0.1,0.5,30.0,12.0,0.3038422705279627
15,1.064574136010298,0.048670721937075424,-0.06495480506581677,0.03092603353069791,0.4872533803399252,0.15321157444201558,0.009324615345329726,-0.06702464541055266,0.16182096019227007,0.1,0.5,30.0,12.0,0.2369325561661058
16,0.13090063073852953,0.3510131503590549,-0.09900552011771681,0.040799294342933036,0.31201151742054334,0.4757187026326351,0.009324615345329726,-0.06702464541055266,0.033284203221542796,0.1,0.5,30.0,12.0,0.2760785200390892
17,0.4503962764572452,0.18444687101101948,-0.09391128944739874,0.025584314966350448,0.39216732298090645,0.3091754968093731,0.009324615345329726,-0.06702464541055266,0.20554618153914878,0.1,0.5,30.0,12.0,0.3175525579853717
18,3.9084469371256425,0.4336525182108836,-0.09306933383849691,0.008905097862437861,0.32673541954947943,0.4185804192037282,0.009324615345329726,-0.06702464541055266,0.3270838473156376,0.1,0.5,30.0,12.0,0.3911275406396145
19,0.9565269282116614,0.173412048186968,-0.04892281958611118,0.04126747699615278,0.033664230721886026,0.3122869453028553,0.009324615345329726,-0.06702464541055266,0.32236922181561534,0.1,0.5,30.0,12.0,0.02489135268858953
20,4.05722703558933,0.3789839426174611,-0.00416828162741471,0.013264381844320109,0.15851140415452553,0.37050075002774385,0.009324615345329726,-0.06702464541055266,0.45892491321552836,0.1,0.5,30.0,12.0,0.14878173610293904
21,0.11527686430624157,0.29066367059130804,-0.0004847932906964919,0.03370472817587637,0.266906004277222,0.3770620068225409,0.009324615345329726,-0.06702464541055266,0.48545295834162655,0.1,0.5,30.0,12.0,0.14712447081132432
22,0.2315080142706588,0.43945428209539394,-0.04306059288969375,0.01231442566335916,0.1671962004363251,0.3590069471704724,0.009324615345329726,-0.06702464541055266,0.42302707223032565,0.1,0.5,30.0,12.0,0.15962610818823814
23,0.148600376974218,0.3195018555077279,-0.053252914098543304,0.006372847216108269,0.2763116572932066,0.4999265567703503,0.009324615345329726,-0.06702464541055266,0.40310584800471405,0.1,0.5,30.0,12.0,0.20543819569487645
24,0.25501545385978924,0.4959636759922438,-0.01086975244837839,0.034382919693295044,0.47305985627395963,0.45773237842176323,0.009324615345329726,-0.06702464541055266,0.10357431619956164,0.1,0.5,30.0,12.0,0.11104078757566255
25,5.61878406864365,0.3936658955504917,-0.0451487598863141,0.04633405710126798,0.18704897251836078,0.3545914975869204,0.009324615345329726,-0.06702464541055266,0.38263468848577004,0.1,0.5,30.0,12.0,0.18662446563517304
26,0.5162319371881705,0.42295711789071455,-0.06036683121122495,0.017418412914019625,0.11269867661758197,0.4990624192833818,0.009324615345329726,-0.06702464541055266,0.1218023333587735,0.1,0.5,30.0,12.0,0.11320788501340454
