test,loss,k_on,superhelical_op,spread,k_closed,k_open,width,threshold,k_ini,gamma,kappa,velocity,stall_torque,k_off
0,0.11917167738305953,0.23570505326130817,-0.05542784650858508,0.005382683159015877,0.24013148776351592,0.4742989322788503,0.008982728896412821,-0.07376554902612806,0.3756020223468093,0.1,0.5,30.0,12.0,0.0713598951688946
1,1.5886058695572032,0.30110639934468486,-0.06749141615269084,0.0366492123734081,0.1664456693670395,0.448726733352594,0.008982728896412821,-0.07376554902612806,0.1163248858666783,0.1,0.5,30.0,12.0,0.2363888931564582
2,4.519763807622602,0.49672535501651177,-0.09361996655603631,0.048650521020693734,0.3586209134844168,0.37457359574304555,0.008982728896412821,-0.07376554902612806,0.13954691348624862,0.1,0.5,30.0,12.0,0.3548836649727123
3,0.4699984569844713,0.2528347936066542,-0.07398155891369124,0.0483804633492148,0.14013160595815158,0.043147001453861376,0.008982728896412821,-0.07376554902612806,0.07395348467267272,0.1,0.5,30.0,12.0,0.33771901591484227
4,4.680221747030548,0.3860874523937561,-0.0806915685047906,0.021722035408374793,0.028438437749614937,0.30102711104674096,0.008982728896412821,-0.07376554902612806,0.47065491809323895,0.1,0.5,30.0,12.0,0.043846741960685935
5,0.06730337030827684,0.1253518354977864,-0.027723721301934665,0.025728435928556333,0.3812260180854063,0.1446848254189912,0.008982728896412821,-0.07376554902612806,0.4432604233914752,0.1,0.5,30.0,12.0,0.13503849054269212
6,0.33912923939143647,0.35037025275837624,-0.08471449802631069,0.023935886384278224,0.34585813108746977,0.014446601586380779,0.008982728896412821,-0.07376554902612806,0.12491016040491879,0.1,0.5,30.0,12.0,0.41938656523891643
7,0.6778402941614049,0.013422082332835702,-0.08338340583141644,0.03512019852783011,0.3350102448993408,0.14854786078274304,0.008982728896412821,-0.07376554902612806,0.2178664432061196,0.1,0.5,30.0,12.0,0.4296662137691356
8,0.379400879196469,0.4350933146780322,-0.020895262982867785,0.014998566885025995,0.4079357352389861,0.47252473362159386,0.008982728896412821,-0.07376554902612806,0.49212504147310315,0.1,0.5,30.0,12.0,0.4769647966079083
9,0.1303921156889788,0.1316250114267829,-0.034897806154054065,0.03200757783098959,0.03535590967030695,0.16218470203403929,0.008982728896412821,-0.07376554902612806,0.08051945789625703,0.1,0.5,30.0,12.0,0.2120331893592392
10,0.5539975991680375,0.31792099246958755,-0.09938937392403076,0.026469674741581087,0.4340973002181619,0.04896643006160747,0.008982728896412821,-0.07376554902612806,0.19756637573202002,0.1,0.5,30.0,12.0,0.36474803891753926
11,1.2255195077810728,0.10661986668092624,-0.06332331612557016,0.047349574375088216,0.1519828545549405,0.3514302629837316,0.008982728896412821,-0.07376554902612806,0.443333381518119,0.1,0.5,30.0,12.0,0.23625576787310737
12,0.5085950063025487,0.052923652241264524,-0.0947546532481668,0.021470388010476817,0.3919889132196868,0.04404932090306721,0.008982728896412821,-0.07376554902612806,0.3518973231739488,0.1,0.5,30.0,12.0,0.01715414063934447
13,0.1715397308079672,0.15412257191751821,-0.04195407695887121,0.007651376261938552,0.19816490665716768,0.32135687996292317,0.008982728896412821,-0.07376554902612806,0.1283769675362405,0.1,0.5,30.0,12.0,0.3551863858958251
14,0.29761911938483926,0.19928016641569685,-0.05199605543351028,0.03031126274032015,0.20990933339327836,0.03978386554907236,0.008982728896412821,-0.07376554902612806,0.4614359900556694,0.1,0.5,30.0,12.0,0.20879436395748532
15,0.33684137981631296,0.4572754730880536,-0.018221964848271113,0.03738838791574563,0.24328121375680667,0.011648178580000614,0.008982728896412821,-0.07376554902612806,0.3873386165794712,0.1,0.5,30.0,12.0,0.46553971539756595
16,0.1598911854306423,0.1294896592363773,-0.0005992968784382102,0.03353299994587976,0.432458875918867,0.4021953586344395,0.008982728896412821,-0.07376554902612806,0.17224346316522363,0.1,0.5,30.0,12.0,0.23783189982815864
17,0.14813827440955787,0.09464009275010032,-0.027249835182900403,0.028475803692538507,0.0380909289129375,0.3094053517245116,0.008982728896412821,-0.07376554902612806,0.24842737709389687,0.1,0.5,30.0,12.0,0.37483924592272544
18,0.19572790771407708,0.12865363017390646,-0.059752330445504334,0.031788031187147944,0.2555682064154281,0.30128063911832564,0.008982728896412821,-0.07376554902612806,0.13970064179689914,0.1,0.5,30.0,12.0,0.20082033864611898
19,0.04943654457702497,0.12016418637401728,-0.002783216387700599,0.038414767188905685,0.08815864595772213,0.1506367876842494,0.008982728896412821,-0.07376554902612806,0.30030015887735756,0.1,0.5,30.0,12.0,0.1027252661221673
20,0.2506454141236713,0.18808106275893505,-0.001618845895380628,0.04209461811187206,0.48651836929408115,0.19419914855246245,0.008982728896412821,-0.07376554902612806,0.3158808979101761,0.1,0.5,30.0,12.0,0.13196689609607404
21,0.4627524036314197,0.011847451660460764,-0.0053104913632547115,0.04168622854289575,0.07872381970743407,0.10579531901774632,0.008982728896412821,-0.07376554902612806,0.3113160180030843,0.1,0.5,30.0,12.0,0.11545477703564243
22,1.781361996240647,0.06259807936687707,-0.012314087202653819,0.014431826611430032,0.2951256129791988,0.23343221243888473,0.008982728896412821,-0.07376554902612806,0.418902019250659,0.1,0.5,30.0,12.0,0.15744362523798205
23,0.08611125425763302,0.1886016103332583,-0.04117753114405282,0.04071914338744819,0.4871572270129042,0.09996334940000284,0.008982728896412821,-0.07376554902612806,0.31154995461059976,0.1,0.5,30.0,12.0,0.11638380693741385
24,0.6665421134217454,0.07914272857541158,-0.010688076583809606,0.017670096936713266,0.1116052529638048,0.2485532461791265,0.008982728896412821,-0.07376554902612806,0.2761742740642014,0.1,0.5,30.0,12.0,0.2946040180147431
25,0.3348393277078263,0.042351585280969745,-0.024432331160618763,0.045015448115135595,0.29942245506171805,0.1166876182923641,0.008982728896412821,-0.07376554902612806,0.03162156487430809,0.1,0.5,30.0,12.0,0.0661208996675265
26,0.16611997002790088,0.21320494779190236,-0.03303744986415202,0.011039822231426194,0.08076313656809947,0.2006745045951648,0.008982728896412821,-0.07376554902612806,0.4024679957182148,0.1,0.5,30.0,12.0,0.1575474982568839
