test,loss,k_on,superhelical_op,spread,k_closed,k_open,width,threshold,k_ini,gamma,kappa,velocity,stall_torque,k_off
0,0.08364830862443264,0.4882525325682462,-0.045275852228155916,0.03687338048649014,0.45198820435303433,0.3859368523981069,0.008982728896412821,-0.07376554902612806,0.43079006958253924,0.1574466530036881,0.5,30.0,12.0,0.4730760390240036
1,0.1919816179668421,0.06377267833012286,-0.02526225946512578,0.034426571884516685,0.18922301852013998,0.27482268184232705,0.008982728896412821,-0.07376554902612806,0.39694996054347853,0.1574466530036881,0.5,30.0,12.0,0.30581918148237663
2,0.07439762661442698,0.36990257763495243,-0.05480213769609904,0.049182660325184785,0.368400204189459,0.49356288763615735,0.008982728896412821,-0.07376554902612806,0.12940456062713712,0.1574466530036881,0.5,30.0,12.0,0.1052710798525685
3,0.13283560606889064,0.2895339019937264,-0.08769936968204303,0.035699080790383406,0.09090464580225058,0.29985473870702584,0.008982728896412821,-0.07376554902612806,0.14790238983323833,0.1574466530036881,0.5,30.0,12.0,0.38349204662486175
4,0.1394969152189672,0.14933137303458863,-0.01863474597141404,0.0393244630746191,0.4090535199668991,0.18747725712253344,0.008982728896412821,-0.07376554902612806,0.23039946783417634,0.1574466530036881,0.5,30.0,12.0,0.10353329163744182
5,0.19834101237253732,0.32668369893603016,-0.0075187900200717195,0.0328176666837291,0.016336550128373182,0.03437640426991523,0.008982728896412821,-0.07376554902612806,0.39774234053567636,0.1574466530036881,0.5,30.0,12.0,0.12789553272455584
6,0.09738939849837171,0.42494600333459004,-0.07747506469862561,0.03879030392601187,0.11809440597159511,0.4479393628558441,0.008982728896412821,-0.07376554902612806,0.029586771555515624,0.1574466530036881,0.5,30.0,12.0,0.13818734817649717
7,0.13363871667677107,0.4459977285795876,-0.0315525044404633,0.04064523976211044,0.46045599677644966,0.24864940296626134,0.008982728896412821,-0.07376554902612806,0.10242257088093285,0.1574466530036881,0.5,30.0,12.0,0.36086083482897713
8,0.12784435078105594,0.1143980241268834,-0.005394925755935226,0.04351320400210794,0.34395286284008303,0.4905026924506109,0.008982728896412821,-0.07376554902612806,0.41254333183394104,0.1574466530036881,0.5,30.0,12.0,0.2530031888785412
9,0.31883384247328433,0.43216713389101014,-0.0800706611129191,0.020400086789352068,0.3322247760169822,0.07549809747253171,0.008982728896412821,-0.07376554902612806,0.24172954354762424,0.1574466530036881,0.5,30.0,12.0,0.35092009316765327
