frame,time,name,site,position,twist,superhelical,global_twist,global_superhelical
0,0.0,EXT_L,EXT,-2815.0,-211.83310464205465,-0.06,-211.83310464205465,-0.060000000000000005
0,0.0,ori,ori,3085.0,-211.83310464205465,-0.06,-211.83310464205465,-0.060000000000000005
0,0.0,EXT_R,EXT,9085.0,0.0,-0.06,-211.83310464205465,-0.060000000000000005
1,1.0,EXT_L,EXT,-2815.0,-211.1412870971725,-0.05980404832019496,-211.1412870971725,-0.05980404832019496
1,1.0,ori,ori,3085.0,-211.1412870971725,-0.05980404832019496,-211.1412870971725,-0.05980404832019496
1,1.0,EXT_R,EXT,9085.0,0.0,-0.06,-211.1412870971725,-0.05980404832019496
2,2.0,EXT_L,EXT,-2815.0,-210.4517814296509,-0.059608751460805576,-210.4517814296509,-0.059608751460805576
2,2.0,ori,ori,3085.0,-210.4517814296509,-0.059608751460805576,-210.4517814296509,-0.059608751460805576
2,2.0,EXT_R,EXT,9085.0,0.0,-0.06,-210.4517814296509,-0.059608751460805576
3,3.0,EXT_L,EXT,-2815.0,-209.76460395939966,-0.05941411404431327,-209.76460395939966,-0.05941411404431327
3,3.0,ori,ori,3085.0,-209.76460395939966,-0.05941411404431327,-209.76460395939966,-0.05941411404431327
3,3.0,EXT_R,EXT,9085.0,0.0,-0.06,-209.76460395939966,-0.05941411404431327
4,4.0,EXT_L,EXT,-2815.0,-209.0797708193092,-0.05922014064022773,-209.0797708193092,-0.05922014064022773
4,4.0,ori,ori,3085.0,-209.0797708193092,-0.05922014064022773,-209.0797708193092,-0.05922014064022773
4,4.0,EXT_R,EXT,9085.0,0.0,-0.06,-209.0797708193092,-0.05922014064022773
5,5.0,EXT_L,EXT,-2815.0,-208.39729794867617,-0.059026835763224796,-208.39729794867617,-0.059026835763224796
5,5.0,ori,ori,3085.0,-208.39729794867617,-0.059026835763224796,-208.39729794867617,-0.059026835763224796
5,5.0,EXT_R,EXT,9085.0,0.0,-0.06,-208.39729794867617,-0.059026835763224796
6,6.0,EXT_L,EXT,-2815.0,-207.7172010867024,-0.05883420387130508,-207.7172010867024,-0.05883420387130508
6,6.0,ori,ori,3085.0,-207.7172010867024,-0.05883420387130508,-207.7172010867024,-0.05883420387130508
6,6.0,EXT_R,EXT,9085.0,0.0,-0.06,-207.7172010867024,-0.05883420387130508
7,7.0,EXT_L,EXT,-2815.0,-207.03949576607474,-0.0586422493639755,-207.03949576607474,-0.0586422493639755
7,7.0,ori,ori,3085.0,-207.03949576607474,-0.0586422493639755,-207.03949576607474,-0.0586422493639755
7,7.0,EXT_R,EXT,9085.0,0.0,-0.06,-207.03949576607474,-0.0586422493639755
8,8.0,EXT_L,EXT,-2815.0,-206.3641973066319,-0.0584509765804555,-206.3641973066319,-0.0584509765804555
8,8.0,ori,ori,3085.0,-206.3641973066319,-0.0584509765804555,-206.3641973066319,-0.0584509765804555
8,8.0,EXT_R,EXT,9085.0,0.0,-0.06,-206.3641973066319,-0.0584509765804555
9,9.0,EXT_L,EXT,-2815.0,-205.69132080912573,-0.05826038979790992,-205.69132080912573,-0.05826038979790992
9,9.0,ori,ori,3085.0,-205.69132080912573,-0.05826038979790992,-205.69132080912573,-0.05826038979790992
9,9.0,EXT_R,EXT,9085.0,0.0,-0.06,-205.69132080912573,-0.05826038979790992
10,10.0,EXT_L,EXT,-2815.0,-205.02088114908332,-0.05807049322971055,-205.02088114908332,-0.05807049322971055
10,10.0,ori,ori,3085.0,-205.02088114908332,-0.05807049322971055,-205.02088114908332,-0.05807049322971055
10,10.0,EXT_R,EXT,9085.0,0.0,-0.06,-205.02088114908332,-0.05807049322971055
11,11.0,EXT_L,EXT,-2815.0,-204.35289297077637,-0.05788129102372796,-204.35289297077637,-0.05788129102372796
11,11.0,ori,ori,3085.0,-204.35289297077637,-0.05788129102372796,-204.35289297077637,-0.05788129102372796
11,11.0,EXT_R,EXT,9085.0,0.0,-0.06,-204.35289297077637,-0.05788129102372796
12,12.0,EXT_L,EXT,-2815.0,-203.6873706813046,-0.05769278726065571,-203.6873706813046,-0.05769278726065571
12,12.0,ori,ori,3085.0,-203.6873706813046,-0.05769278726065571,-203.6873706813046,-0.05769278726065571
12,12.0,EXT_R,EXT,9085.0,0.0,-0.06,-203.6873706813046,-0.05769278726065571
13,13.0,EXT_L,EXT,-2815.0,-203.02432844479927,-0.05750498595236849,-203.02432844479927,-0.05750498595236849
13,13.0,ori,ori,3085.0,-203.02432844479927,-0.05750498595236849,-203.02432844479927,-0.05750498595236849
13,13.0,EXT_R,EXT,9085.0,0.0,-0.06,-203.02432844479927,-0.05750498595236849
14,14.0,EXT_L,EXT,-1449.0,-151.2474199463654,-0.055746279753149025,-202.36323380736192,-0.05763030744466211
14,14.0,ori,ori,3085.0,-51.1158138609965,-0.06403374189242843,-202.36323380736192,-0.05763030744466211
14,14.0,RNAP,Raspberry,4519.0,-151.2474199463654,-0.055746279753149025,-202.36323380736192,-0.05763030744466211
14,14.0,EXT_R,EXT,9085.0,0.0,-0.06,-202.36323380736192,-0.05763030744466211
15,15.0,EXT_L,EXT,-1389.0,-143.57783919468895,-0.0536291438703675,-201.70841952759113,-0.057443825208969686
15,15.0,ori,ori,3085.0,-58.13058033290214,-0.0696869272957029,-201.70841952759113,-0.057443825208969686
15,15.0,RNAP,Raspberry,4579.0,-143.57783919468895,-0.0536291438703675,-201.70841952759113,-0.057443825208969686
15,15.0,EXT_R,EXT,9085.0,0.0,-0.06,-201.70841952759113,-0.057443825208969686
16,16.0,EXT_L,EXT,-1329.0,-135.93914917750553,-0.05146614619137265,-201.0664426185863,-0.05726099888255537
16,16.0,ori,ori,3085.0,-65.12729344108081,-0.07485280065620085,-201.0664426185863,-0.05726099888255537
16,16.0,RNAP,Raspberry,4639.0,-135.93914917750553,-0.05146614619137265,-201.0664426185863,-0.05726099888255537
16,16.0,EXT_R,EXT,9085.0,0.0,-0.06,-201.0664426185863,-0.05726099888255537
17,17.0,EXT_L,EXT,-1269.0,-128.3334987100586,-0.04925621547584373,-200.4424195598514,-0.057083285569465674
17,17.0,ori,ori,3085.0,-72.10892084979282,-0.07959257433276155,-200.4424195598514,-0.057083285569465674
17,17.0,RNAP,Raspberry,4699.0,-128.3334987100586,-0.04925621547584373,-200.4424195598514,-0.057083285569465674
17,17.0,EXT_R,EXT,9085.0,0.0,-0.06,-200.4424195598514,-0.057083285569465674
18,18.0,EXT_L,EXT,-1209.0,-120.76298039525133,-0.046998198733196536,-199.84037240870546,-0.05691183069713569
18,18.0,ori,ori,3085.0,-79.07739201345412,-0.08395702488592521,-199.84037240870546,-0.05691183069713569
18,18.0,RNAP,Raspberry,4759.0,-120.76298039525133,-0.046998198733196536,-199.84037240870546,-0.05691183069713569
18,18.0,EXT_R,EXT,9085.0,0.0,-0.06,-199.84037240870546,-0.05691183069713569
19,19.0,EXT_L,EXT,-1149.0,-113.22952974078746,-0.04469081561248926,-199.2634914689991,-0.05674754282088099
19,19.0,ori,ori,3085.0,-86.03396172821162,-0.08798878088717878,-199.2634914689991,-0.05674754282088099
19,19.0,RNAP,Raspberry,4819.0,-113.22952974078746,-0.04469081561248926,-199.2634914689991,-0.05674754282088099
19,19.0,EXT_R,EXT,9085.0,0.0,-0.06,-199.2634914689991,-0.05674754282088099
20,20.0,EXT_L,EXT,-1089.0,-105.734810116797,-0.04233260318955377,-198.71426772465065,-0.056591131339174594
20,20.0,ori,ori,3085.0,-92.97945760785367,-0.09172401002661103,-198.71426772465065,-0.056591131339174594
20,20.0,RNAP,Raspberry,4879.0,-105.734810116797,-0.04233260318955377,-198.71426772465065,-0.056591131339174594
20,20.0,EXT_R,EXT,9085.0,0.0,-0.06,-198.71426772465065,-0.056591131339174594
21,21.0,EXT_L,EXT,-1029.0,-98.2800935984201,-0.039921854251115295,-198.1945301955712,-0.05644311713210824
21,21.0,ori,ori,3085.0,-99.9144365971511,-0.09519367328513276,-198.1945301955712,-0.05644311713210824
21,21.0,RNAP,Raspberry,4939.0,-98.2800935984201,-0.039921854251115295,-198.1945301955712,-0.05644311713210824
21,21.0,EXT_R,EXT,9085.0,0.0,-0.06,-198.1945301955712,-0.05644311713210824
22,22.0,EXT_L,EXT,-969.0,-90.86615190475557,-0.03745655426035997,-197.7054338134496,-0.05630382910858035
22,22.0,ori,ori,3085.0,-106.839281908694,-0.09842447532395267,-197.7054338134496,-0.05630382910858035
22,22.0,RNAP,Raspberry,4999.0,-90.86615190475557,-0.03745655426035997,-197.7054338134496,-0.05630382910858035
22,22.0,EXT_R,EXT,9085.0,0.0,-0.06,-197.7054338134496,-0.05630382910858035
23,23.0,EXT_L,EXT,-909.0,-83.49317387033022,-0.03493432374233559,-197.24743704429437,-0.05617339783349901
23,23.0,ori,ori,3085.0,-113.75426317396415,-0.10143959949844389,-197.24743704429437,-0.05617339783349901
23,23.0,RNAP,Raspberry,5059.0,-83.49317387033022,-0.03493432374233559,-197.24743704429437,-0.05617339783349901
23,23.0,EXT_R,EXT,9085.0,0.0,-0.06,-197.24743704429437,-0.05617339783349901
24,24.0,EXT_L,EXT,-849.0,-76.16072477176643,-0.032352373176747294,-196.82029900574975,-0.056051754706832685
24,24.0,ori,ori,3085.0,-120.65957423398332,-0.10425928673338693,-196.82029900574975,-0.056051754706832685
24,24.0,RNAP,Raspberry,5119.0,-76.16072477176643,-0.032352373176747294,-196.82029900574975,-0.056051754706832685
24,24.0,EXT_R,EXT,9085.0,0.0,-0.06,-196.82029900574975,-0.056051754706832685
25,25.0,EXT_L,EXT,-789.0,-68.86775777631244,-0.029707476182868384,-196.42311506966053,-0.05593864210273834
25,25.0,ori,ori,3085.0,-127.5553572933481,-0.10690129845859404,-196.42311506966053,-0.05593864210273834
