frame,time,type,name,twist,superhelical,#enzymes,binding,unbinding
0,0.0,circuit,Pleu500_0,-211.83310464205465,-0.060000000000000005,1,0,0
0,0.0,gene,tetA,-211.83310464205465,-0.06,0,0,0
0,0.0,gene,CDS,-211.83310464205465,-0.06,0,0,0
0,0.0,origin,ori,-211.83310464205465,-0.06,1,0,0
0,0.0,lacOP,lac1,-211.83310464205465,-0.06,0,0,0
0,0.0,gene,mKalama1,-211.83310464205465,-0.06,0,0,0
0,0.0,lacOP,lac2,-211.83310464205465,-0.06,0,0,0
0,0.0,gene,Raspberry,-211.83310464205465,-0.06,0,0,0
1,1.0,circuit,Pleu500_0,-211.83310464205465,-0.060000000000000005,1,0,0
1,1.0,gene,tetA,-211.83310464205465,-0.06,0,0,0
1,1.0,gene,CDS,-211.83310464205465,-0.06,0,0,0
1,1.0,origin,ori,-211.83310464205465,-0.06,1,0,0
1,1.0,lacOP,lac1,-211.83310464205465,-0.06,0,0,0
1,1.0,gene,mKalama1,-211.83310464205465,-0.06,0,0,0
1,1.0,lacOP,lac2,-211.83310464205465,-0.06,0,0,0
1,1.0,gene,Raspberry,-211.83310464205465,-0.06,0,0,0
2,2.0,circuit,Pleu500_0,-211.1412870971725,-0.05980404832019496,1,0,0
2,2.0,gene,tetA,-211.1412870971725,-0.05980404832019496,0,0,0
2,2.0,gene,CDS,-211.1412870971725,-0.05980404832019496,0,0,0
2,2.0,origin,ori,-211.1412870971725,-0.05980404832019496,1,0,0
2,2.0,lacOP,lac1,-211.1412870971725,-0.05980404832019496,0,0,0
2,2.0,gene,mKalama1,-211.1412870971725,-0.05980404832019496,0,0,0
2,2.0,lacOP,lac2,-211.1412870971725,-0.05980404832019496,0,0,0
2,2.0,gene,Raspberry,-211.1412870971725,-0.05980404832019496,0,0,0
3,3.0,circuit,Pleu500_0,-210.4517814296509,-0.059608751460805576,1,0,0
3,3.0,gene,tetA,-210.4517814296509,-0.059608751460805576,0,0,0
3,3.0,gene,CDS,-210.4517814296509,-0.059608751460805576,0,0,0
3,3.0,origin,ori,-210.4517814296509,-0.059608751460805576,1,0,0
3,3.0,lacOP,lac1,-210.4517814296509,-0.059608751460805576,0,0,0
3,3.0,gene,mKalama1,-210.4517814296509,-0.059608751460805576,0,0,0
3,3.0,lacOP,lac2,-210.4517814296509,-0.059608751460805576,0,0,0
3,3.0,gene,Raspberry,-210.4517814296509,-0.059608751460805576,0,0,0
4,4.0,circuit,Pleu500_0,-209.76460395939966,-0.05941411404431327,1,0,0
4,4.0,gene,tetA,-209.76460395939966,-0.05941411404431327,0,0,0
4,4.0,gene,CDS,-209.76460395939966,-0.05941411404431327,0,0,0
4,4.0,origin,ori,-209.76460395939966,-0.05941411404431327,1,0,0
4,4.0,lacOP,lac1,-209.76460395939966,-0.05941411404431327,0,0,0
4,4.0,gene,mKalama1,-209.76460395939966,-0.05941411404431327,0,0,0
4,4.0,lacOP,lac2,-209.76460395939966,-0.05941411404431327,0,0,0
4,4.0,gene,Raspberry,-209.76460395939966,-0.05941411404431327,0,0,0
