frame,time,name,site,position,twist,superhelical,global_twist,global_superhelical
0,0.0,EXT_L,EXT,-1609.0,-168.53298189657704,-0.06,-211.68948897789056,-0.060368600682593865
0,0.0,ori,ori,3085.0,-0.6462704887384718,-0.06,-211.68948897789056,-0.060368600682593865
0,0.0,lacI,lac1,3167.0,-42.51023659257503,-0.06,-211.68948897789056,-0.060368600682593865
0,0.0,lacI,lac2,4371.0,-168.53298189657704,-0.06,-211.68948897789056,-0.060368600682593865
0,0.0,EXT_R,EXT,9085.0,0.0,-0.06,-211.68948897789056,-0.060368600682593865
1,0.25,EXT_L,EXT,-1609.0,-168.53298189657704,-0.06,-211.68948897789056,-0.060368600682593865
1,0.25,ori,ori,3085.0,-0.6462704887384718,-0.06000000000000001,-211.68948897789056,-0.060368600682593865
1,0.25,lacI,lac1,3167.0,-42.51023659257503,-0.06,-211.68948897789056,-0.060368600682593865
1,0.25,lacI,lac2,4371.0,-168.53298189657704,-0.06,-211.68948897789056,-0.060368600682593865
1,0.25,EXT_R,EXT,9085.0,0.0,-0.06,-211.68948897789056,-0.060368600682593865
2,0.5,EXT_L,EXT,-1609.0,-168.53298189657704,-0.06,-211.68948897789056,-0.060368600682593865
2,0.5,ori,ori,3085.0,-0.6462704887384718,-0.06000000000000001,-211.68948897789056,-0.060368600682593865
2,0.5,lacI,lac1,3167.0,-42.51023659257503,-0.06,-211.68948897789056,-0.060368600682593865
2,0.5,lacI,lac2,4371.0,-168.53298189657704,-0.06,-211.68948897789056,-0.060368600682593865
2,0.5,EXT_R,EXT,9085.0,0.0,-0.06,-211.68948897789056,-0.060368600682593865
3,0.75,EXT_L,EXT,-1609.0,-168.53298189657704,-0.06,-211.68948897789056,-0.060368600682593865
3,0.75,ori,ori,3085.0,-0.6462704887384718,-0.06000000000000001,-211.68948897789056,-0.060368600682593865
3,0.75,lacI,lac1,3167.0,-42.51023659257503,-0.06,-211.68948897789056,-0.060368600682593865
3,0.75,lacI,lac2,4371.0,-168.53298189657704,-0.06,-211.68948897789056,-0.060368600682593865
3,0.75,EXT_R,EXT,9085.0,0.0,-0.06,-211.68948897789056,-0.060368600682593865
4,1.0,EXT_L,EXT,-1609.0,-168.53298189657704,-0.06,-211.68948897789056,-0.060368600682593865
4,1.0,ori,ori,3085.0,-0.6462704887384718,-0.06000000000000001,-211.68948897789056,-0.060368600682593865
4,1.0,lacI,lac1,3167.0,-42.51023659257503,-0.06,-211.68948897789056,-0.060368600682593865
4,1.0,lacI,lac2,4371.0,-168.53298189657704,-0.06,-211.68948897789056,-0.060368600682593865
4,1.0,EXT_R,EXT,9085.0,0.0,-0.06,-211.68948897789056,-0.060368600682593865
5,1.25,EXT_L,EXT,-1609.0,-168.53298189657704,-0.06,-211.68948897789056,-0.060368600682593865
5,1.25,ori,ori,3085.0,-0.6462704887384718,-0.06000000000000001,-211.68948897789056,-0.060368600682593865
5,1.25,lacI,lac1,3167.0,-42.51023659257503,-0.06,-211.68948897789056,-0.060368600682593865
5,1.25,lacI,lac2,4371.0,-168.53298189657704,-0.06,-211.68948897789056,-0.060368600682593865
5,1.25,EXT_R,EXT,9085.0,0.0,-0.06,-211.68948897789056,-0.060368600682593865
6,1.5,EXT_L,EXT,-1609.0,-168.53298189657704,-0.06,-211.68948897789056,-0.060368600682593865
6,1.5,ori,ori,3085.0,-0.6462704887384718,-0.06000000000000001,-211.68948897789056,-0.060368600682593865
6,1.5,lacI,lac1,3167.0,-42.51023659257503,-0.06,-211.68948897789056,-0.060368600682593865
6,1.5,lacI,lac2,4371.0,-168.53298189657704,-0.06,-211.68948897789056,-0.060368600682593865
6,1.5,EXT_R,EXT,9085.0,0.0,-0.06,-211.68948897789056,-0.060368600682593865
7,1.75,EXT_L,EXT,-1609.0,-168.53298189657704,-0.06,-211.68948897789056,-0.060368600682593865
7,1.75,ori,ori,3085.0,-0.6462704887384718,-0.06000000000000001,-211.68948897789056,-0.060368600682593865
7,1.75,lacI,lac1,3167.0,-42.51023659257503,-0.06,-211.68948897789056,-0.060368600682593865
7,1.75,lacI,lac2,4371.0,-168.53298189657704,-0.06,-211.68948897789056,-0.060368600682593865
7,1.75,EXT_R,EXT,9085.0,0.0,-0.06,-211.68948897789056,-0.060368600682593865
8,2.0,EXT_L,EXT,-1609.0,-168.53298189657704,-0.06,-211.68948897789056,-0.060368600682593865
8,2.0,ori,ori,3085.0,-0.6462704887384718,-0.06000000000000001,-211.68948897789056,-0.060368600682593865
8,2.0,lacI,lac1,3167.0,-42.51023659257503,-0.06,-211.68948897789056,-0.060368600682593865
8,2.0,lacI,lac2,4371.0,-168.53298189657704,-0.06,-211.68948897789056,-0.060368600682593865
8,2.0,EXT_R,EXT,9085.0,0.0,-0.06,-211.68948897789056,-0.060368600682593865
9,2.25,EXT_L,EXT,-1609.0,-168.53298189657704,-0.06,-211.68948897789056,-0.060368600682593865
9,2.25,ori,ori,3085.0,-0.6462704887384718,-0.06000000000000001,-211.68948897789056,-0.060368600682593865
9,2.25,lacI,lac1,3167.0,-42.51023659257503,-0.06,-211.68948897789056,-0.060368600682593865
9,2.25,lacI,lac2,4371.0,-168.53298189657704,-0.06,-211.68948897789056,-0.060368600682593865
9,2.25,EXT_R,EXT,9085.0,0.0,-0.06,-211.68948897789056,-0.060368600682593865
