frame,time,type,name,twist,superhelical,#enzymes,binding,unbinding
0,0.0,circuit,Pleu500,-211.68948897789056,-0.060368600682593865,3,0,0
0,0.0,DNA_topoI,DNA_topoI_global,-211.68948897789056,-0.060368600682593865,0,0,0
0,0.0,DNA_gyrase,DNA_gyrase_global,-211.68948897789056,-0.060368600682593865,0,0,0
0,0.0,gene,tetA,-168.53298189657704,-0.06,0,0,0
0,0.0,gene,CDS,-168.53298189657704,-0.06,0,0,0
0,0.0,origin,ori,-0.6462704887384718,-0.06,1,0,0
0,0.0,lacOP,lac1,-42.51023659257503,-0.06,1,0,0
0,0.0,gene,mKalama1,-42.51023659257503,-0.06,0,0,0
0,0.0,lacOP,lac2,-168.53298189657704,-0.06,1,0,0
0,0.0,gene,Raspberry,-168.53298189657704,-0.06,0,0,0
1,0.25,circuit,Pleu500,-211.68948897789056,-0.060368600682593865,3,0,0
1,0.25,DNA_topoI,DNA_topoI_global,-211.68948897789056,-0.060368600682593865,0,0,0
1,0.25,DNA_gyrase,DNA_gyrase_global,-211.68948897789056,-0.060368600682593865,0,0,0
1,0.25,gene,tetA,-168.53298189657704,-0.06,0,0,0
1,0.25,gene,CDS,-168.53298189657704,-0.06,0,0,0
1,0.25,origin,ori,-0.6462704887384718,-0.06,1,0,0
1,0.25,lacOP,lac1,-42.51023659257503,-0.06,1,0,0
1,0.25,gene,mKalama1,-42.51023659257503,-0.06,0,0,0
1,0.25,lacOP,lac2,-168.53298189657704,-0.06,1,0,0
1,0.25,gene,Raspberry,-168.53298189657704,-0.06,0,0,0
2,0.5,circuit,Pleu500,-211.68948897789056,-0.060368600682593865,3,0,0
2,0.5,DNA_topoI,DNA_topoI_global,-211.68948897789056,-0.060368600682593865,0,0,0
2,0.5,DNA_gyrase,DNA_gyrase_global,-211.68948897789056,-0.060368600682593865,0,0,0
2,0.5,gene,tetA,-168.53298189657704,-0.06,0,0,0
2,0.5,gene,CDS,-168.53298189657704,-0.06,0,0,0
2,0.5,origin,ori,-0.6462704887384718,-0.06000000000000001,1,0,0
2,0.5,lacOP,lac1,-42.51023659257503,-0.06,1,0,0
2,0.5,gene,mKalama1,-42.51023659257503,-0.06,0,0,0
2,0.5,lacOP,lac2,-168.53298189657704,-0.06,1,0,0
2,0.5,gene,Raspberry,-168.53298189657704,-0.06,0,0,0
3,0.75,circuit,Pleu500,-211.68948897789056,-0.060368600682593865,3,0,0
3,0.75,DNA_topoI,DNA_topoI_global,-211.68948897789056,-0.060368600682593865,0,0,0
3,0.75,DNA_gyrase,DNA_gyrase_global,-211.68948897789056,-0.060368600682593865,0,0,0
3,0.75,gene,tetA,-168.53298189657704,-0.06,0,0,0
3,0.75,gene,CDS,-168.53298189657704,-0.06,0,0,0
3,0.75,origin,ori,-0.6462704887384718,-0.06000000000000001,1,0,0
3,0.75,lacOP,lac1,-42.51023659257503,-0.06,1,0,0
3,0.75,gene,mKalama1,-42.51023659257503,-0.06,0,0,0
3,0.75,lacOP,lac2,-168.53298189657704,-0.06,1,0,0
3,0.75,gene,Raspberry,-168.53298189657704,-0.06,0,0,0
4,1.0,circuit,Pleu500,-211.68948897789056,-0.060368600682593865,3,0,0
4,1.0,DNA_topoI,DNA_topoI_global,-211.68948897789056,-0.060368600682593865,0,0,0
4,1.0,DNA_gyrase,DNA_gyrase_global,-211.68948897789056,-0.060368600682593865,0,0,0
4,1.0,gene,tetA,-168.53298189657704,-0.06,0,0,0
4,1.0,gene,CDS,-168.53298189657704,-0.06,0,0,0
4,1.0,origin,ori,-0.6462704887384718,-0.06000000000000001,1,0,0
4,1.0,lacOP,lac1,-42.51023659257503,-0.06,1,0,0
4,1.0,gene,mKalama1,-42.51023659257503,-0.06,0,0,0
4,1.0,lacOP,lac2,-168.53298189657704,-0.06,1,0,0
4,1.0,gene,Raspberry,-168.53298189657704,-0.06,0,0,0
5,1.25,circuit,Pleu500,-211.68948897789056,-0.060368600682593865,3,0,0
5,1.25,DNA_topoI,DNA_topoI_global,-211.68948897789056,-0.060368600682593865,0,0,0
5,1.25,DNA_gyrase,DNA_gyrase_global,-211.68948897789056,-0.060368600682593865,0,0,0
5,1.25,gene,tetA,-168.53298189657704,-0.06,0,0,0
5,1.25,gene,CDS,-168.53298189657704,-0.06,0,0,0
5,1.25,origin,ori,-0.6462704887384718,-0.06000000000000001,1,0,0
5,1.25,lacOP,lac1,-42.51023659257503,-0.06,1,0,0
5,1.25,gene,mKalama1,-42.51023659257503,-0.06,0,0,0
5,1.25,lacOP,lac2,-168.53298189657704,-0.06,1,0,0
5,1.25,gene,Raspberry,-168.53298189657704,-0.06,0,0,0
6,1.5,circuit,Pleu500,-211.68948897789056,-0.060368600682593865,3,0,0
6,1.5,DNA_topoI,DNA_topoI_global,-211.68948897789056,-0.060368600682593865,0,0,0
6,1.5,DNA_gyrase,DNA_gyrase_global,-211.68948897789056,-0.060368600682593865,0,0,0
6,1.5,gene,tetA,-168.53298189657704,-0.06,0,0,0
6,1.5,gene,CDS,-168.53298189657704,-0.06,0,0,0
6,1.5,origin,ori,-0.6462704887384718,-0.06000000000000001,1,0,0
6,1.5,lacOP,lac1,-42.51023659257503,-0.06,1,0,0
6,1.5,gene,mKalama1,-42.51023659257503,-0.06,0,0,0
6,1.5,lacOP,lac2,-168.53298189657704,-0.06,1,0,0
6,1.5,gene,Raspberry,-168.53298189657704,-0.06,0,0,0
7,1.75,circuit,Pleu500,-211.68948897789056,-0.060368600682593865,3,0,0
7,1.75,DNA_topoI,DNA_topoI_global,-211.68948897789056,-0.060368600682593865,0,0,0
7,1.75,DNA_gyrase,DNA_gyrase_global,-211.68948897789056,-0.060368600682593865,0,0,0
7,1.75,gene,tetA,-168.53298189657704,-0.06,0,0,0
7,1.75,gene,CDS,-168.53298189657704,-0.06,0,0,0
7,1.75,origin,ori,-0.6462704887384718,-0.06000000000000001,1,0,0
7,1.75,lacOP,lac1,-42.51023659257503,-0.06,1,0,0
7,1.75,gene,mKalama1,-42.51023659257503,-0.06,0,0,0
7,1.75,lacOP,lac2,-168.53298189657704,-0.06,1,0,0
7,1.75,gene,Raspberry,-168.53298189657704,-0.06,0,0,0
8,2.0,circuit,Pleu500,-211.68948897789056,-0.060368600682593865,3,0,0
8,2.0,DNA_topoI,DNA_topoI_global,-211.68948897789056,-0.060368600682593865,0,0,0
8,2.0,DNA_gyrase,DNA_gyrase_global,-211.68948897789056,-0.060368600682593865,0,0,0
8,2.0,gene,tetA,-168.53298189657704,-0.06,0,0,0
8,2.0,gene,CDS,-168.53298189657704,-0.06,0,0,0
8,2.0,origin,ori,-0.6462704887384718,-0.06000000000000001,1,0,0
8,2.0,lacOP,lac1,-42.51023659257503,-0.06,1,0,0
8,2.0,gene,mKalama1,-42.51023659257503,-0.06,0,0,0
8,2.0,lacOP,lac2,-168.53298189657704,-0.06,1,0,0
8,2.0,gene,Raspberry,-168.53298189657704,-0.06,0,0,0
9,2.25,circuit,Pleu500,-211.68948897789056,-0.060368600682593865,3,0,0
9,2.25,DNA_topoI,DNA_topoI_global,-211.68948897789056,-0.060368600682593865,0,0,0
9,2.25,DNA_gyrase,DNA_gyrase_global,-211.68948897789056,-0.060368600682593865,0,0,0
9,2.25,gene,tetA,-168.53298189657704,-0.06,0,0,0
9,2.25,gene,CDS,-168.53298189657704,-0.06,0,0,0
9,2.25,origin,ori,-0.6462704887384718,-0.06000000000000001,1,0,0
9,2.25,lacOP,lac1,-42.51023659257503,-0.06,1,0,0
9,2.25,gene,mKalama1,-42.51023659257503,-0.06,0,0,0
9,2.25,lacOP,lac2,-168.53298189657704,-0.06,1,0,0
9,2.25,gene,Raspberry,-168.53298189657704,-0.06,0,0,0
10,2.5,circuit,Pleu500,-211.68948897789056,-0.060368600682593865,3,0,0
10,2.5,DNA_topoI,DNA_topoI_global,-211.68948897789056,-0.060368600682593865,0,0,0
10,2.5,DNA_gyrase,DNA_gyrase_global,-211.68948897789056,-0.060368600682593865,0,0,0
10,2.5,gene,tetA,-168.53298189657704,-0.06,0,0,0
10,2.5,gene,CDS,-168.53298189657704,-0.06,0,0,0
10,2.5,origin,ori,-0.6462704887384718,-0.06000000000000001,1,0,0
10,2.5,lacOP,lac1,-42.51023659257503,-0.06,1,0,0
10,2.5,gene,mKalama1,-42.51023659257503,-0.06,0,0,0
10,2.5,lacOP,lac2,-168.53298189657704,-0.06,1,0,0
10,2.5,gene,Raspberry,-168.53298189657704,-0.06,0,0,0
11,2.75,circuit,Pleu500,-211.68948897789056,-0.060368600682593865,3,0,0
11,2.75,DNA_topoI,DNA_topoI_global,-211.68948897789056,-0.060368600682593865,0,0,0
11,2.75,DNA_gyrase,DNA_gyrase_global,-211.68948897789056,-0.060368600682593865,0,0,0
11,2.75,gene,tetA,-168.53298189657704,-0.06,0,0,0
11,2.75,gene,CDS,-168.53298189657704,-0.06,0,0,0
11,2.75,origin,ori,-0.6462704887384718,-0.06000000000000001,1,0,0
11,2.75,lacOP,lac1,-42.51023659257503,-0.06,1,0,0
11,2.75,gene,mKalama1,-42.51023659257503,-0.06,0,0,0
11,2.75,lacOP,lac2,-168.53298189657704,-0.06,1,0,0
11,2.75,gene,Raspberry,-168.53298189657704,-0.06,0,0,0
12,3.0,circuit,Pleu500,-211.68948897789056,-0.060368600682593865,3,0,0
12,3.0,DNA_topoI,DNA_topoI_global,-211.68948897789056,-0.060368600682593865,0,0,0
12,3.0,DNA_gyrase,DNA_gyrase_global,-211.68948897789056,-0.060368600682593865,0,0,0
12,3.0,gene,tetA,-168.53298189657704,-0.06,0,0,0
12,3.0,gene,CDS,-168.53298189657704,-0.06,0,0,0
12,3.0,origin,ori,-0.6462704887384718,-0.06000000000000001,1,0,0
12,3.0,lacOP,lac1,-42.51023659257503,-0.06,1,0,0
12,3.0,gene,mKalama1,-42.51023659257503,-0.06,0,0,0
12,3.0,lacOP,lac2,-168.53298189657704,-0.06,1,0,0
12,3.0,gene,Raspberry,-168.53298189657704,-0.06,0,0,0
13,3.25,circuit,Pleu500,-211.68948897789056,-0.060368600682593865,3,0,0
13,3.25,DNA_topoI,DNA_topoI_global,-211.68948897789056,-0.060368600682593865,0,0,0
13,3.25,DNA_gyrase,DNA_gyrase_global,-211.68948897789056,-0.060368600682593865,0,0,0
13,3.25,gene,tetA,-168.53298189657704,-0.06,0,0,0
13,3.25,gene,CDS,-168.53298189657704,-0.06,0,0,0
13,3.25,origin,ori,-0.6462704887384718,-0.06000000000000001,1,0,0
13,3.25,lacOP,lac1,-42.51023659257503,-0.06,1,0,0
13,3.25,gene,mKalama1,-42.51023659257503,-0.06,0,0,0
13,3.25,lacOP,lac2,-168.53298189657704,-0.06,1,0,0
13,3.25,gene,Raspberry,-168.53298189657704,-0.06,0,0,0
14,3.5,circuit,Pleu500,-211.68948897789056,-0.060368600682593865,3,0,0
14,3.5,DNA_topoI,DNA_topoI_global,-211.68948897789056,-0.060368600682593865,0,0,0
14,3.5,DNA_gyrase,DNA_gyrase_global,-211.68948897789056,-0.060368600682593865,0,0,0
14,3.5,gene,tetA,-168.53298189657704,-0.06,0,0,0
14,3.5,gene,CDS,-168.53298189657704,-0.06,0,0,0
14,3.5,origin,ori,-0.6462704887384718,-0.06000000000000001,1,0,0
14,3.5,lacOP,lac1,-42.51023659257503,-0.06,1,0,0
14,3.5,gene,mKalama1,-42.51023659257503,-0.06,0,0,0
14,3.5,lacOP,lac2,-168.53298189657704,-0.06,1,0,0
14,3.5,gene,Raspberry,-168.53298189657704,-0.06,0,0,0
15,3.75,circuit,Pleu500,-211.68948897789056,-0.060368600682593865,3,0,0
15,3.75,DNA_topoI,DNA_topoI_global,-211.68948897789056,-0.060368600682593865,0,0,0
15,3.75,DNA_gyrase,DNA_gyrase_global,-211.68948897789056,-0.060368600682593865,0,0,0
15,3.75,gene,tetA,-168.53298189657704,-0.06,0,0,0
15,3.75,gene,CDS,-168.53298189657704,-0.06,0,0,0
15,3.75,origin,ori,-0.6462704887384718,-0.06000000000000001,1,0,0
15,3.75,lacOP,lac1,-42.51023659257503,-0.06,1,0,0
15,3.75,gene,mKalama1,-42.51023659257503,-0.06,0,0,0
15,3.75,lacOP,lac2,-168.53298189657704,-0.06,1,0,0
15,3.75,gene,Raspberry,-168.53298189657704,-0.06,0,0,0
16,4.0,circuit,Pleu500,-211.68948897789056,-0.060368600682593865,3,0,0
16,4.0,DNA_topoI,DNA_topoI_global,-211.68948897789056,-0.060368600682593865,0,0,0
16,4.0,DNA_gyrase,DNA_gyrase_global,-211.68948897789056,-0.060368600682593865,0,0,0
16,4.0,gene,tetA,-168.53298189657704,-0.06,0,0,0
16,4.0,gene,CDS,-168.53298189657704,-0.06,0,0,0
16,4.0,origin,ori,-0.6462704887384718,-0.06000000000000001,1,0,0
