frame,time,type,name,concentration
0,0,topo,topoI,0.25
0,0,topo,gyrase,0.25
0,0,RNAP,RNAP,1.0
1,1,topo,topoI,0.25
1,1,topo,gyrase,0.25
1,1,RNAP,RNAP,1.0
2,2,topo,topoI,0.25
2,2,topo,gyrase,0.25
2,2,RNAP,RNAP,1.0
3,3,topo,topoI,0.25
3,3,topo,gyrase,0.25
3,3,RNAP,RNAP,1.0
4,4,topo,topoI,0.25
4,4,topo,gyrase,0.25
4,4,RNAP,RNAP,1.0
5,5,topo,topoI,0.25
5,5,topo,gyrase,0.25
5,5,RNAP,RNAP,1.0
6,6,topo,topoI,0.25
6,6,topo,gyrase,0.25
6,6,RNAP,RNAP,1.0
7,7,topo,topoI,0.25
7,7,topo,gyrase,0.25
7,7,RNAP,RNAP,1.0
8,8,topo,topoI,0.25
8,8,topo,gyrase,0.25
8,8,RNAP,RNAP,1.0
9,9,topo,topoI,0.25
9,9,topo,gyrase,0.25
9,9,RNAP,RNAP,1.0
10,10,topo,topoI,0.25
10,10,topo,gyrase,0.25
10,10,RNAP,RNAP,1.0
11,11,topo,topoI,0.25
11,11,topo,gyrase,0.25
11,11,RNAP,RNAP,1.0
12,12,topo,topoI,0.25
12,12,topo,gyrase,0.25
12,12,RNAP,RNAP,1.0
13,13,topo,topoI,0.25
13,13,topo,gyrase,0.25
13,13,RNAP,RNAP,1.0
14,14,topo,topoI,0.25
14,14,topo,gyrase,0.25
14,14,RNAP,RNAP,1.0
15,15,topo,topoI,0.25
15,15,topo,gyrase,0.25
15,15,RNAP,RNAP,1.0
16,16,topo,topoI,0.25
16,16,topo,gyrase,0.25
16,16,RNAP,RNAP,1.0
17,17,topo,topoI,0.25
17,17,topo,gyrase,0.25
17,17,RNAP,RNAP,1.0
18,18,topo,topoI,0.25
18,18,topo,gyrase,0.25
18,18,RNAP,RNAP,1.0
19,19,topo,topoI,0.25
19,19,topo,gyrase,0.25
19,19,RNAP,RNAP,1.0
20,20,topo,topoI,0.25
20,20,topo,gyrase,0.25
20,20,RNAP,RNAP,1.0
21,21,topo,topoI,0.25
21,21,topo,gyrase,0.25
21,21,RNAP,RNAP,1.0
22,22,topo,topoI,0.25
22,22,topo,gyrase,0.25
22,22,RNAP,RNAP,1.0
23,23,topo,topoI,0.25
23,23,topo,gyrase,0.25
23,23,RNAP,RNAP,1.0
24,24,topo,topoI,0.25
24,24,topo,gyrase,0.25
24,24,RNAP,RNAP,1.0
25,25,topo,topoI,0.25
25,25,topo,gyrase,0.25
25,25,RNAP,RNAP,1.0
26,26,topo,topoI,0.25
26,26,topo,gyrase,0.25
26,26,RNAP,RNAP,1.0
27,27,topo,topoI,0.25
27,27,topo,gyrase,0.25
27,27,RNAP,RNAP,1.0
28,28,topo,topoI,0.25
28,28,topo,gyrase,0.25
28,28,RNAP,RNAP,1.0
29,29,topo,topoI,0.25
29,29,topo,gyrase,0.25
29,29,RNAP,RNAP,1.0
30,30,topo,topoI,0.25
30,30,topo,gyrase,0.25
30,30,RNAP,RNAP,1.0
31,31,topo,topoI,0.25
31,31,topo,gyrase,0.25
31,31,RNAP,RNAP,1.0
31,31,mRNA,tetA,1.0
32,32,topo,topoI,0.25
32,32,topo,gyrase,0.25
32,32,RNAP,RNAP,1.0
32,32,mRNA,tetA,1.0
33,33,topo,topoI,0.25
33,33,topo,gyrase,0.25
33,33,RNAP,RNAP,1.0
33,33,mRNA,tetA,1.0
34,34,topo,topoI,0.25
34,34,topo,gyrase,0.25
34,34,RNAP,RNAP,1.0
34,34,mRNA,tetA,1.0
35,35,topo,topoI,0.25
35,35,topo,gyrase,0.25
35,35,RNAP,RNAP,1.0
35,35,mRNA,tetA,1.0
35,35,mRNA,mKalama1,1.0
36,36,topo,topoI,0.25
36,36,topo,gyrase,0.25
36,36,RNAP,RNAP,1.0
36,36,mRNA,tetA,1.0
36,36,mRNA,mKalama1,1.0
37,37,topo,topoI,0.25
37,37,topo,gyrase,0.25
37,37,RNAP,RNAP,1.0
37,37,mRNA,tetA,1.0
37,37,mRNA,mKalama1,1.0
38,38,topo,topoI,0.25
38,38,topo,gyrase,0.25
38,38,RNAP,RNAP,1.0
38,38,mRNA,tetA,1.0
38,38,mRNA,mKalama1,1.0
39,39,topo,topoI,0.25
39,39,topo,gyrase,0.25
39,39,RNAP,RNAP,1.0
39,39,mRNA,tetA,1.0
39,39,mRNA,mKalama1,1.0
40,40,topo,topoI,0.25
40,40,topo,gyrase,0.25
40,40,RNAP,RNAP,1.0
40,40,mRNA,tetA,1.0
40,40,mRNA,mKalama1,1.0
41,41,topo,topoI,0.25
41,41,topo,gyrase,0.25
41,41,RNAP,RNAP,1.0
41,41,mRNA,tetA,1.0
41,41,mRNA,mKalama1,1.0
42,42,topo,topoI,0.25
42,42,topo,gyrase,0.25
42,42,RNAP,RNAP,1.0
42,42,mRNA,tetA,1.0
42,42,mRNA,mKalama1,1.0
43,43,topo,topoI,0.25
43,43,topo,gyrase,0.25
43,43,RNAP,RNAP,1.0
43,43,mRNA,tetA,1.0
43,43,mRNA,mKalama1,1.0
44,44,topo,topoI,0.25
44,44,topo,gyrase,0.25
44,44,RNAP,RNAP,1.0
44,44,mRNA,tetA,2.0
44,44,mRNA,mKalama1,1.0
45,45,topo,topoI,0.25
45,45,topo,gyrase,0.25
45,45,RNAP,RNAP,1.0
45,45,mRNA,tetA,2.0
45,45,mRNA,mKalama1,1.0
46,46,topo,topoI,0.25
46,46,topo,gyrase,0.25
46,46,RNAP,RNAP,1.0
46,46,mRNA,tetA,2.0
46,46,mRNA,mKalama1,1.0
47,47,topo,topoI,0.25
47,47,topo,gyrase,0.25
47,47,RNAP,RNAP,1.0
47,47,mRNA,tetA,2.0
47,47,mRNA,mKalama1,1.0
48,48,topo,topoI,0.25
48,48,topo,gyrase,0.25
48,48,RNAP,RNAP,1.0
48,48,mRNA,tetA,2.0
48,48,mRNA,mKalama1,1.0
49,49,topo,topoI,0.25
49,49,topo,gyrase,0.25
49,49,RNAP,RNAP,1.0
49,49,mRNA,tetA,2.0
49,49,mRNA,mKalama1,1.0
50,50,topo,topoI,0.25
50,50,topo,gyrase,0.25
50,50,RNAP,RNAP,1.0
50,50,mRNA,tetA,2.0
50,50,mRNA,mKalama1,1.0
51,51,topo,topoI,0.25
51,51,topo,gyrase,0.25
51,51,RNAP,RNAP,1.0
51,51,mRNA,tetA,3.0
51,51,mRNA,mKalama1,1.0
52,52,topo,topoI,0.25
52,52,topo,gyrase,0.25
52,52,RNAP,RNAP,1.0
52,52,mRNA,tetA,3.0
52,52,mRNA,mKalama1,1.0
53,53,topo,topoI,0.25
53,53,topo,gyrase,0.25
53,53,RNAP,RNAP,1.0
53,53,mRNA,tetA,3.0
53,53,mRNA,mKalama1,1.0
54,54,topo,topoI,0.25
54,54,topo,gyrase,0.25
54,54,RNAP,RNAP,1.0
54,54,mRNA,tetA,3.0
54,54,mRNA,mKalama1,1.0
55,55,topo,topoI,0.25
55,55,topo,gyrase,0.25
55,55,RNAP,RNAP,1.0
55,55,mRNA,tetA,3.0
55,55,mRNA,mKalama1,1.0
56,56,topo,topoI,0.25
56,56,topo,gyrase,0.25
56,56,RNAP,RNAP,1.0
56,56,mRNA,tetA,3.0
56,56,mRNA,mKalama1,1.0
57,57,topo,topoI,0.25
57,57,topo,gyrase,0.25
57,57,RNAP,RNAP,1.0
57,57,mRNA,tetA,3.0
57,57,mRNA,mKalama1,1.0
58,58,topo,topoI,0.25
58,58,topo,gyrase,0.25
58,58,RNAP,RNAP,1.0
58,58,mRNA,tetA,3.0
58,58,mRNA,mKalama1,1.0
59,59,topo,topoI,0.25
59,59,topo,gyrase,0.25
59,59,RNAP,RNAP,1.0
59,59,mRNA,tetA,3.0
59,59,mRNA,mKalama1,1.0
60,60,topo,topoI,0.25
60,60,topo,gyrase,0.25
60,60,RNAP,RNAP,1.0
60,60,mRNA,tetA,3.0
60,60,mRNA,mKalama1,1.0
61,61,topo,topoI,0.25
61,61,topo,gyrase,0.25
61,61,RNAP,RNAP,1.0
61,61,mRNA,tetA,3.0
61,61,mRNA,mKalama1,1.0
62,62,topo,topoI,0.25
62,62,topo,gyrase,0.25
62,62,RNAP,RNAP,1.0
62,62,mRNA,tetA,3.0
62,62,mRNA,mKalama1,1.0
63,63,topo,topoI,0.25
63,63,topo,gyrase,0.25
63,63,RNAP,RNAP,1.0
63,63,mRNA,tetA,3.0
63,63,mRNA,mKalama1,1.0
64,64,topo,topoI,0.25
64,64,topo,gyrase,0.25
64,64,RNAP,RNAP,1.0
64,64,mRNA,tetA,3.0
64,64,mRNA,mKalama1,1.0
65,65,topo,topoI,0.25
65,65,topo,gyrase,0.25
65,65,RNAP,RNAP,1.0
65,65,mRNA,tetA,3.0
65,65,mRNA,mKalama1,1.0
66,66,topo,topoI,0.25
66,66,topo,gyrase,0.25
66,66,RNAP,RNAP,1.0
66,66,mRNA,tetA,3.0
66,66,mRNA,mKalama1,1.0
67,67,topo,topoI,0.25
67,67,topo,gyrase,0.25
67,67,RNAP,RNAP,1.0
67,67,mRNA,tetA,3.0
67,67,mRNA,mKalama1,1.0
68,68,topo,topoI,0.25
68,68,topo,gyrase,0.25
68,68,RNAP,RNAP,1.0
68,68,mRNA,tetA,3.0
68,68,mRNA,mKalama1,1.0
69,69,topo,topoI,0.25
69,69,topo,gyrase,0.25
69,69,RNAP,RNAP,1.0
69,69,mRNA,tetA,4.0
69,69,mRNA,mKalama1,1.0
70,70,topo,topoI,0.25
70,70,topo,gyrase,0.25
70,70,RNAP,RNAP,1.0
70,70,mRNA,tetA,4.0
70,70,mRNA,mKalama1,1.0
71,71,topo,topoI,0.25
71,71,topo,gyrase,0.25
71,71,RNAP,RNAP,1.0
71,71,mRNA,tetA,4.0
71,71,mRNA,mKalama1,1.0
72,72,topo,topoI,0.25
72,72,topo,gyrase,0.25
72,72,RNAP,RNAP,1.0
72,72,mRNA,tetA,4.0
72,72,mRNA,mKalama1,1.0
73,73,topo,topoI,0.25
73,73,topo,gyrase,0.25
73,73,RNAP,RNAP,1.0
73,73,mRNA,tetA,4.0
73,73,mRNA,mKalama1,1.0
74,74,topo,topoI,0.25
74,74,topo,gyrase,0.25
74,74,RNAP,RNAP,1.0
74,74,mRNA,tetA,4.0
74,74,mRNA,mKalama1,1.0
75,75,topo,topoI,0.25
75,75,topo,gyrase,0.25
75,75,RNAP,RNAP,1.0
75,75,mRNA,tetA,4.0
75,75,mRNA,mKalama1,1.0
76,76,topo,topoI,0.25
76,76,topo,gyrase,0.25
76,76,RNAP,RNAP,1.0
76,76,mRNA,tetA,4.0
76,76,mRNA,mKalama1,1.0
77,77,topo,topoI,0.25
77,77,topo,gyrase,0.25
77,77,RNAP,RNAP,1.0
77,77,mRNA,tetA,4.0
77,77,mRNA,mKalama1,1.0
