frame,time,name,site,position,twist,superhelical,global_twist,global_superhelical
0,0.0,EXT_L,EXT,-2815.0,-211.83310464205465,-0.06,-211.83310464205465,-0.060000000000000005
0,0.0,ori,ori,3085.0,-211.83310464205465,-0.06,-211.83310464205465,-0.060000000000000005
0,0.0,EXT_R,EXT,9085.0,0.0,-0.06,-211.83310464205465,-0.060000000000000005
1,0.25,EXT_L,EXT,-2815.0,-211.83310464205465,-0.060000000000000005,-211.83310464205465,-0.060000000000000005
1,0.25,ori,ori,3085.0,-211.83310464205465,-0.060000000000000005,-211.83310464205465,-0.060000000000000005
1,0.25,EXT_R,EXT,9085.0,0.0,-0.06,-211.83310464205465,-0.060000000000000005
2,0.5,EXT_L,EXT,-2815.0,-211.83310464205465,-0.060000000000000005,-211.83310464205465,-0.060000000000000005
2,0.5,ori,ori,3085.0,-211.83310464205465,-0.060000000000000005,-211.83310464205465,-0.060000000000000005
2,0.5,EXT_R,EXT,9085.0,0.0,-0.06,-211.83310464205465,-0.060000000000000005
3,0.75,EXT_L,EXT,-2815.0,-211.83310464205465,-0.060000000000000005,-211.83310464205465,-0.060000000000000005
3,0.75,ori,ori,3085.0,-211.83310464205465,-0.060000000000000005,-211.83310464205465,-0.060000000000000005
3,0.75,EXT_R,EXT,9085.0,0.0,-0.06,-211.83310464205465,-0.060000000000000005
4,1.0,EXT_L,EXT,-2815.0,-105.32916719152178,-0.06105390388760855,-211.83310464205465,-0.06032719836400818
4,1.0,RNAP,tetA,68.0,-106.50393745053286,-0.05962532498895295,-211.83310464205465,-0.06032719836400818
4,1.0,ori,ori,3085.0,-105.32916719152178,-0.06105390388760855,-211.83310464205465,-0.06032719836400818
4,1.0,EXT_R,EXT,6068.0,0.0,-0.06,-211.83310464205465,-0.06032719836400818
5,1.25,EXT_L,EXT,-2815.0,-107.12436299357309,-0.06177308657970168,-211.83310464205465,-0.06032719836400818
5,1.25,RNAP,tetA,83.0,-104.70874164848155,-0.05891636198384664,-211.83310464205465,-0.06032719836400818
5,1.25,ori,ori,3085.0,-107.12436299357309,-0.06177308657970168,-211.83310464205465,-0.06032719836400818
5,1.25,EXT_R,EXT,6083.0,0.0,-0.06,-211.83310464205465,-0.06032719836400818
6,1.5,EXT_L,EXT,-2815.0,-108.9195587956244,-0.062484862652926694,-211.83310464205468,-0.06032719836400819
6,1.5,RNAP,tetA,98.0,-102.91354584643024,-0.05820020138477988,-211.83310464205468,-0.06032719836400819
6,1.5,ori,ori,3085.0,-108.9195587956244,-0.062484862652926694,-211.83310464205468,-0.06032719836400819
6,1.5,EXT_R,EXT,6098.0,0.0,-0.06,-211.83310464205468,-0.06032719836400819
7,1.75,EXT_L,EXT,-2815.0,-110.71475459767571,-0.06318934593851622,-211.83310464205465,-0.06032719836400818
7,1.75,RNAP,tetA,113.0,-101.11835004437893,-0.05747673302449814,-211.83310464205465,-0.06032719836400818
7,1.75,ori,ori,3085.0,-110.71475459767571,-0.06318934593851622,-211.83310464205465,-0.06032719836400818
7,1.75,EXT_R,EXT,6113.0,0.0,-0.06,-211.83310464205465,-0.06032719836400818
8,2.0,EXT_L,EXT,-2815.0,-112.50995039972702,-0.06388664794698452,-211.83310464205465,-0.06032719836400818
8,2.0,RNAP,tetA,128.0,-99.32315424232762,-0.056745844475905825,-211.83310464205465,-0.06032719836400818
8,2.0,ori,ori,3085.0,-112.50995039972702,-0.06388664794698452,-211.83310464205465,-0.06032719836400818
8,2.0,EXT_R,EXT,6128.0,0.0,-0.06,-211.83310464205465,-0.06032719836400818
9,2.25,EXT_L,EXT,-2815.0,-114.30514620177833,-0.0645768779269694,-211.83310464205465,-0.06032719836400818
9,2.25,RNAP,tetA,143.0,-97.52795844027631,-0.056007420993822866,-211.83310464205465,-0.06032719836400818
9,2.25,ori,ori,3085.0,-114.30514620177833,-0.0645768779269694,-211.83310464205465,-0.06032719836400818
9,2.25,EXT_R,EXT,6143.0,0.0,-0.06,-211.83310464205465,-0.06032719836400818
10,2.5,EXT_L,EXT,-2815.0,-116.10034200382964,-0.06526014292229246,-211.83310464205462,-0.060327198364008176
10,2.5,RNAP,tetA,158.0,-95.732762638225,-0.055261345454930756,-211.83310464205462,-0.060327198364008176
10,2.5,ori,ori,3085.0,-116.10034200382964,-0.06526014292229246,-211.83310464205462,-0.060327198364008176
10,2.5,EXT_R,EXT,6158.0,0.0,-0.06,-211.83310464205462,-0.060327198364008176
11,2.75,EXT_L,EXT,-2815.0,-117.89553780588095,-0.06593654782730102,-211.83310464205465,-0.06032719836400818
11,2.75,RNAP,tetA,173.0,-93.93756683617369,-0.05450749829584186,-211.83310464205465,-0.06032719836400818
11,2.75,ori,ori,3085.0,-117.89553780588095,-0.06593654782730102,-211.83310464205465,-0.06032719836400818
11,2.75,EXT_R,EXT,6173.0,0.0,-0.06,-211.83310464205465,-0.06032719836400818
12,3.0,EXT_L,EXT,-2815.0,-119.69073360793226,-0.06660619544055127,-211.83310464205465,-0.06032719836400818
12,3.0,RNAP,tetA,188.0,-92.14237103412238,-0.053745757449223226,-211.83310464205465,-0.06032719836400818
12,3.0,ori,ori,3085.0,-119.69073360793226,-0.06660619544055127,-211.83310464205465,-0.06032719836400818
12,3.0,EXT_R,EXT,6188.0,0.0,-0.06,-211.83310464205465,-0.06032719836400818
13,3.25,EXT_L,EXT,-2815.0,-121.48592940998357,-0.06726918651689047,-211.83310464205465,-0.06032719836400818
13,3.25,RNAP,tetA,203.0,-90.34717523207107,-0.05297599827790335,-211.83310464205465,-0.06032719836400818
13,3.25,ori,ori,3085.0,-121.48592940998357,-0.06726918651689047,-211.83310464205465,-0.06032719836400818
13,3.25,EXT_R,EXT,6203.0,0.0,-0.06,-211.83310464205465,-0.06032719836400818
14,3.5,EXT_L,EXT,-2815.0,-123.28112521203488,-0.06792561981799389,-211.83310464205468,-0.06032719836400819
14,3.5,RNAP,tetA,218.0,-88.55197943001976,-0.052198093506886964,-211.83310464205468,-0.06032719836400819
14,3.5,ori,ori,3085.0,-123.28112521203488,-0.06792561981799389,-211.83310464205468,-0.06032719836400819
14,3.5,EXT_R,EXT,6218.0,0.0,-0.06,-211.83310464205468,-0.06032719836400819
15,3.75,EXT_L,EXT,-2815.0,-125.07632101408619,-0.06857559216140927,-211.83310464205465,-0.06032719836400818
15,3.75,RNAP,tetA,233.0,-86.75678362796845,-0.05141191315320019,-211.83310464205465,-0.06032719836400818
15,3.75,ori,ori,3085.0,-125.07632101408619,-0.06857559216140927,-211.83310464205465,-0.06032719836400818
15,3.75,EXT_R,EXT,6233.0,0.0,-0.06,-211.83310464205465,-0.06032719836400818
16,4.0,EXT_L,EXT,-2815.0,-126.8715168161375,-0.06921919846816045,-211.83310464205465,-0.06032719836400818
16,4.0,RNAP,tetA,248.0,-84.96158782591714,-0.050617324453484686,-211.83310464205465,-0.06032719836400818
16,4.0,ori,ori,3085.0,-126.8715168161375,-0.06921919846816045,-211.83310464205465,-0.06032719836400818
16,4.0,EXT_R,EXT,6248.0,0.0,-0.06,-211.83310464205465,-0.06032719836400818
17,4.25,EXT_L,EXT,-2815.0,-128.66671261818882,-0.0698565318089589,-211.83310464205468,-0.06032719836400819
17,4.25,RNAP,tetA,263.0,-83.16639202386582,-0.04981419178925611,-211.83310464205468,-0.06032719836400819
17,4.25,ori,ori,3085.0,-128.66671261818882,-0.0698565318089589,-211.83310464205468,-0.06032719836400819
17,4.25,EXT_R,EXT,6263.0,0.0,-0.06,-211.83310464205468,-0.06032719836400819
18,4.5,EXT_L,EXT,-2815.0,-130.46190842024015,-0.07048768344907064,-211.83310464205465,-0.06032719836400818
18,4.5,RNAP,tetA,278.0,-81.37119622181451,-0.04900237660973857,-211.83310464205465,-0.06032719836400818
18,4.5,ori,ori,3085.0,-130.46190842024015,-0.07048768344907064,-211.83310464205465,-0.06032719836400818
18,4.5,EXT_R,EXT,6278.0,0.0,-0.06,-211.83310464205465,-0.06032719836400818
19,4.75,EXT_L,EXT,-2815.0,-132.25710422229147,-0.07111274289188402,-211.83310464205468,-0.06032719836400819
19,4.75,RNAP,tetA,293.0,-79.5760004197632,-0.048181737352182806,-211.83310464205468,-0.06032719836400819
19,4.75,ori,ori,3085.0,-132.25710422229147,-0.07111274289188402,-211.83310464205468,-0.06032719836400819
19,4.75,EXT_R,EXT,6293.0,0.0,-0.06,-211.83310464205468,-0.06032719836400819
20,5.0,EXT_L,EXT,-2815.0,-134.0523000243428,-0.07173179792122175,-211.8331046420547,-0.060327198364008204
20,5.0,RNAP,tetA,308.0,-77.7808046177119,-0.04735212935957179,-211.8331046420547,-0.060327198364008204
20,5.0,ori,ori,3085.0,-134.0523000243428,-0.07173179792122175,-211.8331046420547,-0.060327198364008204
20,5.0,EXT_R,EXT,6308.0,0.0,-0.06,-211.8331046420547,-0.060327198364008204
21,5.25,EXT_L,EXT,-2815.0,-135.84749582639412,-0.07234493464243964,-211.83310464205468,-0.06032719836400819
21,5.25,RNAP,tetA,323.0,-75.98560881566058,-0.04651340479561338,-211.83310464205468,-0.06032719836400819
21,5.25,ori,ori,3085.0,-135.84749582639412,-0.07234493464243964,-211.83310464205468,-0.06032719836400819
21,5.25,EXT_R,EXT,6323.0,0.0,-0.06,-211.83310464205468,-0.06032719836400819
22,5.5,EXT_L,EXT,-2815.0,-137.64269162844545,-0.07295223752235191,-211.8331046420547,-0.060327198364008204
22,5.5,RNAP,tetA,338.0,-74.19041301360927,-0.04566541255691512,-211.8331046420547,-0.060327198364008204
22,5.5,ori,ori,3085.0,-137.64269162844545,-0.07295223752235191,-211.8331046420547,-0.060327198364008204
22,5.5,EXT_R,EXT,6338.0,0.0,-0.06,-211.8331046420547,-0.060327198364008204
