frame,time,type,name,concentration
0,0.0,topo,topoI,0.25
0,0.0,topo,gyrase,0.25
1,0.5,topo,topoI,0.25
1,0.5,topo,gyrase,0.25
2,1.0,topo,topoI,0.25
2,1.0,topo,gyrase,0.25
3,1.5,topo,topoI,0.25
3,1.5,topo,gyrase,0.25
4,2.0,topo,topoI,0.25
4,2.0,topo,gyrase,0.25
5,2.5,topo,topoI,0.25
5,2.5,topo,gyrase,0.25
6,3.0,topo,topoI,0.25
6,3.0,topo,gyrase,0.25
7,3.5,topo,topoI,0.25
7,3.5,topo,gyrase,0.25
8,4.0,topo,topoI,0.25
8,4.0,topo,gyrase,0.25
9,4.5,topo,topoI,0.25
9,4.5,topo,gyrase,0.25
10,5.0,topo,topoI,0.25
10,5.0,topo,gyrase,0.25
11,5.5,topo,topoI,0.25
11,5.5,topo,gyrase,0.25
12,6.0,topo,topoI,0.25
12,6.0,topo,gyrase,0.25
13,6.5,topo,topoI,0.25
13,6.5,topo,gyrase,0.25
14,7.0,topo,topoI,0.25
14,7.0,topo,gyrase,0.25
15,7.5,topo,topoI,0.25
15,7.5,topo,gyrase,0.25
16,8.0,topo,topoI,0.25
16,8.0,topo,gyrase,0.25
17,8.5,topo,topoI,0.25
17,8.5,topo,gyrase,0.25
18,9.0,topo,topoI,0.25
18,9.0,topo,gyrase,0.25
19,9.5,topo,topoI,0.25
19,9.5,topo,gyrase,0.25
20,10.0,topo,topoI,0.25
20,10.0,topo,gyrase,0.25
21,10.5,topo,topoI,0.25
21,10.5,topo,gyrase,0.25
22,11.0,topo,topoI,0.25
22,11.0,topo,gyrase,0.25
23,11.5,topo,topoI,0.25
23,11.5,topo,gyrase,0.25
24,12.0,topo,topoI,0.25
24,12.0,topo,gyrase,0.25
25,12.5,topo,topoI,0.25
25,12.5,topo,gyrase,0.25
26,13.0,topo,topoI,0.25
26,13.0,topo,gyrase,0.25
27,13.5,topo,topoI,0.25
27,13.5,topo,gyrase,0.25
28,14.0,topo,topoI,0.25
28,14.0,topo,gyrase,0.25
29,14.5,topo,topoI,0.25
29,14.5,topo,gyrase,0.25
30,15.0,topo,topoI,0.25
30,15.0,topo,gyrase,0.25
31,15.5,topo,topoI,0.25
31,15.5,topo,gyrase,0.25
32,16.0,topo,topoI,0.25
32,16.0,topo,gyrase,0.25
33,16.5,topo,topoI,0.25
33,16.5,topo,gyrase,0.25
34,17.0,topo,topoI,0.25
34,17.0,topo,gyrase,0.25
35,17.5,topo,topoI,0.25
35,17.5,topo,gyrase,0.25
36,18.0,topo,topoI,0.25
36,18.0,topo,gyrase,0.25
37,18.5,topo,topoI,0.25
37,18.5,topo,gyrase,0.25
38,19.0,topo,topoI,0.25
38,19.0,topo,gyrase,0.25
39,19.5,topo,topoI,0.25
39,19.5,topo,gyrase,0.25
40,20.0,topo,topoI,0.25
40,20.0,topo,gyrase,0.25
41,20.5,topo,topoI,0.25
41,20.5,topo,gyrase,0.25
42,21.0,topo,topoI,0.25
42,21.0,topo,gyrase,0.25
43,21.5,topo,topoI,0.25
43,21.5,topo,gyrase,0.25
44,22.0,topo,topoI,0.25
44,22.0,topo,gyrase,0.25
45,22.5,topo,topoI,0.25
45,22.5,topo,gyrase,0.25
46,23.0,topo,topoI,0.25
46,23.0,topo,gyrase,0.25
47,23.5,topo,topoI,0.25
47,23.5,topo,gyrase,0.25
48,24.0,topo,topoI,0.25
48,24.0,topo,gyrase,0.25
49,24.5,topo,topoI,0.25
49,24.5,topo,gyrase,0.25
50,25.0,topo,topoI,0.25
50,25.0,topo,gyrase,0.25
51,25.5,topo,topoI,0.25
51,25.5,topo,gyrase,0.25
52,26.0,topo,topoI,0.25
52,26.0,topo,gyrase,0.25
53,26.5,topo,topoI,0.25
53,26.5,topo,gyrase,0.25
54,27.0,topo,topoI,0.25
54,27.0,topo,gyrase,0.25
55,27.5,topo,topoI,0.25
55,27.5,topo,gyrase,0.25
56,28.0,topo,topoI,0.25
56,28.0,topo,gyrase,0.25
57,28.5,topo,topoI,0.25
57,28.5,topo,gyrase,0.25
