frame,time,type,name,twist,superhelical,#enzymes,binding,unbinding
0,0.0,circuit,topos,-71.83176802607977,-0.04001333333333333,0,0,0
1,0.5,circuit,topos,-71.83176802607977,-0.04001333333333333,0,0,0
2,1.0,circuit,topos,-71.66080973001529,-0.03991810233074903,0,0,0
3,1.5,circuit,topos,-71.49092159275753,-0.03982346745188867,0,0,0
4,2.0,circuit,topos,-71.32209740429772,-0.039729425237514666,0,0,0
5,2.5,circuit,topos,-71.15433095803239,-0.03963597223028636,0,0,0
6,3.0,circuit,topos,-70.98761605185959,-0.0395431049753706,0,0,0
7,3.5,circuit,topos,-70.82194648924506,-0.03945082002103569,0,0,0
8,4.0,circuit,topos,-70.6573160802587,-0.039359113919228715,0,0,0
9,4.5,circuit,topos,-70.49371864258158,-0.03926798322613653,0,0,0
10,5.0,circuit,topos,-70.33114800248418,-0.03917742450273064,0,0,0
11,5.5,circuit,topos,-70.1695979957759,-0.039087434315296106,0,0,0
12,6.0,circuit,topos,-70.00906246872643,-0.03899800923594485,0,0,0
13,6.5,circuit,topos,-69.8495352789594,-0.03890914584311341,0,0,0
14,7.0,circuit,topos,-69.69101029631858,-0.03882084072204546,0,0,0
15,7.5,circuit,topos,-69.53348140370726,-0.03873309046525937,0,0,0
16,8.0,circuit,topos,-69.37694249790091,-0.0386458916730009,0,0,0
17,8.5,circuit,topos,-69.22138749033397,-0.03855924095368148,0,0,0
18,9.0,circuit,topos,-69.06681030786079,-0.0384731349243021,0,0,0
19,9.5,circuit,topos,-68.9132048934915,-0.03838757021086317,0,0,0
20,10.0,circuit,topos,-68.76056520710293,-0.038302543448760586,0,0,0
21,10.5,circuit,topos,-68.60888522612531,-0.038218051283168235,0,0,0
22,11.0,circuit,topos,-68.45815894620499,-0.03813409036940713,0,0,0
23,11.5,circuit,topos,-68.30838038184372,-0.038050657373301565,0,0,0
24,12.0,circuit,topos,-68.15954356701492,-0.03796774897152237,0,0,0
25,12.5,circuit,topos,-68.01164255575735,-0.037885361851917605,0,0,0
26,13.0,circuit,topos,-67.86467142274662,-0.037803492713830954,0,0,0
27,13.5,circuit,topos,-67.71862426384509,-0.03772213826840797,0,0,0
28,14.0,circuit,topos,-67.57349519663039,-0.0376412952388906,0,0,0
29,14.5,circuit,topos,-67.4292783609033,-0.03756096036089997,0,0,0
30,15.0,circuit,topos,-67.28596791917501,-0.037481130382707874,0,0,0
31,15.5,circuit,topos,-67.14355805713473,-0.037401802065497265,0,0,0
32,16.0,circuit,topos,-67.00204298409756,-0.0373229721836117,0,0,0
33,16.5,circuit,topos,-66.86141693343338,-0.03724463752479427,0,0,0
34,17.0,circuit,topos,-66.72167416297702,-0.03716679489041607,0,0,0
35,17.5,circuit,topos,-66.58280895542036,-0.037089441095694634,0,0,0
36,18.0,circuit,topos,-66.44481561868639,-0.037012572969902284,0,0,0
