frame,time,name,site,position,twist,superhelical,global_twist,global_superhelical
0,0.0,EXT_L,EXT,0.0,-179.55548412117207,-0.06,-179.55548412117207,-0.060012
0,0.0,EXT_R,EXT,5001.0,0.0,-0.06,-179.55548412117207,-0.060012
1,1.0,EXT_L,EXT,0.0,-179.55548412117207,-0.06,-179.55548412117207,-0.060012
1,1.0,EXT_R,EXT,5001.0,0.0,-0.06,-179.55548412117207,-0.060012
2,2.0,EXT_L,EXT,0.0,-179.55548412117207,-0.06,-179.55548412117207,-0.060012
2,2.0,EXT_R,EXT,5001.0,0.0,-0.06,-179.55548412117207,-0.060012
3,3.0,EXT_L,EXT,0.0,-179.55548412117207,-0.06,-179.55548412117207,-0.060012
3,3.0,EXT_R,EXT,5001.0,0.0,-0.06,-179.55548412117207,-0.060012
4,4.0,EXT_L,EXT,0.0,-179.55548412117207,-0.06,-179.55548412117207,-0.060012
4,4.0,EXT_R,EXT,5001.0,0.0,-0.06,-179.55548412117207,-0.060012
5,5.0,EXT_L,EXT,0.0,-179.55548412117207,-0.06,-179.55548412117207,-0.060012
5,5.0,EXT_R,EXT,5001.0,0.0,-0.06,-179.55548412117207,-0.060012
6,6.0,EXT_L,EXT,0.0,-179.55548412117207,-0.06,-179.55548412117207,-0.060012
6,6.0,EXT_R,EXT,5001.0,0.0,-0.06,-179.55548412117207,-0.060012
7,7.0,EXT_L,EXT,0.0,-179.55548412117207,-0.06,-179.55548412117207,-0.060012
7,7.0,EXT_R,EXT,5001.0,0.0,-0.06,-179.55548412117207,-0.060012
8,8.0,EXT_L,EXT,0.0,-179.55548412117207,-0.06,-179.55548412117207,-0.060012
8,8.0,EXT_R,EXT,5001.0,0.0,-0.06,-179.55548412117207,-0.060012
9,9.0,EXT_L,EXT,0.0,-179.55548412117207,-0.06,-179.55548412117207,-0.060012
9,9.0,EXT_R,EXT,5001.0,0.0,-0.06,-179.55548412117207,-0.060012
10,10.0,EXT_L,EXT,0.0,-179.55548412117207,-0.06,-179.55548412117207,-0.060012
10,10.0,EXT_R,EXT,5001.0,0.0,-0.06,-179.55548412117207,-0.060012
11,11.0,EXT_L,EXT,0.0,-179.55548412117207,-0.06,-179.55548412117207,-0.060012
11,11.0,EXT_R,EXT,5001.0,0.0,-0.06,-179.55548412117207,-0.060012
12,12.0,EXT_L,EXT,0.0,-179.55548412117207,-0.06,-179.55548412117207,-0.060012
12,12.0,EXT_R,EXT,5001.0,0.0,-0.06,-179.55548412117207,-0.060012
13,13.0,EXT_L,EXT,0.0,-179.55548412117207,-0.06,-179.55548412117207,-0.060012
13,13.0,EXT_R,EXT,5001.0,0.0,-0.06,-179.55548412117207,-0.060012
14,14.0,EXT_L,EXT,-3799.0,-173.57149811433436,-0.05943852459016393,-173.57149811433436,-0.05943852459016393
14,14.0,topoI,9,1081.0,-173.57149811433436,-0.05943852459016393,-173.57149811433436,-0.05943852459016393
14,14.0,EXT_R,EXT,6081.0,0.0,-0.06,-173.57149811433436,-0.05943852459016393
15,15.0,EXT_L,EXT,-3799.0,-167.58751210749665,-0.057389344262295076,-167.58751210749665,-0.057389344262295076
15,15.0,topoI,9,1081.0,-167.58751210749665,-0.057389344262295076,-167.58751210749665,-0.057389344262295076
15,15.0,EXT_R,EXT,6081.0,0.0,-0.06,-167.58751210749665,-0.057389344262295076
16,16.0,EXT_L,EXT,0.0,-161.60352610065894,-0.05400119976004798,-161.60352610065894,-0.054012
16,16.0,EXT_R,EXT,5001.0,0.0,-0.06,-161.60352610065894,-0.054012
17,17.0,EXT_L,EXT,0.0,-161.60352610065894,-0.05400119976004798,-161.60352610065894,-0.054012
17,17.0,EXT_R,EXT,5001.0,0.0,-0.06,-161.60352610065894,-0.054012
18,18.0,EXT_L,EXT,0.0,-161.60352610065894,-0.05400119976004798,-161.60352610065894,-0.054012
18,18.0,EXT_R,EXT,5001.0,0.0,-0.06,-161.60352610065894,-0.054012
19,19.0,EXT_L,EXT,0.0,-161.60352610065894,-0.05400119976004798,-161.60352610065894,-0.054012
19,19.0,EXT_R,EXT,5001.0,0.0,-0.06,-161.60352610065894,-0.054012
20,20.0,EXT_L,EXT,0.0,-161.60352610065894,-0.05400119976004798,-161.60352610065894,-0.054012
20,20.0,EXT_R,EXT,5001.0,0.0,-0.06,-161.60352610065894,-0.054012
21,21.0,EXT_L,EXT,0.0,-161.60352610065894,-0.05400119976004798,-161.60352610065894,-0.054012
21,21.0,EXT_R,EXT,5001.0,0.0,-0.06,-161.60352610065894,-0.054012
22,22.0,EXT_L,EXT,0.0,-161.60352610065894,-0.05400119976004798,-161.60352610065894,-0.054012
22,22.0,EXT_R,EXT,5001.0,0.0,-0.06,-161.60352610065894,-0.054012
23,23.0,EXT_L,EXT,0.0,-161.60352610065894,-0.05400119976004798,-161.60352610065894,-0.054012
23,23.0,EXT_R,EXT,5001.0,0.0,-0.06,-161.60352610065894,-0.054012
24,24.0,EXT_L,EXT,0.0,-161.60352610065894,-0.05400119976004798,-161.60352610065894,-0.054012
24,24.0,EXT_R,EXT,5001.0,0.0,-0.06,-161.60352610065894,-0.054012
25,25.0,EXT_L,EXT,0.0,-161.60352610065894,-0.05400119976004798,-161.60352610065894,-0.054012
25,25.0,EXT_R,EXT,5001.0,0.0,-0.06,-161.60352610065894,-0.054012
26,26.0,EXT_L,EXT,0.0,-161.60352610065894,-0.05400119976004798,-161.60352610065894,-0.054012
26,26.0,EXT_R,EXT,5001.0,0.0,-0.06,-161.60352610065894,-0.054012
27,27.0,EXT_L,EXT,0.0,-161.60352610065894,-0.05400119976004798,-161.60352610065894,-0.054012
27,27.0,EXT_R,EXT,5001.0,0.0,-0.06,-161.60352610065894,-0.054012
28,28.0,EXT_L,EXT,0.0,-161.60352610065894,-0.05400119976004798,-161.60352610065894,-0.054012
28,28.0,EXT_R,EXT,5001.0,0.0,-0.06,-161.60352610065894,-0.054012
29,29.0,EXT_L,EXT,0.0,-161.60352610065894,-0.05400119976004798,-161.60352610065894,-0.054012
29,29.0,EXT_R,EXT,5001.0,0.0,-0.06,-161.60352610065894,-0.054012
30,30.0,EXT_L,EXT,0.0,-161.60352610065894,-0.05400119976004798,-161.60352610065894,-0.054012
30,30.0,EXT_R,EXT,5001.0,0.0,-0.06,-161.60352610065894,-0.054012
31,31.0,EXT_L,EXT,0.0,-161.60352610065894,-0.05400119976004798,-161.60352610065894,-0.054012
31,31.0,EXT_R,EXT,5001.0,0.0,-0.06,-161.60352610065894,-0.054012
32,32.0,EXT_L,EXT,0.0,-161.60352610065894,-0.05400119976004798,-161.60352610065894,-0.054012
32,32.0,EXT_R,EXT,5001.0,0.0,-0.06,-161.60352610065894,-0.054012
33,33.0,EXT_L,EXT,0.0,-161.60352610065894,-0.05400119976004798,-161.60352610065894,-0.054012
33,33.0,EXT_R,EXT,5001.0,0.0,-0.06,-161.60352610065894,-0.054012
34,34.0,EXT_L,EXT,0.0,-161.60352610065894,-0.05400119976004798,-161.60352610065894,-0.054012
34,34.0,EXT_R,EXT,5001.0,0.0,-0.06,-161.60352610065894,-0.054012
35,35.0,EXT_L,EXT,0.0,-161.60352610065894,-0.05400119976004798,-161.60352610065894,-0.054012
35,35.0,EXT_R,EXT,5001.0,0.0,-0.06,-161.60352610065894,-0.054012
36,36.0,EXT_L,EXT,0.0,-161.60352610065894,-0.05400119976004798,-161.60352610065894,-0.054012
36,36.0,EXT_R,EXT,5001.0,0.0,-0.06,-161.60352610065894,-0.054012
37,37.0,EXT_L,EXT,0.0,-161.60352610065894,-0.05400119976004798,-161.60352610065894,-0.054012
37,37.0,EXT_R,EXT,5001.0,0.0,-0.06,-161.60352610065894,-0.054012
38,38.0,EXT_L,EXT,0.0,-161.60352610065894,-0.05400119976004798,-161.60352610065894,-0.054012
38,38.0,EXT_R,EXT,5001.0,0.0,-0.06,-161.60352610065894,-0.054012
39,39.0,EXT_L,EXT,0.0,-161.60352610065894,-0.05400119976004798,-161.60352610065894,-0.054012
39,39.0,EXT_R,EXT,5001.0,0.0,-0.06,-161.60352610065894,-0.054012
40,40.0,EXT_L,EXT,0.0,-161.60352610065894,-0.05400119976004798,-161.60352610065894,-0.054012
40,40.0,EXT_R,EXT,5001.0,0.0,-0.06,-161.60352610065894,-0.054012
41,41.0,EXT_L,EXT,0.0,-161.60352610065894,-0.05400119976004798,-161.60352610065894,-0.054012
41,41.0,EXT_R,EXT,5001.0,0.0,-0.06,-161.60352610065894,-0.054012
42,42.0,EXT_L,EXT,0.0,-161.60352610065894,-0.05400119976004798,-161.60352610065894,-0.054012
42,42.0,EXT_R,EXT,5001.0,0.0,-0.06,-161.60352610065894,-0.054012
43,43.0,EXT_L,EXT,0.0,-161.60352610065894,-0.05400119976004798,-161.60352610065894,-0.054012
43,43.0,EXT_R,EXT,5001.0,0.0,-0.06,-161.60352610065894,-0.054012
44,44.0,EXT_L,EXT,0.0,-161.60352610065894,-0.05400119976004798,-161.60352610065894,-0.054012
44,44.0,EXT_R,EXT,5001.0,0.0,-0.06,-161.60352610065894,-0.054012
45,45.0,EXT_L,EXT,0.0,-161.60352610065894,-0.05400119976004798,-161.60352610065894,-0.054012
45,45.0,EXT_R,EXT,5001.0,0.0,-0.06,-161.60352610065894,-0.054012
46,46.0,EXT_L,EXT,0.0,-161.60352610065894,-0.05400119976004798,-161.60352610065894,-0.054012
46,46.0,EXT_R,EXT,5001.0,0.0,-0.06,-161.60352610065894,-0.054012
47,47.0,EXT_L,EXT,0.0,-161.60352610065894,-0.05400119976004798,-161.60352610065894,-0.054012
47,47.0,EXT_R,EXT,5001.0,0.0,-0.06,-161.60352610065894,-0.054012
48,48.0,EXT_L,EXT,0.0,-161.60352610065894,-0.05400119976004798,-161.60352610065894,-0.054012
48,48.0,EXT_R,EXT,5001.0,0.0,-0.06,-161.60352610065894,-0.054012
49,49.0,EXT_L,EXT,0.0,-161.60352610065894,-0.05400119976004798,-161.60352610065894,-0.054012
49,49.0,EXT_R,EXT,5001.0,0.0,-0.06,-161.60352610065894,-0.054012
50,50.0,EXT_L,EXT,0.0,-161.60352610065894,-0.05400119976004798,-161.60352610065894,-0.054012
50,50.0,EXT_R,EXT,5001.0,0.0,-0.06,-161.60352610065894,-0.054012
51,51.0,EXT_L,EXT,0.0,-161.60352610065894,-0.05400119976004798,-161.60352610065894,-0.054012
51,51.0,EXT_R,EXT,5001.0,0.0,-0.06,-161.60352610065894,-0.054012
52,52.0,EXT_L,EXT,0.0,-161.60352610065894,-0.05400119976004798,-161.60352610065894,-0.054012
52,52.0,EXT_R,EXT,5001.0,0.0,-0.06,-161.60352610065894,-0.054012
53,53.0,EXT_L,EXT,0.0,-161.60352610065894,-0.05400119976004798,-161.60352610065894,-0.054012
53,53.0,EXT_R,EXT,5001.0,0.0,-0.06,-161.60352610065894,-0.054012
54,54.0,EXT_L,EXT,0.0,-161.60352610065894,-0.05400119976004798,-161.60352610065894,-0.054012
54,54.0,EXT_R,EXT,5001.0,0.0,-0.06,-161.60352610065894,-0.054012
55,55.0,EXT_L,EXT,0.0,-161.60352610065894,-0.05400119976004798,-161.60352610065894,-0.054012
55,55.0,EXT_R,EXT,5001.0,0.0,-0.06,-161.60352610065894,-0.054012
56,56.0,EXT_L,EXT,0.0,-161.60352610065894,-0.05400119976004798,-161.60352610065894,-0.054012
56,56.0,EXT_R,EXT,5001.0,0.0,-0.06,-161.60352610065894,-0.054012
57,57.0,EXT_L,EXT,0.0,-161.60352610065894,-0.05400119976004798,-161.60352610065894,-0.054012
57,57.0,EXT_R,EXT,5001.0,0.0,-0.06,-161.60352610065894,-0.054012
58,58.0,EXT_L,EXT,0.0,-161.60352610065894,-0.05400119976004798,-161.60352610065894,-0.054012
