type,name,site,position,direction,size,twist,superhelical
EXT,EXT_L,EXT,-79.0,0,0.0,-7.038505411232379,-0.14702794682319012
topo,topoI,0,1.0,0,120.0,-21.115516233697136,-0.14702794682319012
topo,topoI,3,361.0,0,120.0,-7.678369539526232,-0.106929415871411
topo,topoI,5,601.0,0,120.0,-7.616669303633027,-0.1060701748373313
topo,topoI,7,841.0,0,120.0,-6.996753383506791,-0.09743719007575433
topo,topoI,9,1081.0,0,120.0,-6.996753383506791,-0.09743719007575433
topo,topoI,11,1321.0,0,120.0,-6.583677581801009,-0.09168467270085609
topo,topoI,13,1561.0,0,120.0,-6.58314417893796,-0.09167724450190365
topo,topoI,15,1801.0,0,120.0,-6.58314417893796,-0.045838622250951824
topo,topoI,18,2161.0,0,120.0,-13.165221552149825,-0.18333963260590247
topo,topoI,20,2401.0,0,120.0,-9.713116752270134,-0.06763271129792137
topo,topoI,23,2761.0,0,120.0,-19.13215767140032,-0.1332177641119888
topo,topoI,26,3121.0,0,120.0,-7.741640755925374,-0.10781053447038005
topo,topoI,28,3361.0,0,120.0,-7.741640755925374,-0.10781053447038005
topo,topoI,30,3601.0,0,120.0,-8.875804014225883,-0.12360495724315695
topo,topoI,32,3841.0,0,120.0,-8.875804014225883,-0.12360495724315695
topo,topoI,34,4081.0,0,120.0,-8.601267434276272,-0.11978174503928611
topo,topoI,36,4321.0,0,120.0,-7.796335989892126,-0.10857222344470047
topo,topoI,38,4561.0,0,120.0,-10.719961986101673,-0.14928680723646315
topo,topoI,40,4801.0,0,120.0,-7.038505411232379,-0.14702794682319012
EXT,EXT_R,EXT,5001.0,0,0.0,0.0,-0.06
