type,name,start,end,k_min,k_max,model,oparams
DNA_topoI,sum,1.0,5000.0,0.0,0.0,stochastic_topo_binding,
DNA_gyrase,sum,1.0,5000.0,0.0,0.0,stochastic_topo_binding,
DNA_topoI,DNA_topoI_0,1.0,120.0,0.0,0.0,stochastic_topoI,
DNA_gyrase,DNA_gyrase_0,1.0,120.0,0.0,0.0,stochastic_gyrase,
EXT,EXT,1.0,5000.0,0.0,0.0,,
DNA_topoI,DNA_topoI_1,121.0,240.0,0.0,0.0,stochastic_topoI,
DNA_gyrase,DNA_gyrase_1,121.0,240.0,0.0,0.0,stochastic_gyrase,
DNA_topoI,DNA_topoI_2,241.0,360.0,0.0,0.0,stochastic_topoI,
DNA_gyrase,DNA_gyrase_2,241.0,360.0,0.0,0.0,stochastic_gyrase,
DNA_topoI,DNA_topoI_3,361.0,480.0,0.0,0.0,stochastic_topoI,
DNA_gyrase,DNA_gyrase_3,361.0,480.0,0.0,0.0,stochastic_gyrase,
DNA_topoI,DNA_topoI_4,481.0,600.0,0.0,0.0,stochastic_topoI,
DNA_gyrase,DNA_gyrase_4,481.0,600.0,0.0,0.0,stochastic_gyrase,
DNA_topoI,DNA_topoI_5,601.0,720.0,0.0,0.0,stochastic_topoI,
DNA_gyrase,DNA_gyrase_5,601.0,720.0,0.0,0.0,stochastic_gyrase,
DNA_topoI,DNA_topoI_6,721.0,840.0,0.0,0.0,stochastic_topoI,
DNA_gyrase,DNA_gyrase_6,721.0,840.0,0.0,0.0,stochastic_gyrase,
DNA_topoI,DNA_topoI_7,841.0,960.0,0.0,0.0,stochastic_topoI,
DNA_gyrase,DNA_gyrase_7,841.0,960.0,0.0,0.0,stochastic_gyrase,
DNA_topoI,DNA_topoI_8,961.0,1080.0,0.0,0.0,stochastic_topoI,
DNA_gyrase,DNA_gyrase_8,961.0,1080.0,0.0,0.0,stochastic_gyrase,
DNA_topoI,DNA_topoI_9,1081.0,1200.0,0.0,0.0,stochastic_topoI,
DNA_gyrase,DNA_gyrase_9,1081.0,1200.0,0.0,0.0,stochastic_gyrase,
DNA_topoI,DNA_topoI_10,1201.0,1320.0,0.0,0.0,stochastic_topoI,
DNA_gyrase,DNA_gyrase_10,1201.0,1320.0,0.0,0.0,stochastic_gyrase,
DNA_topoI,DNA_topoI_11,1321.0,1440.0,0.0,0.0,stochastic_topoI,
DNA_gyrase,DNA_gyrase_11,1321.0,1440.0,0.0,0.0,stochastic_gyrase,
DNA_topoI,DNA_topoI_12,1441.0,1560.0,0.0,0.0,stochastic_topoI,
DNA_gyrase,DNA_gyrase_12,1441.0,1560.0,0.0,0.0,stochastic_gyrase,
