frame,time,name,site,position,twist,superhelical,global_twist,global_superhelical
0,0.0,EXT_L,EXT,0,-179.55548412117207,-0.06,-179.55548412117207,-0.060012
0,0.0,EXT_R,EXT,5001,0.0,-0.06,-179.55548412117207,-0.060012
1,1.0,EXT_L,EXT,0,-178.9690808089762,-0.05980404832019495,-178.9690808089762,-0.059816009129858995
1,1.0,EXT_R,EXT,5001,0.0,-0.06,-178.9690808089762,-0.059816009129858995
2,2.0,EXT_L,EXT,0,-178.38463710672613,-0.059608751460805576,-178.38463710672613,-0.05962067321109774
2,2.0,EXT_R,EXT,5001,0.0,-0.06,-178.38463710672613,-0.05962067321109774
3,3.0,EXT_L,EXT,0,-177.80216684761993,-0.05941411404431326,-177.80216684761993,-0.059425996867122126
3,3.0,EXT_R,EXT,5001,0.0,-0.06,-177.80216684761993,-0.059425996867122126
4,4.0,EXT_L,EXT,0,-177.2216837063331,-0.05922014064022772,-177.2216837063331,-0.059231984668355775
4,4.0,EXT_R,EXT,5001,0.0,-0.06,-177.2216837063331,-0.059231984668355775
5,5.0,EXT_L,EXT,0,-176.64320119344563,-0.059026835763224775,-176.64320119344563,-0.05903864113037743
5,5.0,EXT_R,EXT,5001,0.0,-0.06,-176.64320119344563,-0.05903864113037743
6,6.0,EXT_L,EXT,0,-176.06673264993196,-0.05883420387130507,-176.06673264993196,-0.05884597071207934
6,6.0,EXT_R,EXT,5001,0.0,-0.06,-176.06673264993196,-0.05884597071207934
7,7.0,EXT_L,EXT,0,-175.4922912417186,-0.058642249363975496,-175.4922912417186,-0.0586539778138483
7,7.0,EXT_R,EXT,5001,0.0,-0.06,-175.4922912417186,-0.0586539778138483
8,8.0,EXT_L,EXT,0,-174.91988995431626,-0.058450976580455484,-174.91988995431626,-0.05846266677577158
8,8.0,EXT_R,EXT,5001,0.0,-0.06,-174.91988995431626,-0.05846266677577158
9,9.0,EXT_L,EXT,0,-174.3495415875318,-0.05826038979790991,-174.3495415875318,-0.0582720418758695
9,9.0,EXT_R,EXT,5001,0.0,-0.06,-174.3495415875318,-0.0582720418758695
10,10.0,EXT_L,EXT,0,-173.78125875026535,-0.058070493229710536,-173.78125875026535,-0.05808210732835649
10,10.0,EXT_R,EXT,5001,0.0,-0.06,-173.78125875026535,-0.05808210732835649
11,11.0,EXT_L,EXT,0,-173.21505385539876,-0.05788129102372796,-173.21505385539876,-0.057892867281932714
11,11.0,EXT_R,EXT,5001,0.0,-0.06,-173.21505385539876,-0.057892867281932714
12,12.0,EXT_L,EXT,0,-172.6509391147804,-0.05769278726065571,-172.6509391147804,-0.057704325818107846
12,12.0,EXT_R,EXT,5001,0.0,-0.06,-172.6509391147804,-0.057704325818107846
13,13.0,EXT_L,EXT,0,-172.08892653431207,-0.05750498595236849,-172.08892653431207,-0.05751648694955897
13,13.0,EXT_R,EXT,5001,0.0,-0.06,-172.08892653431207,-0.05751648694955897
14,14.0,EXT_L,EXT,0,-171.52902790914285,-0.057317891040316225,-171.52902790914285,-0.05732935461852429
14,14.0,EXT_R,EXT,5001,0.0,-0.06,-171.52902790914285,-0.05732935461852429
15,15.0,EXT_L,EXT,0,-170.9712548189754,-0.05713150639395554,-170.9712548189754,-0.057142932695234336
15,15.0,EXT_R,EXT,5001,0.0,-0.06,-170.9712548189754,-0.057142932695234336
16,16.0,EXT_L,EXT,0,-170.41561862348954,-0.056945835809220545,-170.41561862348954,-0.0569572249763824
16,16.0,EXT_R,EXT,5001,0.0,-0.06,-170.41561862348954,-0.0569572249763824
17,17.0,EXT_L,EXT,0,-169.86213045788773,-0.05676088300703436,-169.86213045788773,-0.05677223518363577
17,17.0,EXT_R,EXT,5001,0.0,-0.06,-169.86213045788773,-0.05677223518363577
18,18.0,EXT_L,EXT,0,-169.31080122856753,-0.05657665163186295,-169.31080122856753,-0.056587966962189325
18,18.0,EXT_R,EXT,5001,0.0,-0.06,-169.31080122856753,-0.056587966962189325
19,19.0,EXT_L,EXT,0,-168.76164160892534,-0.05639314525031297,-168.76164160892534,-0.056404423879363036
19,19.0,EXT_R,EXT,5001,0.0,-0.06,-168.76164160892534,-0.056404423879363036
20,20.0,EXT_L,EXT,0,-168.21466203529562,-0.05621036734977479,-168.21466203529562,-0.05622160942324475
20,20.0,EXT_R,EXT,5001,0.0,-0.06,-168.21466203529562,-0.05622160942324475
21,21.0,EXT_L,EXT,0,-167.66987270302994,-0.05602832133711231,-167.66987270302994,-0.05603952700137974
21,21.0,EXT_R,EXT,5001,0.0,-0.06,-167.66987270302994,-0.05603952700137974
22,22.0,EXT_L,EXT,0,-167.1272835627197,-0.0558470105374007,-167.1272835627197,-0.05585817993950819
22,22.0,EXT_R,EXT,5001,0.0,-0.06,-167.1272835627197,-0.05585817993950819
23,23.0,EXT_L,EXT,0,-166.58690431656632,-0.05566643819271352,-166.58690431656632,-0.055677571480352066
23,23.0,EXT_R,EXT,5001,0.0,-0.06,-166.58690431656632,-0.055677571480352066
24,24.0,EXT_L,EXT,0,-166.04874441490227,-0.05548660746096014,-166.04874441490227,-0.055497704782452334
24,24.0,EXT_R,EXT,5001,0.0,-0.06,-166.04874441490227,-0.055497704782452334
25,25.0,EXT_L,EXT,0,-165.51281305286645,-0.05530752141477483,-165.51281305286645,-0.05531858291905779
25,25.0,EXT_R,EXT,5001,0.0,-0.06,-165.51281305286645,-0.05531858291905779
26,26.0,EXT_L,EXT,0,-164.97911916723683,-0.05512918304045836,-164.97911916723683,-0.05514020887706646
