frame,time,type,name,concentration
0,0.0,topo,topoI,0.25
0,0.0,topo,gyrase,0.25
1,1.0,topo,topoI,0.25
1,1.0,topo,gyrase,0.25
2,2.0,topo,topoI,0.25
2,2.0,topo,gyrase,0.25
3,3.0,topo,topoI,0.25
3,3.0,topo,gyrase,0.25
4,4.0,topo,topoI,0.25
4,4.0,topo,gyrase,0.25
5,5.0,topo,topoI,0.25
5,5.0,topo,gyrase,0.25
6,6.0,topo,topoI,0.25
6,6.0,topo,gyrase,0.25
7,7.0,topo,topoI,0.25
7,7.0,topo,gyrase,0.25
8,8.0,topo,topoI,0.25
8,8.0,topo,gyrase,0.25
9,9.0,topo,topoI,0.25
9,9.0,topo,gyrase,0.25
10,10.0,topo,topoI,0.25
10,10.0,topo,gyrase,0.25
11,11.0,topo,topoI,0.25
11,11.0,topo,gyrase,0.25
12,12.0,topo,topoI,0.25
12,12.0,topo,gyrase,0.25
13,13.0,topo,topoI,0.25
13,13.0,topo,gyrase,0.25
14,14.0,topo,topoI,0.25
14,14.0,topo,gyrase,0.25
15,15.0,topo,topoI,0.25
15,15.0,topo,gyrase,0.25
16,16.0,topo,topoI,0.25
16,16.0,topo,gyrase,0.25
17,17.0,topo,topoI,0.25
17,17.0,topo,gyrase,0.25
18,18.0,topo,topoI,0.25
18,18.0,topo,gyrase,0.25
19,19.0,topo,topoI,0.25
19,19.0,topo,gyrase,0.25
20,20.0,topo,topoI,0.25
20,20.0,topo,gyrase,0.25
21,21.0,topo,topoI,0.25
21,21.0,topo,gyrase,0.25
22,22.0,topo,topoI,0.25
22,22.0,topo,gyrase,0.25
23,23.0,topo,topoI,0.25
23,23.0,topo,gyrase,0.25
24,24.0,topo,topoI,0.25
24,24.0,topo,gyrase,0.25
25,25.0,topo,topoI,0.25
25,25.0,topo,gyrase,0.25
26,26.0,topo,topoI,0.25
26,26.0,topo,gyrase,0.25
27,27.0,topo,topoI,0.25
27,27.0,topo,gyrase,0.25
28,28.0,topo,topoI,0.25
28,28.0,topo,gyrase,0.25
29,29.0,topo,topoI,0.25
29,29.0,topo,gyrase,0.25
30,30.0,topo,topoI,0.25
30,30.0,topo,gyrase,0.25
31,31.0,topo,topoI,0.25
31,31.0,topo,gyrase,0.25
32,32.0,topo,topoI,0.25
32,32.0,topo,gyrase,0.25
33,33.0,topo,topoI,0.25
33,33.0,topo,gyrase,0.25
34,34.0,topo,topoI,0.25
34,34.0,topo,gyrase,0.25
35,35.0,topo,topoI,0.25
35,35.0,topo,gyrase,0.25
36,36.0,topo,topoI,0.25
36,36.0,topo,gyrase,0.25
37,37.0,topo,topoI,0.25
37,37.0,topo,gyrase,0.25
38,38.0,topo,topoI,0.25
38,38.0,topo,gyrase,0.25
39,39.0,topo,topoI,0.25
39,39.0,topo,gyrase,0.25
40,40.0,topo,topoI,0.25
40,40.0,topo,gyrase,0.25
41,41.0,topo,topoI,0.25
41,41.0,topo,gyrase,0.25
42,42.0,topo,topoI,0.25
42,42.0,topo,gyrase,0.25
43,43.0,topo,topoI,0.25
43,43.0,topo,gyrase,0.25
44,44.0,topo,topoI,0.25
44,44.0,topo,gyrase,0.25
45,45.0,topo,topoI,0.25
45,45.0,topo,gyrase,0.25
46,46.0,topo,topoI,0.25
46,46.0,topo,gyrase,0.25
47,47.0,topo,topoI,0.25
47,47.0,topo,gyrase,0.25
48,48.0,topo,topoI,0.25
48,48.0,topo,gyrase,0.25
49,49.0,topo,topoI,0.25
49,49.0,topo,gyrase,0.25
50,50.0,topo,topoI,0.25
50,50.0,topo,gyrase,0.25
51,51.0,topo,topoI,0.25
51,51.0,topo,gyrase,0.25
52,52.0,topo,topoI,0.25
52,52.0,topo,gyrase,0.25
53,53.0,topo,topoI,0.25
53,53.0,topo,gyrase,0.25
54,54.0,topo,topoI,0.25
54,54.0,topo,gyrase,0.25
55,55.0,topo,topoI,0.25
55,55.0,topo,gyrase,0.25
56,56.0,topo,topoI,0.25
56,56.0,topo,gyrase,0.25
57,57.0,topo,topoI,0.25
57,57.0,topo,gyrase,0.25
