frame,time,name,site,position,twist,superhelical,global_twist,global_superhelical
0,0.0,EXT_L,EXT,0.0,-107.74765203911966,-0.06,-107.74765203911966,-0.060020000000000004
0,0.0,EXT_R,EXT,3001.0,0.0,-0.06,-107.74765203911966,-0.060020000000000004
1,1.0,EXT_L,EXT,0.0,-107.74765203911966,-0.06,-107.74765203911966,-0.060020000000000004
1,1.0,EXT_R,EXT,3001.0,0.0,-0.06,-107.74765203911966,-0.060020000000000004
2,2.0,EXT_L,EXT,0.0,-107.74765203911966,-0.06,-107.74765203911966,-0.060020000000000004
2,2.0,EXT_R,EXT,3001.0,0.0,-0.06,-107.74765203911966,-0.060020000000000004
3,3.0,EXT_L,EXT,0.0,-107.74765203911966,-0.06,-107.74765203911966,-0.060020000000000004
3,3.0,EXT_R,EXT,3001.0,0.0,-0.06,-107.74765203911966,-0.060020000000000004
4,4.0,EXT_L,EXT,0.0,-107.74765203911966,-0.06,-107.74765203911966,-0.060020000000000004
4,4.0,EXT_R,EXT,3001.0,0.0,-0.06,-107.74765203911966,-0.060020000000000004
5,5.0,EXT_L,EXT,0.0,-107.74765203911966,-0.06,-107.74765203911966,-0.060020000000000004
5,5.0,EXT_R,EXT,3001.0,0.0,-0.06,-107.74765203911966,-0.060020000000000004
6,6.0,EXT_L,EXT,0.0,-107.74765203911966,-0.06,-107.74765203911966,-0.060020000000000004
6,6.0,EXT_R,EXT,3001.0,0.0,-0.06,-107.74765203911966,-0.060020000000000004
7,7.0,EXT_L,EXT,0.0,-103.25966253399139,-0.05750083305564812,-103.25966253399139,-0.05752000000000001
7,7.0,EXT_R,EXT,3001.0,0.0,-0.06,-103.25966253399139,-0.05752000000000001
8,8.0,EXT_L,EXT,0.0,-103.25966253399139,-0.05750083305564812,-103.25966253399139,-0.05752000000000001
8,8.0,EXT_R,EXT,3001.0,0.0,-0.06,-103.25966253399139,-0.05752000000000001
9,9.0,EXT_L,EXT,0.0,-103.25966253399139,-0.05750083305564812,-103.25966253399139,-0.05752000000000001
9,9.0,EXT_R,EXT,3001.0,0.0,-0.06,-103.25966253399139,-0.05752000000000001
10,10.0,EXT_L,EXT,0.0,-103.25966253399139,-0.05750083305564812,-103.25966253399139,-0.05752000000000001
10,10.0,EXT_R,EXT,3001.0,0.0,-0.06,-103.25966253399139,-0.05752000000000001
11,11.0,EXT_L,EXT,0.0,-103.25966253399139,-0.05750083305564812,-103.25966253399139,-0.05752000000000001
11,11.0,EXT_R,EXT,3001.0,0.0,-0.06,-103.25966253399139,-0.05752000000000001
12,12.0,EXT_L,EXT,0.0,-103.25966253399139,-0.05750083305564812,-103.25966253399139,-0.05752000000000001
12,12.0,EXT_R,EXT,3001.0,0.0,-0.06,-103.25966253399139,-0.05752000000000001
13,13.0,EXT_L,EXT,0.0,-103.25966253399139,-0.05750083305564812,-103.25966253399139,-0.05752000000000001
13,13.0,EXT_R,EXT,3001.0,0.0,-0.06,-103.25966253399139,-0.05752000000000001
14,14.0,EXT_L,EXT,0.0,-103.25966253399139,-0.05750083305564812,-103.25966253399139,-0.05752000000000001
14,14.0,EXT_R,EXT,3001.0,0.0,-0.06,-103.25966253399139,-0.05752000000000001
15,15.0,EXT_L,EXT,0.0,-103.25966253399139,-0.05750083305564812,-103.25966253399139,-0.05752000000000001
15,15.0,EXT_R,EXT,3001.0,0.0,-0.06,-103.25966253399139,-0.05752000000000001
16,16.0,EXT_L,EXT,0.0,-103.25966253399139,-0.05750083305564812,-103.25966253399139,-0.05752000000000001
16,16.0,EXT_R,EXT,3001.0,0.0,-0.06,-103.25966253399139,-0.05752000000000001
17,17.0,EXT_L,EXT,0.0,-103.25966253399139,-0.05750083305564812,-103.25966253399139,-0.05752000000000001
17,17.0,EXT_R,EXT,3001.0,0.0,-0.06,-103.25966253399139,-0.05752000000000001
18,18.0,EXT_L,EXT,0.0,-103.25966253399139,-0.05750083305564812,-103.25966253399139,-0.05752000000000001
18,18.0,EXT_R,EXT,3001.0,0.0,-0.06,-103.25966253399139,-0.05752000000000001
19,19.0,EXT_L,EXT,0.0,-103.25966253399139,-0.05750083305564812,-103.25966253399139,-0.05752000000000001
19,19.0,EXT_R,EXT,3001.0,0.0,-0.06,-103.25966253399139,-0.05752000000000001
20,20.0,EXT_L,EXT,0.0,-103.25966253399139,-0.05750083305564812,-103.25966253399139,-0.05752000000000001
20,20.0,EXT_R,EXT,3001.0,0.0,-0.06,-103.25966253399139,-0.05752000000000001
21,21.0,EXT_L,EXT,0.0,-103.25966253399139,-0.05750083305564812,-103.25966253399139,-0.05752000000000001
21,21.0,EXT_R,EXT,3001.0,0.0,-0.06,-103.25966253399139,-0.05752000000000001
22,22.0,EXT_L,EXT,0.0,-103.25966253399139,-0.05750083305564812,-103.25966253399139,-0.05752000000000001
22,22.0,EXT_R,EXT,3001.0,0.0,-0.06,-103.25966253399139,-0.05752000000000001
23,23.0,EXT_L,EXT,-1319.0,-98.77167302886312,-0.057312500000000016,-98.77167302886312,-0.057312500000000016
23,23.0,topoI,13,1561.0,-98.77167302886312,-0.057312500000000016,-98.77167302886312,-0.057312500000000016
23,23.0,EXT_R,EXT,4561.0,0.0,-0.06,-98.77167302886312,-0.057312500000000016
24,24.0,EXT_L,EXT,-1319.0,-94.28368352373485,-0.05470833333333335,-94.28368352373485,-0.05470833333333335
24,24.0,topoI,13,1561.0,-94.28368352373485,-0.05470833333333335,-94.28368352373485,-0.05470833333333335
24,24.0,EXT_R,EXT,4561.0,0.0,-0.06,-94.28368352373485,-0.05470833333333335
25,25.0,EXT_L,EXT,0.0,-89.79569401860658,-0.050003332222592484,-89.79569401860658,-0.050020000000000016
25,25.0,EXT_R,EXT,3001.0,0.0,-0.06,-89.79569401860658,-0.050020000000000016
