type,name,start,end,k_min,k_max,model,oparams
DNA_topoI,DNA_topoI_global,1.0,3000.0,0,0,stochastic_topoI,
DNA_gyrase,DNA_gyrase_global,1.0,3000.0,0,0,stochastic_gyrase,
DNA_topoI,0,1.0,120.0,0,0,stochastic_topoI,
DNA_gyrase,0,1.0,120.0,0,0,stochastic_gyrase,
EXT,EXT,1.0,3000.0,0,0,,
DNA_topoI,1,121.0,240.0,0,0,stochastic_topoI,
DNA_gyrase,1,121.0,240.0,0,0,stochastic_gyrase,
DNA_topoI,2,241.0,360.0,0,0,stochastic_topoI,
DNA_gyrase,2,241.0,360.0,0,0,stochastic_gyrase,
DNA_topoI,3,361.0,480.0,0,0,stochastic_topoI,
DNA_gyrase,3,361.0,480.0,0,0,stochastic_gyrase,
DNA_topoI,4,481.0,600.0,0,0,stochastic_topoI,
DNA_gyrase,4,481.0,600.0,0,0,stochastic_gyrase,
DNA_topoI,5,601.0,720.0,0,0,stochastic_topoI,
DNA_gyrase,5,601.0,720.0,0,0,stochastic_gyrase,
DNA_topoI,6,721.0,840.0,0,0,stochastic_topoI,
DNA_gyrase,6,721.0,840.0,0,0,stochastic_gyrase,
DNA_topoI,7,841.0,960.0,0,0,stochastic_topoI,
DNA_gyrase,7,841.0,960.0,0,0,stochastic_gyrase,
DNA_topoI,8,961.0,1080.0,0,0,stochastic_topoI,
DNA_gyrase,8,961.0,1080.0,0,0,stochastic_gyrase,
DNA_topoI,9,1081.0,1200.0,0,0,stochastic_topoI,
DNA_gyrase,9,1081.0,1200.0,0,0,stochastic_gyrase,
DNA_topoI,10,1201.0,1320.0,0,0,stochastic_topoI,
DNA_gyrase,10,1201.0,1320.0,0,0,stochastic_gyrase,
DNA_topoI,11,1321.0,1440.0,0,0,stochastic_topoI,
DNA_gyrase,11,1321.0,1440.0,0,0,stochastic_gyrase,
DNA_topoI,12,1441.0,1560.0,0,0,stochastic_topoI,
DNA_gyrase,12,1441.0,1560.0,0,0,stochastic_gyrase,
DNA_topoI,13,1561.0,1680.0,0,0,stochastic_topoI,
DNA_gyrase,13,1561.0,1680.0,0,0,stochastic_gyrase,
DNA_topoI,14,1681.0,1800.0,0,0,stochastic_topoI,
DNA_gyrase,14,1681.0,1800.0,0,0,stochastic_gyrase,
DNA_topoI,15,1801.0,1920.0,0,0,stochastic_topoI,
DNA_gyrase,15,1801.0,1920.0,0,0,stochastic_gyrase,
DNA_topoI,16,1921.0,2040.0,0,0,stochastic_topoI,
DNA_gyrase,16,1921.0,2040.0,0,0,stochastic_gyrase,
DNA_topoI,17,2041.0,2160.0,0,0,stochastic_topoI,
DNA_gyrase,17,2041.0,2160.0,0,0,stochastic_gyrase,
DNA_topoI,18,2161.0,2280.0,0,0,stochastic_topoI,
DNA_gyrase,18,2161.0,2280.0,0,0,stochastic_gyrase,
DNA_topoI,19,2281.0,2400.0,0,0,stochastic_topoI,
DNA_gyrase,19,2281.0,2400.0,0,0,stochastic_gyrase,
DNA_topoI,20,2401.0,2520.0,0,0,stochastic_topoI,
DNA_gyrase,20,2401.0,2520.0,0,0,stochastic_gyrase,
DNA_topoI,21,2521.0,2640.0,0,0,stochastic_topoI,
DNA_gyrase,21,2521.0,2640.0,0,0,stochastic_gyrase,
DNA_topoI,22,2641.0,2760.0,0,0,stochastic_topoI,
DNA_gyrase,22,2641.0,2760.0,0,0,stochastic_gyrase,
DNA_topoI,23,2761.0,2880.0,0,0,stochastic_topoI,
DNA_gyrase,23,2761.0,2880.0,0,0,stochastic_gyrase,
DNA_topoI,24,2881.0,3000.0,0,0,stochastic_topoI,
DNA_gyrase,24,2881.0,3000.0,0,0,stochastic_gyrase,
