bacterium,promoter,strain,mhYFP_by_A600
Escherichia coli K12 MG1655,None,WT,670.5338809034907
Escherichia coli K12 MG1655,None,WT,658.5137385512073
Escherichia coli K12 MG1655,None,WT,665.1877837391662
Escherichia coli K12 MG1655,None,WT,624.1546914623838
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,WT,12040.714285714286
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,WT,11795.286125977767
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,WT,15691.387070376433
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,WT,13598.449447748513
Escherichia coli K12 MG1655,PleuWT.1minRBS mhYFP,WT,59987.92548298067
Escherichia coli K12 MG1655,PleuWT.1minRBS mhYFP,WT,55332.1699242122
Escherichia coli K12 MG1655,PleuWT.1minRBS mhYFP,WT,61702.977412731
Escherichia coli K12 MG1655,PleuWT.1minRBS mhYFP,WT,51202.759031361646
Escherichia coli K12 MG1655,PleuWT.1min mRaspberry,WT,704.5831605143094
Escherichia coli K12 MG1655,PleuWT.1min mRaspberry,WT,683.7598018984729
Escherichia coli K12 MG1655,PleuWT.1min mRaspberry,WT,719.560669456067
Escherichia coli K12 MG1655,PleuWT.1min mRaspberry,WT,631.0975609756098
Escherichia coli K12 MG1655,PleuWT.1minRBS mRaspberry,WT,1076.4289459884637
Escherichia coli K12 MG1655,PleuWT.1minRBS mRaspberry,WT,808.2176929748483
Escherichia coli K12 MG1655,PleuWT.1minRBS mRaspberry,WT,949.1890522047644
Escherichia coli K12 MG1655,PleuWT.1minRBS mRaspberry,WT,700.7008216529724
Escherichia coli K12 MG1655,PleuWT.1 mhYFP,WT,18852.85244103127
Escherichia coli K12 MG1655,PleuWT.1 mhYFP,WT,16235.01164144354
Escherichia coli K12 MG1655,PleuWT.1 mhYFP,WT,16075.909831613257
Escherichia coli K12 MG1655,PleuWT.1 mhYFP,WT,19214.89021043001
Escherichia coli K12 MG1655,None,ΔtopA::cat,901.4900662251654
Escherichia coli K12 MG1655,None,ΔtopA::cat,1321.0388994307398
Escherichia coli K12 MG1655,None,ΔtopA::cat,1362.3102466793166
Escherichia coli K12 MG1655,None,ΔtopA::cat,1509.1821743388832
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,ΔtopA::cat,12001.972645975804
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,ΔtopA::cat,9293.756268806419
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,ΔtopA::cat,9137.512030798844
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,ΔtopA::cat,10127.955665024629
Escherichia coli K12 MG1655,PleuWT.1minRBS mhYFP,ΔtopA::cat,61396.06996819627
Escherichia coli K12 MG1655,PleuWT.1minRBS mhYFP,ΔtopA::cat,64002.37856785178
Escherichia coli K12 MG1655,PleuWT.1minRBS mhYFP,ΔtopA::cat,66163.74345549737
Escherichia coli K12 MG1655,PleuWT.1minRBS mhYFP,ΔtopA::cat,67264.79057591622
Escherichia coli K12 MG1655,PleuWT.1min mRaspberry,ΔtopA::cat,896.4016933207901
Escherichia coli K12 MG1655,PleuWT.1min mRaspberry,ΔtopA::cat,1407.7680525164112
Escherichia coli K12 MG1655,PleuWT.1min mRaspberry,ΔtopA::cat,1452.2758941012542
Escherichia coli K12 MG1655,PleuWT.1min mRaspberry,ΔtopA::cat,1506.9368879216538
Escherichia coli K12 MG1655,PleuWT.1minRBS mRaspberry,ΔtopA::cat,1102.5345622119814
Escherichia coli K12 MG1655,PleuWT.1minRBS mRaspberry,ΔtopA::cat,1714.6513895660653
Escherichia coli K12 MG1655,PleuWT.1minRBS mRaspberry,ΔtopA::cat,1767.8571428571427
Escherichia coli K12 MG1655,PleuWT.1minRBS mRaspberry,ΔtopA::cat,1235.2325581395346
Escherichia coli K12 MG1655,PleuWT.1 mhYFP,ΔtopA::cat,15524.886306215261
Escherichia coli K12 MG1655,PleuWT.1 mhYFP,ΔtopA::cat,12579.219143576827
Escherichia coli K12 MG1655,PleuWT.1 mhYFP,ΔtopA::cat,13435.045723507264
Escherichia coli K12 MG1655,PleuWT.1 mhYFP,ΔtopA::cat,12822.208436724566
Escherichia coli K12 MG1655,None,"ΔlacIZYA::FRT
ΔtopA::cat",1374.3276789408355
Escherichia coli K12 MG1655,None,"ΔlacIZYA::FRT
ΔtopA::cat",1190.6418312387793
Escherichia coli K12 MG1655,None,"ΔlacIZYA::FRT
ΔtopA::cat",1191.802925989673
Escherichia coli K12 MG1655,None,"ΔlacIZYA::FRT
ΔtopA::cat",1062.046279491833
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,"ΔlacIZYA::FRT
ΔtopA::cat",18033.49037279803
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,"ΔlacIZYA::FRT
ΔtopA::cat",20896.700620017717
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,"ΔlacIZYA::FRT
ΔtopA::cat",19678.004291845496
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,"ΔlacIZYA::FRT
ΔtopA::cat",20913.048498845266
Escherichia coli K12 MG1655,PleuWT.1minRBS mhYFP,"ΔlacIZYA::FRT
ΔtopA::cat",85928.88841927303
Escherichia coli K12 MG1655,PleuWT.1minRBS mhYFP,"ΔlacIZYA::FRT
ΔtopA::cat",88282.36176596656
Escherichia coli K12 MG1655,PleuWT.1minRBS mhYFP,"ΔlacIZYA::FRT
ΔtopA::cat",84106.50319829423
Escherichia coli K12 MG1655,PleuWT.1minRBS mhYFP,"ΔlacIZYA::FRT
ΔtopA::cat",95022.68663388466
Escherichia coli K12 MG1655,PleuWT.1min mRaspberry,"ΔlacIZYA::FRT
ΔtopA::cat",1645.408163265306
Escherichia coli K12 MG1655,PleuWT.1min mRaspberry,"ΔlacIZYA::FRT
ΔtopA::cat",1561.8596311475408
Escherichia coli K12 MG1655,PleuWT.1min mRaspberry,"ΔlacIZYA::FRT
ΔtopA::cat",1624.1302186878727
Escherichia coli K12 MG1655,PleuWT.1min mRaspberry,"ΔlacIZYA::FRT
ΔtopA::cat",1378.434065934066
Escherichia coli K12 MG1655,PleuWT.1minRBS mRaspberry,"ΔlacIZYA::FRT
ΔtopA::cat",1129.006038086391
Escherichia coli K12 MG1655,PleuWT.1minRBS mRaspberry,"ΔlacIZYA::FRT
ΔtopA::cat",1172.4876070301937
Escherichia coli K12 MG1655,PleuWT.1minRBS mRaspberry,"ΔlacIZYA::FRT
ΔtopA::cat",1200.6422454804947
Escherichia coli K12 MG1655,PleuWT.1minRBS mRaspberry,"ΔlacIZYA::FRT
ΔtopA::cat",956.7825661116551
Escherichia coli K12 MG1655,PleuWT.1 mhYFP,"ΔlacIZYA::FRT
ΔtopA::cat",15156.54315196998
Escherichia coli K12 MG1655,PleuWT.1 mhYFP,"ΔlacIZYA::FRT
ΔtopA::cat",13941.740088105727
Escherichia coli K12 MG1655,PleuWT.1 mhYFP,"ΔlacIZYA::FRT
ΔtopA::cat",14883.886810102898
Escherichia coli K12 MG1655,PleuWT.1 mhYFP,"ΔlacIZYA::FRT
ΔtopA::cat",15050.022381378694
Escherichia coli K12 MG1655,None,WT,769.3042002545608
Escherichia coli K12 MG1655,None,WT,673.8991021804189
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,WT,16056.990881458965
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,WT,17879.587675577706
Escherichia coli K12 MG1655,PleuWT.1minRBS mhYFP,WT,67728.67298578199
Escherichia coli K12 MG1655,PleuWT.1minRBS mhYFP,WT,61159.3003770423
Escherichia coli K12 MG1655,PleuWT.1min mRaspberry,WT,836.4474929044463
Escherichia coli K12 MG1655,PleuWT.1min mRaspberry,WT,686.9359205776174
Escherichia coli K12 MG1655,PleuWT.1minRBS mRaspberry,WT,836.7097061442565
