bacterium,promoter,strain,mhYFP_by_A600
Salmonella enterica Typhimurium SL1344,None,WT,981.3446851133091
Salmonella enterica Typhimurium SL1344,None,WT,890.5865596270879
Salmonella enterica Typhimurium SL1344,None,WT,921.1726384364821
Salmonella enterica Typhimurium SL1344,None,WT,766.4301967608085
Salmonella enterica Typhimurium SL1344,PleuWT.1min mhYFP,WT,21129.139513233145
Salmonella enterica Typhimurium SL1344,PleuWT.1min mhYFP,WT,19806.09123553664
Salmonella enterica Typhimurium SL1344,PleuWT.1min mhYFP,WT,21479.01670514736
Salmonella enterica Typhimurium SL1344,PleuWT.1min mhYFP,WT,20540.964015403002
Salmonella enterica Typhimurium SL1344,PleuWT.1minRBS mhYFP,WT,34145.02136475463
Salmonella enterica Typhimurium SL1344,PleuWT.1minRBS mhYFP,WT,99614.24173470754
Salmonella enterica Typhimurium SL1344,PleuWT.1minRBS mhYFP,WT,79826.98789164898
Salmonella enterica Typhimurium SL1344,PleuWT.1minRBS mhYFP,WT,107954.78543387033
Salmonella enterica Typhimurium SL1344,PleuWT.1min mRaspberry,WT,996.1675697105854
Salmonella enterica Typhimurium SL1344,PleuWT.1min mRaspberry,WT,966.616705273198
Salmonella enterica Typhimurium SL1344,PleuWT.1min mRaspberry,WT,1008.826241601897
Salmonella enterica Typhimurium SL1344,PleuWT.1min mRaspberry,WT,854.5671483494631
Salmonella enterica Typhimurium SL1344,PleuWT.1minRBS mRaspberry,WT,983.4019386535653
Salmonella enterica Typhimurium SL1344,PleuWT.1minRBS mRaspberry,WT,967.0808249007301
Salmonella enterica Typhimurium SL1344,PleuWT.1minRBS mRaspberry,WT,1074.1654760358488
Salmonella enterica Typhimurium SL1344,PleuWT.1minRBS mRaspberry,WT,888.674831429751
Salmonella enterica Typhimurium SL1344,PleuWT.1 mhYFP,WT,20977.607324013363
Salmonella enterica Typhimurium SL1344,PleuWT.1 mhYFP,WT,21092.44520631811
Salmonella enterica Typhimurium SL1344,PleuWT.1 mhYFP,WT,22078.782452999105
Salmonella enterica Typhimurium SL1344,PleuWT.1 mhYFP,WT,21616.67703795893
Salmonella enterica Typhimurium SL1344,None,ΔtopA::cat,725.6002867040975
Salmonella enterica Typhimurium SL1344,None,ΔtopA::cat,807.4797130424555
Salmonella enterica Typhimurium SL1344,None,ΔtopA::cat,1092.0277523236025
Salmonella enterica Typhimurium SL1344,None,ΔtopA::cat,987.6714226347141
Salmonella enterica Typhimurium SL1344,PleuWT.1min mhYFP,ΔtopA::cat,46619.40557418758
Salmonella enterica Typhimurium SL1344,PleuWT.1min mhYFP,ΔtopA::cat,36927.25800855788
Salmonella enterica Typhimurium SL1344,PleuWT.1min mhYFP,ΔtopA::cat,20280.706276582034
Salmonella enterica Typhimurium SL1344,PleuWT.1min mhYFP,ΔtopA::cat,21094.734157847764
Salmonella enterica Typhimurium SL1344,PleuWT.1minRBS mhYFP,ΔtopA::cat,126276.05005575519
Salmonella enterica Typhimurium SL1344,PleuWT.1minRBS mhYFP,ΔtopA::cat,122296.20532973106
Salmonella enterica Typhimurium SL1344,PleuWT.1minRBS mhYFP,ΔtopA::cat,63598.003230069
Salmonella enterica Typhimurium SL1344,PleuWT.1minRBS mhYFP,ΔtopA::cat,55264.73877616233
Salmonella enterica Typhimurium SL1344,PleuWT.1min mRaspberry,ΔtopA::cat,712.9640205596802
Salmonella enterica Typhimurium SL1344,PleuWT.1min mRaspberry,ΔtopA::cat,777.841495584356
Salmonella enterica Typhimurium SL1344,PleuWT.1min mRaspberry,ΔtopA::cat,1041.4773560017586
Salmonella enterica Typhimurium SL1344,PleuWT.1min mRaspberry,ΔtopA::cat,933.7951245504197
Salmonella enterica Typhimurium SL1344,PleuWT.1minRBS mRaspberry,ΔtopA::cat,694.2386376202587
Salmonella enterica Typhimurium SL1344,PleuWT.1minRBS mRaspberry,ΔtopA::cat,714.7299320511344
Salmonella enterica Typhimurium SL1344,PleuWT.1minRBS mRaspberry,ΔtopA::cat,899.9079310798369
Salmonella enterica Typhimurium SL1344,PleuWT.1minRBS mRaspberry,ΔtopA::cat,932.0056013692235
Salmonella enterica Typhimurium SL1344,PleuWT.1 mhYFP,ΔtopA::cat,33734.08450704226
Salmonella enterica Typhimurium SL1344,PleuWT.1 mhYFP,ΔtopA::cat,31686.29684474314
Salmonella enterica Typhimurium SL1344,PleuWT.1 mhYFP,ΔtopA::cat,18330.507402252308
Salmonella enterica Typhimurium SL1344,PleuWT.1 mhYFP,ΔtopA::cat,15132.400993334206
Salmonella enterica Typhimurium SL1344,None,"ΔSL1483::
lacIMG1655-FRT
ΔtopA::cat",841.7966459481646
Salmonella enterica Typhimurium SL1344,None,"ΔSL1483::
lacIMG1655-FRT
ΔtopA::cat",23863.404204774917
Salmonella enterica Typhimurium SL1344,None,"ΔSL1483::
lacIMG1655-FRT
ΔtopA::cat",840.5105570798044
Salmonella enterica Typhimurium SL1344,None,"ΔSL1483::
lacIMG1655-FRT
ΔtopA::cat",20009.33125972006
Salmonella enterica Typhimurium SL1344,PleuWT.1min mhYFP,"ΔSL1483::
lacIMG1655-FRT
ΔtopA::cat",22864.70521413155
Salmonella enterica Typhimurium SL1344,PleuWT.1min mhYFP,"ΔSL1483::
lacIMG1655-FRT
ΔtopA::cat",22824.86523683909
Salmonella enterica Typhimurium SL1344,PleuWT.1min mhYFP,"ΔSL1483::
lacIMG1655-FRT
ΔtopA::cat",25782.60347930414
Salmonella enterica Typhimurium SL1344,PleuWT.1min mhYFP,"ΔSL1483::
lacIMG1655-FRT
ΔtopA::cat",21948.90256648473
Salmonella enterica Typhimurium SL1344,PleuWT.1minRBS mhYFP,"ΔSL1483::
lacIMG1655-FRT
ΔtopA::cat",72631.5906810835
Salmonella enterica Typhimurium SL1344,PleuWT.1minRBS mhYFP,"ΔSL1483::
lacIMG1655-FRT
ΔtopA::cat",73207.19899760793
Salmonella enterica Typhimurium SL1344,PleuWT.1minRBS mhYFP,"ΔSL1483::
lacIMG1655-FRT
ΔtopA::cat",74220.34877006582
Salmonella enterica Typhimurium SL1344,PleuWT.1minRBS mhYFP,"ΔSL1483::
lacIMG1655-FRT
ΔtopA::cat",73565.38954233142
Salmonella enterica Typhimurium SL1344,PleuWT.1min mRaspberry,"ΔSL1483::
lacIMG1655-FRT
ΔtopA::cat",881.3678416676426
Salmonella enterica Typhimurium SL1344,PleuWT.1min mRaspberry,"ΔSL1483::
lacIMG1655-FRT
ΔtopA::cat",905.6022740731967
Salmonella enterica Typhimurium SL1344,PleuWT.1min mRaspberry,"ΔSL1483::
lacIMG1655-FRT
ΔtopA::cat",893.7789936957297
Salmonella enterica Typhimurium SL1344,PleuWT.1min mRaspberry,"ΔSL1483::
lacIMG1655-FRT
ΔtopA::cat",862.0330750549323
Salmonella enterica Typhimurium SL1344,PleuWT.1minRBS mRaspberry,"ΔSL1483::
lacIMG1655-FRT
ΔtopA::cat",768.2555162745336
Salmonella enterica Typhimurium SL1344,PleuWT.1minRBS mRaspberry,"ΔSL1483::
lacIMG1655-FRT
ΔtopA::cat",800.7046388725778
Salmonella enterica Typhimurium SL1344,PleuWT.1minRBS mRaspberry,"ΔSL1483::
lacIMG1655-FRT
ΔtopA::cat",844.0187221073256
Salmonella enterica Typhimurium SL1344,PleuWT.1minRBS mRaspberry,"ΔSL1483::
lacIMG1655-FRT
ΔtopA::cat",717.9912353428875
Salmonella enterica Typhimurium SL1344,PleuWT.1 mhYFP,"ΔSL1483::
lacIMG1655-FRT
ΔtopA::cat",38363.46884717263
Salmonella enterica Typhimurium SL1344,PleuWT.1 mhYFP,"ΔSL1483::
lacIMG1655-FRT
ΔtopA::cat",37799.04640074427
Salmonella enterica Typhimurium SL1344,PleuWT.1 mhYFP,"ΔSL1483::
lacIMG1655-FRT
ΔtopA::cat",39851.78854840679
Salmonella enterica Typhimurium SL1344,PleuWT.1 mhYFP,"ΔSL1483::
lacIMG1655-FRT
ΔtopA::cat",37636.27786295554
Salmonella enterica Typhimurium SL1344,None,WT,951.0963646855162
Salmonella enterica Typhimurium SL1344,None,WT,919.9365262550488
Salmonella enterica Typhimurium SL1344,PleuWT.1min mhYFP,WT,22546.129220023282
Salmonella enterica Typhimurium SL1344,PleuWT.1min mhYFP,WT,21408.50302696753
Salmonella enterica Typhimurium SL1344,PleuWT.1minRBS mhYFP,WT,124183.56643356646
Salmonella enterica Typhimurium SL1344,PleuWT.1minRBS mhYFP,WT,91415.33092037227
Salmonella enterica Typhimurium SL1344,PleuWT.1min mRaspberry,WT,1009.9366359447004
Salmonella enterica Typhimurium SL1344,PleuWT.1min mRaspberry,WT,979.0836653386451
Salmonella enterica Typhimurium SL1344,PleuWT.1minRBS mRaspberry,WT,893.6378923766815
Salmonella enterica Typhimurium SL1344,PleuWT.1minRBS mRaspberry,WT,922.8738187882154
Salmonella enterica Typhimurium SL1344,PleuWT.1 mhYFP,WT,20153.080191184283
Salmonella enterica Typhimurium SL1344,PleuWT.1 mhYFP,WT,20332.072025052188
Salmonella enterica Typhimurium SL1344,None,ΔtopA::cat,615.7295201163354
Salmonella enterica Typhimurium SL1344,None,ΔtopA::cat,841.8938656280427
Salmonella enterica Typhimurium SL1344,PleuWT.1min mhYFP,ΔtopA::cat,30471.682061254258
Salmonella enterica Typhimurium SL1344,PleuWT.1min mhYFP,ΔtopA::cat,31881.872406639002
Salmonella enterica Typhimurium SL1344,PleuWT.1minRBS mhYFP,ΔtopA::cat,116083.37124658783
Salmonella enterica Typhimurium SL1344,PleuWT.1minRBS mhYFP,ΔtopA::cat,138474.88526262113
Salmonella enterica Typhimurium SL1344,PleuWT.1min mRaspberry,ΔtopA::cat,685.5755566082424
Salmonella enterica Typhimurium SL1344,PleuWT.1min mRaspberry,ΔtopA::cat,841.502463054187
Salmonella enterica Typhimurium SL1344,PleuWT.1minRBS mRaspberry,ΔtopA::cat,628.527751646284
Salmonella enterica Typhimurium SL1344,PleuWT.1minRBS mRaspberry,ΔtopA::cat,768.8656280428431
Salmonella enterica Typhimurium SL1344,PleuWT.1 mhYFP,ΔtopA::cat,32555.466237942124
Salmonella enterica Typhimurium SL1344,PleuWT.1 mhYFP,ΔtopA::cat,30480.972283326002
Salmonella enterica Typhimurium SL1344,None,"ΔSL1483::
lacIMG1655-FRT
ΔtopA::cat",647.9892103972535
Salmonella enterica Typhimurium SL1344,None,"ΔSL1483::
lacIMG1655-FRT
ΔtopA::cat",627.1655437921077
