bacterium,promoter,strain,relative
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,WT,0.5610466043312358
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,WT,0.5496106851357435
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,WT,0.7311525898033135
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,WT,0.6336305061138388
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,WT,0.7481881885120861
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,WT,0.8331135275028582
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,WT,0.7529135506368286
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,WT,0.9305830804091418
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,WT,0.7622559582565225
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,WT,0.7711035785329409
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,WT,0.7338932149572022
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,WT,0.8548244943466012
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,ΔtopA::cat,0.5592414069894728
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,ΔtopA::cat,0.4330499231496927
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,ΔtopA::cat,0.4257695993167057
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,ΔtopA::cat,0.4719201037284878
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,ΔtopA::cat,0.5695503361581701
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,ΔtopA::cat,0.558264195440482
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,ΔtopA::cat,0.5518158703363565
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,ΔtopA::cat,0.5365460602192587
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,ΔtopA::cat,0.5776158061652118
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,ΔtopA::cat,0.546128803268792
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,ΔtopA::cat,0.5039788666299488
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,ΔtopA::cat,0.5045041810683583
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,"ΔlacIZYA::FRT
ΔtopA::cat",0.8402847453910964
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,"ΔlacIZYA::FRT
ΔtopA::cat",0.9736982911800629
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,"ΔlacIZYA::FRT
ΔtopA::cat",0.9169121719841941
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,"ΔlacIZYA::FRT
ΔtopA::cat",0.9744600335224664
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,"ΔlacIZYA::FRT
ΔtopA::cat",0.8909826395604988
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,"ΔlacIZYA::FRT
ΔtopA::cat",0.8738142219586396
