bacterium,promoter,strain,relative
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,WT,0.5894196176681287
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,WT,0.5774053659680843
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,WT,0.7681281316239812
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,WT,0.665674202059668
Escherichia coli K12 MG1655,PleuWT.1 mhYFP,WT,0.9228888597523176
Escherichia coli K12 MG1655,PleuWT.1 mhYFP,WT,0.7947397577476524
Escherichia coli K12 MG1655,PleuWT.1 mhYFP,WT,0.7869513719679371
Escherichia coli K12 MG1655,PleuWT.1 mhYFP,WT,0.9406114099729143
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,ΔtopA::cat,0.5875231286442519
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,ΔtopA::cat,0.4549499420611566
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,ΔtopA::cat,0.44730144074769723
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,ΔtopA::cat,0.4957858490937892
Escherichia coli K12 MG1655,PleuWT.1 mhYFP,ΔtopA::cat,0.7599775506514084
Escherichia coli K12 MG1655,PleuWT.1 mhYFP,ΔtopA::cat,0.6157806224974148
Escherichia coli K12 MG1655,PleuWT.1 mhYFP,ΔtopA::cat,0.6576752280467978
Escherichia coli K12 MG1655,PleuWT.1 mhYFP,ΔtopA::cat,0.6276754862792517
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,"ΔlacIZYA::FRT
ΔtopA::cat",0.882779272768529
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,"ΔlacIZYA::FRT
ΔtopA::cat",1.0229397523857549
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,"ΔlacIZYA::FRT
ΔtopA::cat",0.9632818694097357
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,"ΔlacIZYA::FRT
ΔtopA::cat",1.0237400172421054
Escherichia coli K12 MG1655,PleuWT.1 mhYFP,"ΔlacIZYA::FRT
ΔtopA::cat",0.7419463378849436
Escherichia coli K12 MG1655,PleuWT.1 mhYFP,"ΔlacIZYA::FRT
ΔtopA::cat",0.6824790388149481
Escherichia coli K12 MG1655,PleuWT.1 mhYFP,"ΔlacIZYA::FRT
ΔtopA::cat",0.7285992063971748
Escherichia coli K12 MG1655,PleuWT.1 mhYFP,"ΔlacIZYA::FRT
ΔtopA::cat",0.7367319103696157
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,WT,0.7860252474788063
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,WT,0.8752453950598514
Escherichia coli K12 MG1655,PleuWT.1 mhYFP,WT,1.081383123544389
Escherichia coli K12 MG1655,PleuWT.1 mhYFP,WT,0.937447383652381
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,ΔtopA::cat,0.5983533966509967
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,ΔtopA::cat,0.5864964979630565
Escherichia coli K12 MG1655,PleuWT.1 mhYFP,ΔtopA::cat,0.8992965538359958
Escherichia coli K12 MG1655,PleuWT.1 mhYFP,ΔtopA::cat,0.8085790173218583
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,"ΔlacIZYA::FRT
ΔtopA::cat",0.9360410395579883
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,"ΔlacIZYA::FRT
ΔtopA::cat",0.918004387948775
Escherichia coli K12 MG1655,PleuWT.1 mhYFP,"ΔlacIZYA::FRT
ΔtopA::cat",0.7061836628009288
Escherichia coli K12 MG1655,PleuWT.1 mhYFP,"ΔlacIZYA::FRT
ΔtopA::cat",0.8221725400063647
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,WT,0.7909895786331302
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,WT,0.9776441372762593
Escherichia coli K12 MG1655,PleuWT.1 mhYFP,WT,0.9551219233652034
Escherichia coli K12 MG1655,PleuWT.1 mhYFP,WT,1.014645881989498
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,ΔtopA::cat,0.5797220708688867
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,ΔtopA::cat,0.563680042325085
Escherichia coli K12 MG1655,PleuWT.1 mhYFP,ΔtopA::cat,0.8876218448501195
Escherichia coli K12 MG1655,PleuWT.1 mhYFP,ΔtopA::cat,0.8599183023757224
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,"ΔlacIZYA::FRT
ΔtopA::cat",0.9591861465893478
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,"ΔlacIZYA::FRT
ΔtopA::cat",0.9187759147052453
Escherichia coli K12 MG1655,PleuWT.1 mhYFP,"ΔlacIZYA::FRT
ΔtopA::cat",0.7121527587065151
Escherichia coli K12 MG1655,PleuWT.1 mhYFP,"ΔlacIZYA::FRT
ΔtopA::cat",0.769934136896835
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,WT,0.8008044465688583
