test,loss,PleuWT_k_closed,PleuWT_k_ini,PleuWT_k_off,PleuWT_k_on,PleuWT_k_open,PleuWT_spread,PleuWT_superhelical_op,antitet_k_closed,antitet_k_ini,antitet_k_off,antitet_k_on,antitet_k_open,antitet_spread,antitet_superhelical_op,bla_k_closed,bla_k_ini,bla_k_off,bla_k_on,bla_k_open,bla_spread,bla_superhelical_op,bridge_off,bridge_on,gyrase_concentration,lacI_k_off,lacI_k_on,leakage,tetA_k_closed,tetA_k_ini,tetA_k_off,tetA_k_on,tetA_k_open,tetA_spread,tetA_superhelical_op,topoI_concentration
0,2.670138799373477,0.4780265917389241,0.05249539246318384,0.07295934816560307,0.26236275517228497,0.06509117521201119,0.02676928970029665,-0.04462886913789507,0.1668103275417283,0.15980339085560746,0.19045192748523312,0.07775554615254271,0.39355452524850415,0.016208712304199135,-0.03424898517898288,0.20258441911736974,0.2838730550873324,0.028504495686098377,0.08538014913947425,0.31320130304869326,0.0052367701558627515,-0.05951310041705632,0.09991868468766196,0.07956655458740332,59.01002178594419,0.3327908601540693,0.4654408351653089,0.2273870619723139,0.39886584051803,0.393907601956576,0.037202574828326306,0.1613069834014047,0.25825830289622087,0.01672167801357583,-0.026789980676189054,11.659800549477687
1,1.3808786291609736,0.11414906206983357,0.14325840126783662,0.03900730413868401,0.49794371968044415,0.1467129189961088,0.008822415668314907,-0.05681211322666144,0.27795388719522046,0.4759843411863268,0.034637531891557945,0.3390365689497289,0.08030104646064701,0.009367846363848608,-0.06502450834220574,0.3380620081079636,0.06905947527810155,0.08972646537081717,0.19611939013714755,0.028215383531981296,0.03266311397196223,-0.01695706170152561,0.03624011299936679,0.07787581063932766,50.28776820431988,0.19935900833164624,0.09762383846659631,0.21738524921672264,0.2405503650619363,0.04721250384108524,0.196386914620123,0.4565506779555267,0.3486235704777022,0.04711113475558355,-0.055760672402682,13.216983367777871
2,9.339578163331174,0.06305016640883397,0.32269089378795796,0.1805946374165113,0.1296946909122032,0.17623821807332216,0.02899668520881499,-0.09236129599816112,0.01426456131980501,0.19106467645943376,0.2813124496516839,0.3486527629135905,0.025312000873057905,0.02652654386291829,-0.03487771744362178,0.4494186414865362,0.1587799690596876,0.45794727937984087,0.15558672746017163,0.21865405247131853,0.03882747164351704,-0.08371143873660941,0.019111829723145988,0.37595799260730967,58.272996842857594,0.4714439500416956,0.4153997048007324,0.18920343673918494,0.39663863727988474,0.1808614053574899,0.20031393544849566,0.14726599627027354,0.025125213091260257,0.03767485795378089,-0.03394173984894486,15.667503487695003
3,8.8520051661324,0.18844011086475695,0.18734919000431371,0.36750021749784595,0.42520099352438284,0.06339905300734132,0.01958141225595157,-0.005355658702489746,0.16185434799792012,0.15870434625291766,0.02824957628050722,0.2820617533386096,0.019693650915250237,0.029673396342755676,-0.07771795737396384,0.18334396171475023,0.14404339617466283,0.27652267341823217,0.38485647144078566,0.34295633753926374,0.019184767287208842,-0.04140112379257204,0.0939467556937722,0.44377331432522715,22.803268531331092,0.25941618634757735,0.015448876030676016,0.25685944467342076,0.020788936483176618,0.11614904140669922,0.3559309633102009,0.4569562456338673,0.4631172263567804,0.04953422289357985,-0.015615048096967496,33.35117895805173
4,1551.7192023431962,0.017787606780970792,0.2374565809316228,0.342284659242401,0.3216177220375976,0.22913589814702828,0.008255105690126413,-0.07960488531956589,0.08204655954714417,0.2546164667562753,0.014657894937426662,0.04346368988503724,0.4110897971826872,0.00900378379539256,-0.051152822893570454,0.15287453278516364,0.24365988714371412,0.21281215965580697,0.49347874417823384,0.0959116395886739,0.04446571558869966,-0.005466121387890641,0.0819227840152513,0.45586267585831686,43.56913112133768,0.21755776971132307,0.07155460555820518,0.3608964205670688,0.09451794247145029,0.4194059095998652,0.20475254592854522,0.46902103670505907,0.43272215510325696,0.04994537322414182,-0.07455104759469779,18.21133620526828
5,2.8275260211134596,0.3490510778146424,0.20106381378750085,0.2192289644049483,0.21649752171074588,0.19868472175530902,0.028730770296183008,-0.04595122041673092,0.10609054401642191,0.416603069711863,0.058061140871296935,0.24505461515701388,0.40421433623580694,0.03214602291934706,-0.09373313058572177,0.38129589958553306,0.41842018295725203,0.3372138812914194,0.18075218270369162,0.4999648311371727,0.02136880707901235,-0.028569852662119366,0.009023838057211797,0.2978869689311796,49.86662342313605,0.4840701383304249,0.4268672058053364,0.29680058864877157,0.32272580973320514,0.36000762773893014,0.07602062945023366,0.24711019124639735,0.18063367246949755,0.021194848071790038,-0.0757517360094695,22.243685300725566
6,60.11350012868892,0.1715565326416519,0.296308165555971,0.026864118709846535,0.4173786470685033,0.4257018543765151,0.0055004362212714986,-0.0648058925472811,0.38503659143619634,0.23290383627822323,0.34430323942560365,0.05134096949149761,0.051326660926142895,0.015037911712761864,-0.06420901071603358,0.06348029531956206,0.15142743088069063,0.0396900419065261,0.06426884088805976,0.26031660606489726,0.02918072572680334,-0.024594505675263556,0.04834888217499246,0.23357553717122564,46.469776244282436,0.18098343793285093,0.14094830388433935,0.3079074905556593,0.4083389580407843,0.4394754679815541,0.01969028186065397,0.08590117645037948,0.09110473637089339,0.03260173385578449,-0.08233842794585883,23.92327187899031
7,3.972228623042228,0.1882349617979909,0.38718159020828413,0.304108514283749,0.02814520750281719,0.07037671110641369,0.0386937199348754,-0.07591081579569127,0.18374581286051606,0.09273545239896226,0.45556338971855814,0.4199977259988128,0.21204809421878826,0.02408657798112346,-0.06061532358971597,0.4681801955929301,0.2715101534381939,0.3183327434745135,0.1296894957364589,0.16218815977852513,0.012461786787447547,-0.046613461901392365,0.0022218976082943147,0.18062035932808942,51.581806503210395,0.13573501860065532,0.18341551364975958,0.03812867556073881,0.3539778014471264,0.3995142113200452,0.29235250087453646,0.05804861789144944,0.26726023688945755,0.04709612168857521,-0.0959963821398758,13.527903988224613
8,4.503695301149178,0.10152037863620197,0.1358123215907275,0.41346461590403955,0.08481882816392984,0.060463195260662156,0.023825384627520346,-0.06939210363276188,0.18478719032723134,0.22339964063158702,0.2736399750840419,0.45012590331520375,0.40776216005225857,0.040352581291759185,-0.09484538323240854,0.20433395334258972,0.08543042075088425,0.18030645827513325,0.4146184489060662,0.25374904930507325,0.037180251628746296,-0.06380339280554884,0.018071585740217794,0.28177072938914005,42.550140804020174,0.4785669053166271,0.4197861787014441,0.37108812729901874,0.1978411598754602,0.04093052482153776,0.41739232097546963,0.16873930700907463,0.283485358661397,0.02809461325749597,-0.0406977790448623,22.81992317484766
9,2.24398879540164,0.05029243314090124,0.468240283583975,0.08725277872853826,0.42281826405893047,0.47029481119222943,0.04540126338513889,-0.007836907664600393,0.16350071831085042,0.26030872400752164,0.08125797673657714,0.25212674592388934,0.3697161743968408,0.0074580079911054035,-0.040614870891185983,0.4891502850153884,0.46438510038496233,0.4480766172243697,0.34394752152938035,0.43049406054192946,0.03226792831498701,-0.055665213904096844,0.008085610456229901,0.32989485718751943,76.15366156987338,0.34558516362607455,0.18404532691872366,0.36028383649341245,0.4319379022436513,0.21874946404393994,0.30830184072696687,0.05161746252215464,0.44052082019146405,0.02347890537797147,-0.05136323103801776,29.14378027020458
10,9.448341949461442,0.40606018915276637,0.33342941224808276,0.1551544916428063,0.09820557507136997,0.028021939692398662,0.01634259252236754,-0.010541280225924349,0.2833835473689492,0.29945485238401676,0.156656713564717,0.2463024965941981,0.45054471652664746,0.012090925330517855,-0.06516680084962018,0.4499622746314415,0.19203146752267772,0.0316434431930028,0.02251590813262009,0.4179982105189663,0.04731959089318571,-0.0900769243223219,0.0013658725956054935,0.3595076855980216,47.33578427007185,0.022154604001476615,0.448295600700228,0.3714567737602379,0.2956516757500377,0.45391700256439593,0.06878196977995868,0.3562766106160717,0.21927254894982168,0.04921227540245185,-0.048131596280630844,11.188234528976478
11,17.2069267660712,0.4062892300510823,0.464779641691508,0.41098889865160754,0.0983808051786271,0.4790049550338917,0.03817020361408839,-0.08748194537832973,0.08189990220789894,0.34648277751602186,0.4249091757299587,0.19466849649016477,0.4398626238110552,0.04904007405743062,-0.02377589383641246,0.45757527761370714,0.3288462000468224,0.28623098662955304,0.29327814591892276,0.490366632350316,0.04606991015124595,-0.010793177875519824,0.07106392162925372,0.13594469212940002,31.52661373949813,0.36872141489659405,0.37895040741946945,0.03865618799721048,0.16153991192375172,0.4178693079451565,0.2865422713207875,0.2633341329119329,0.4536494770935344,0.014492642081441267,-0.08866297481333507,29.692643691975405
12,2.2189123188182647,0.10781298150603733,0.08491940406830552,0.4580016931417505,0.08761730561764199,0.16267295285017136,0.0473238850709581,-0.00905453491828248,0.30476398014157424,0.08085896324990004,0.23383234525805963,0.03835382642102122,0.09411162279913225,0.009773847405209847,-0.09137242766662472,0.15672248323261914,0.2971567940307821,0.08648679120659207,0.12060039989600436,0.3250669734762973,0.04221178720834592,-0.0998491066351393,0.07839522200397421,0.4490532708025684,43.97863310245283,0.366253406362326,0.15021347884774477,0.05070160646039928,0.12649829117335654,0.1038462122012837,0.2074796092341892,0.4304529605025714,0.4966034372641509,0.02778709026571464,-0.008022122198030529,20.2284990619156
13,5.7963431765632105,0.2717498044231347,0.20457206408388418,0.10050970417716948,0.18478559475163683,0.3230486885922165,0.034378503584877124,-0.007639881153871236,0.425166418289528,0.47702664226345737,0.24370145947490082,0.33881247519104674,0.06511022896294315,0.011002201481448008,-0.02946439122737192,0.35070738382901556,0.41128115461088355,0.09897982278421331,0.04031361634429954,0.09610549638912491,0.018603012335931396,-0.08113415455032238,0.01710588341722649,0.3396426564156459,50.14472154065994,0.19621702421630252,0.3232482833315613,0.3131349549829732,0.2587188474706809,0.12124246988577041,0.3592482756631274,0.4979368882753273,0.32805907519051647,0.02184730361216618,-0.036899412380951624,15.255556666240896
14,8.48147977928641,0.03515589898403129,0.4638518424045069,0.14971986971209209,0.11733387878902705,0.04312475179205533,0.015012185740197307,-0.048980923506767526,0.47002009918440457,0.4086795650087096,0.14078323199303028,0.14746244289077998,0.43762240793353235,0.030758608845697737,-0.022214207153956722,0.3871677011976548,0.07740167200999191,0.2608215987696487,0.49365822497285744,0.06743134630332698,0.009244093197011619,-0.05430358199295415,0.01372379761049886,0.11775021982219187,64.27357851087376,0.3563355562961977,0.42036712399157744,0.39582449946302295,0.48822571894286015,0.17037990578109333,0.2803338129783516,0.046629998388740275,0.28624906808237227,0.03280023672206337,-0.03517829928391823,28.55038566418361
15,9.792254553142577,0.3822716729600248,0.4461072184464975,0.060706234080910595,0.10042856314644973,0.08055287707267665,0.005057608170396072,-0.031862631439304734,0.3598055227036435,0.1079399771185661,0.25815230523516464,0.23493629079233794,0.1605653188153696,0.027367548796837095,-0.002918869534784721,0.2565366204862494,0.34897077385269465,0.4070249198088247,0.2793819025684551,0.4656078220745708,0.0367906853726972,-0.023187736517421953,0.0378506144063143,0.16383422072586876,84.25055824084205,0.22473757351561013,0.42652948819356623,0.2673149089278395,0.16140288980881815,0.37662589173504474,0.2198692873877377,0.46192307397312726,0.39997876929369347,0.03353186489016608,-0.053515506851911476,28.766122471071537
16,1792663.2741007628,0.42882429234903935,0.49605477723877334,0.3198591839256631,0.4019129365967653,0.08224821865635784,0.007151308932902103,-0.07311686586101404,0.1294739999831341,0.24852734338051685,0.25725723387686283,0.10653691760737626,0.4966878544173758,0.03673037506666077,-0.042650002370174,0.16487086697878303,0.01139394979464555,0.08605844569155541,0.21210077722151924,0.17402038672404532,0.007066154424780554,-0.06099764260231534,0.07517570288873572,0.2687707754519113,23.21269966894134,0.37985097429190123,0.15659227020812183,0.026441043470735198,0.32824506927663105,0.047336137979157394,0.15177794623416244,0.10133721987128673,0.0447042760038118,0.047835551514804266,-0.04371999052357518,31.859221969452573
17,5.177861681592701,0.4111686277056005,0.21788008406959836,0.14787767008066854,0.014596104097025516,0.13814640464133315,0.0348529469817528,-0.013305673077242827,0.3274395019276567,0.08930577860019628,0.18101316972508652,0.37908800752476823,0.17254603409407845,0.016666782600714258,-0.024343946640499187,0.402894881398078,0.3824032068034409,0.40977995242281245,0.15007746339492103,0.38916844043146204,0.015170594926216311,-0.08834606185457577,0.064936897913261,0.13956497587049926,24.32143985281681,0.31579367818125675,0.0803989237144169,0.1343882220227713,0.2148085973420741,0.41897690375066426,0.3182139352670776,0.26506614718778526,0.01927131830726076,0.013941616924681047,-0.04743416490904345,17.647802509644478
18,1.2433983681799479,0.10172635599340198,0.21599107206308438,0.25398877279271775,0.3731461001533961,0.3588793098196179,0.04468901079538169,-0.08030974189857688,0.37111995510210366,0.3120767165018774,0.018826207694929407,0.14775936834222,0.2947238683277548,0.046240304995575604,-0.03498242839408866,0.4837127311131028,0.06172195319473959,0.42238664610531673,0.47679309234026634,0.33879383382160183,0.03309236021457032,-0.04241442382303338,0.06377926668789034,0.19472894298471013,54.70990969311512,0.36340255185378423,0.4695757302846671,0.15705010191206498,0.3115695741807923,0.3050862451102737,0.29266207390331805,0.1976747144386377,0.07304706065450849,0.023941101426615596,-0.015430412467820717,21.866615725846493
19,9.936658383071935,0.4299871264316321,0.499616515898246,0.21652369673282507,0.2584009736070227,0.4563170013305425,0.006441058176295799,-0.0255015753614085,0.1632840347464188,0.18537125420490974,0.11864521443126738,0.4958753698649486,0.17641032972083795,0.045787414728677284,-0.08001097497467624,0.1386570389856543,0.23534467864603248,0.4963330476299199,0.05182724232511748,0.056565875223581474,0.0293072960769051,-0.0071306425367129445,0.06532941640122612,0.24248559947347453,40.10615645002841,0.47868242571939723,0.16259774772042132,0.010035078659069167,0.4409337580155809,0.10924109513922442,0.4970426536446775,0.3305812268478811,0.1701107838676054,0.04530262503656471,-0.08999287234093362,18.44761536547781
20,2.2699954154264024,0.270732414096066,0.13701822442589423,0.010298379717541745,0.3473003634112958,0.3297059610442589,0.012439275393772738,-0.060908233721931125,0.2398723240050967,0.497745384098629,0.08774081347511332,0.16380286413092815,0.3090834405312227,0.01980419363405767,-0.00999575189081231,0.3001760587238811,0.027293941133969053,0.16079254341639493,0.23636248064255294,0.3785866876836811,0.02510930731814376,-0.03624556530943717,0.0333896879525419,0.010473912683091086,34.27292388616227,0.09447991598443457,0.2583270513388071,0.46173062806378806,0.2838641583335304,0.30585048305641066,0.13560383603490478,0.2108296020348156,0.36028007134096734,0.03921841418090939,-0.06299771885406469,9.247638888733787
21,1.4164037399477674,0.11760331269439041,0.026883885946486136,0.2569755893618724,0.4860700169497512,0.30057329739066796,0.04376073356345859,-0.05778487465588556,0.2393588221633916,0.3568384696953263,0.020517172927764345,0.33150837066979366,0.2954145831642892,0.04178565578655563,-0.052785326995392026,0.30780491587614944,0.07042070183331904,0.3608075669798819,0.32859293754150654,0.015839295525360175,0.03322940431149641,-0.016829518116505918,0.055031243912533265,0.01862939296763455,70.88805939271025,0.4302723181127256,0.2715984936214271,0.11140701436890042,0.23444205699277548,0.30098406874276745,0.43660820778771575,0.34770047170531115,0.10693515750264468,0.005007482122178945,-0.0626572224231258,25.532003330162294
