test,loss,PleuWT_k_closed,PleuWT_k_ini,PleuWT_k_off,PleuWT_k_on,PleuWT_k_open,PleuWT_spread,PleuWT_superhelical_op,bridge_off,bridge_on,gyrase_concentration,lacI_k_off,lacI_k_on,leakage,tetA_k_closed,tetA_k_ini,tetA_k_off,tetA_k_on,tetA_k_open,tetA_spread,tetA_superhelical_op,topoI_concentration
0,6.839727908603679,0.39369612516301533,0.34617006077427975,0.31868161532145833,0.014150293960344038,0.0886246271274742,0.04118291120210987,-0.006993765316022513,0.06325860796835006,0.09928892809794719,23.37185421601203,0.023661012122927583,0.15921051929418883,0.22316893241498037,0.4566029463489684,0.4651227478000695,0.3128861491504021,0.48478709118831337,0.4765519583045883,0.02522667228261767,-0.021425216122308355,32.15795904489843
1,8.196800073543013,0.31552680451449727,0.3423158040703807,0.27824374838261207,0.07703776378555793,0.33982590996718726,0.010058999174684374,-0.04988185760612584,0.05481275259750996,0.07963374225511131,23.025650462777282,0.42694061923675997,0.17827598793106728,0.40348006259038355,0.1383504828174422,0.37390876169056075,0.030429261005967843,0.08506395665455792,0.09564771148901986,0.03199927727175062,-0.01300633331647652,12.13814633312364
2,9.527034451603553,0.4838198932245059,0.4823433921645314,0.3233852457644953,0.2973671206097658,0.4388542714873381,0.02186944768791405,-0.014988507990880834,0.0639102106058287,0.3911957269099574,41.46189982000721,0.4116992232677927,0.26753837211475834,0.11936357336112882,0.22500669949376512,0.07493355593660801,0.3566787155894704,0.37784492881059994,0.08545869660375191,0.00975699831639272,-0.026919663190403578,17.793624232096583
3,1.7272215438019423,0.09815428342313687,0.1256316356767607,0.0912632833453757,0.40815252454148176,0.37054251520212517,0.048473084948797956,-0.003027796407188532,0.034958119505771094,0.4952478552530298,58.59619043315965,0.11994195021326647,0.41173322814440294,0.17707779592468592,0.3009059615555931,0.19742351344868622,0.1034167580019715,0.3208355972373744,0.16857791132661462,0.028273516708919155,-0.023741217461751077,29.188955468681765
4,11.553700466307848,0.1424558566249222,0.27514494858194144,0.055457699019551165,0.49353048974270747,0.39912471651960973,0.012174316654012314,-0.026914131940213595,0.0026219911734280932,0.028153579640068552,70.12156123480152,0.4480442877399304,0.21635452729390695,0.14499063788762173,0.46110916889396414,0.4143750278443087,0.3217566694882275,0.27011028791849745,0.22066199655822932,0.02011090009836323,-0.06284795114975285,15.263790220832082
5,9.807908272987717,0.24862488676965316,0.040202841707701484,0.4914153401744924,0.07953793800919363,0.030467553982208267,0.009805890093725214,-0.024303489903654385,0.005146776050539643,0.23414538893997555,60.764220074376055,0.21551818350637328,0.1694265321145472,0.42750518651429287,0.04834504721298948,0.355714291440587,0.44366954251544793,0.3036168879503881,0.445394745166163,0.035503160634876685,-0.07413100962741553,22.731794619964507
6,172586.3849923433,0.12145761121278024,0.0671109935765515,0.4944427190107964,0.14811319853117028,0.31964514836798896,0.009197637354238473,-0.08505813054029251,0.07723463429164393,0.10630168771611281,46.45115351122958,0.1848205243199022,0.15146518850966045,0.3058357745431385,0.12381091008121957,0.40288288849484327,0.14631211056189086,0.15025309377357102,0.24453399373216494,0.039785882615717694,-0.05566004962753801,29.454165303123332
7,4.518268258115822,0.20037509700172823,0.08140689477248302,0.06780470075569077,0.020199627529980287,0.33903100737671044,0.026949289854308507,-0.05904263604159626,0.04642567419777168,0.3659453007985603,78.79727495876064,0.12477091864123085,0.29454604585744265,0.1937957899427395,0.25291921940464207,0.0739809090437086,0.4585674825191022,0.023370451115098733,0.03329055628290821,0.03925582135642716,-0.03786615401496697,17.10074577118923
8,1.5942146889757989,0.38051921890674795,0.3430106823728356,0.08281595855624851,0.36780216635929736,0.021274034836307243,0.04506345039830538,-0.09756885849638307,0.057910387739518156,0.14510320959321155,86.28917485028879,0.3555803034189285,0.2179968749079609,0.48575680639420005,0.020682277325579958,0.3180763465024831,0.10206658927722172,0.42363234241055137,0.4749906829641651,0.012793230862588911,-0.06496269798251478,17.35886088948138
9,402.99586163267145,0.03277115371910792,0.1811022806768685,0.18896041374877617,0.4252966037553226,0.20769146000750072,0.0052175356430950665,-0.033009767707686974,0.05200187185635121,0.17581053836485114,88.36527648453564,0.2826579686731426,0.26624018956910595,0.3265829227988995,0.41319939899937014,0.12727722354129462,0.3914098246883518,0.3047602386887441,0.30991386672985527,0.04758317949137667,-0.046205668014301995,15.080346448408443
