test,loss,PleuWT_k_closed,PleuWT_k_ini,PleuWT_k_off,PleuWT_k_on,PleuWT_k_open,PleuWT_spread,PleuWT_superhelical_op,antitet_k_closed,antitet_k_ini,antitet_k_off,antitet_k_on,antitet_k_open,antitet_spread,antitet_superhelical_op,bla_k_closed,bla_k_ini,bla_k_off,bla_k_on,bla_k_open,bla_spread,bla_superhelical_op,bridge_off,bridge_on,gyrase_concentration,lacI_k_off,lacI_k_on,leakage,tetA_k_closed,tetA_k_ini,tetA_k_off,tetA_k_on,tetA_k_open,tetA_spread,tetA_superhelical_op,topoI_concentration
0,4.314017393620996,0.36621215610203756,0.1018356941360389,0.13266592553998305,0.3348102642379727,0.31171040312512627,0.013496841044409565,-0.07074144291514563,0.45006216142565103,0.29564405131234134,0.299721072373851,0.31912860014908534,0.35403801496598886,0.018711699057000583,-0.031118623924508412,0.47498419347965126,0.2678121485862943,0.21920248603031114,0.4655248209718619,0.3152256750954769,0.01422240373848424,-0.010928625554421367,0.07997821057700545,0.21080484423042065,36.59113871918067,0.3771625026127733,0.3471065886082595,0.19522885378453989,0.05653835981689176,0.4063147615710915,0.16796004769561393,0.394067784402347,0.12443018568182673,0.024787354247957104,-0.08419584505558127,8.681991184630048
1,3.4973796397418946,0.4950479129966512,0.33036783230849437,0.22080540456754635,0.08105925397980325,0.14265309831561218,0.02602154751670107,-0.028061461241958782,0.22141741358215608,0.43822665415632595,0.025215563428310595,0.17084304775328318,0.1164501367397123,0.03723224206703351,-0.060853450746781,0.16380322636641828,0.42136963167056923,0.22385218911985874,0.4061232309726145,0.08326198977699258,0.0219647408773914,-0.08986032507419298,0.043168058861093324,0.10890642245589233,83.6755759149443,0.18205482596764563,0.09239002143264007,0.09546032957673171,0.15639823923182844,0.35305695594916214,0.3941382981327814,0.19764917705757587,0.26322489200651017,0.03719864521694261,-0.09764700882604259,20.948646217731607
2,1.169131305721008,0.02462749070569515,0.2376783313701152,0.117178399336704,0.22633934219534255,0.42817461984345867,0.046008889658776767,-0.06031083789936022,0.2229235564950374,0.23091630379882072,0.10445426214434265,0.32956839354992584,0.25714034916028133,0.04318396005116497,-0.030913239678491772,0.3238085623689655,0.2841436852424398,0.4975413374161235,0.15294298905012751,0.15926377693397473,0.025902124953269007,-0.057005889109643874,0.03668653156993699,0.14543004335266935,59.43852035363868,0.3482934441219723,0.1896396718226476,0.07637684693521593,0.1824576103899156,0.4504620368715025,0.49674695514368405,0.47648943634240265,0.03828172751314317,0.036233382415713104,-0.06166770958441399,28.208877478447032
3,3.219511928057357,0.045105937931376426,0.22530196715406173,0.4110107887413247,0.08507983631051923,0.14560898220755894,0.04237094073895204,-0.08449209610866959,0.3913181733855364,0.3127181442901261,0.2298990247315266,0.11640000713790784,0.06373948455523717,0.015480816082352876,-0.03621071696990823,0.3354274148702438,0.11289859473226711,0.4346664903967356,0.276106647570028,0.43044577077031027,0.0319355450872645,-0.03471213181608461,0.02333897962357284,0.2442903531608141,80.75794444500524,0.33748983573695285,0.20090665641418642,0.3052510780736449,0.07425879903137854,0.054610278256824546,0.1394722226341687,0.1912129128400701,0.010944033535249009,0.03627484795850514,-0.050256773876962424,13.179296922944998
4,3.215650068762073,0.2676864750160728,0.31804366813546087,0.051463862204131974,0.3957445888225943,0.40392872077856057,0.026961663860711093,-0.06335028828330493,0.05568358628781397,0.4956864203271534,0.05727906433124305,0.2735250106590733,0.4089943490384034,0.024633979829711224,-0.09750922005423016,0.2564208632231573,0.012961572550784858,0.47670505904426097,0.3119536556727589,0.4383584998086809,0.042310790560283446,-0.08567910929328026,0.08864111226083297,0.20326103413189597,45.63560182646125,0.19855282100329186,0.3370240960325271,0.06635773033546123,0.3820214481711998,0.4470345397190864,0.07233593159213512,0.11830049780048126,0.38869468126425444,0.02784681025242081,-0.03963724493346646,19.37736239286603
5,3.627146090561176,0.019784220189225273,0.36551748167100107,0.32518790795963837,0.32242232405941,0.48010386659904764,0.025497926354503896,-0.02210533533804028,0.04117112553697417,0.36869726096295097,0.13918526796990952,0.256658945534776,0.10421589782034668,0.03700682021416011,-0.08380227119187479,0.04508124192488476,0.3600275310138458,0.06610710726891934,0.451346877077008,0.054572738044889074,0.03921947240610763,-0.050746945569480555,0.03737404399610638,0.4167714901460498,40.90961521405632,0.17736274999112706,0.12384837083517997,0.35805219509933894,0.08319125850615322,0.31060075909536633,0.07254936135695142,0.07596270499704603,0.47824322648007206,0.010278625891852052,-0.059670502419567895,31.42724548673638
6,25.439757487121863,0.10340768317124482,0.43390335346723025,0.09963264570397383,0.3219551974606459,0.29037208367874373,0.006172256344219041,-0.06557942451482947,0.05988966885314451,0.09350415972445268,0.11812081517179003,0.293661176740812,0.23252204313620958,0.04726665940132627,-0.06694612455718577,0.25137314976421,0.44961941668703215,0.022680285471481335,0.029290762232960225,0.18518963039579367,0.014538219003056806,-0.011811094366313918,0.004145079469672675,0.43483796523552304,69.60272083569306,0.16691231324304542,0.2860617780457452,0.4925997379035966,0.11364196826619048,0.14126178513400098,0.07223920378017006,0.22091135937053547,0.02892022966426551,0.037904444921315034,-0.03632449827180827,32.23589028073659
7,1.6994396661011621,0.41744053393585034,0.2356058517777684,0.46154192555732454,0.3820262126896806,0.36254068544509893,0.03253477664429497,-0.047255533301711686,0.3668224075430366,0.2583751782097308,0.38617786853418096,0.48895927782171156,0.09094360536647823,0.012231237831641666,-0.07879862099468277,0.023211033872038656,0.2235586379698136,0.1752007043495293,0.43139310970261124,0.3256723085562122,0.013653737579426988,-0.08935584828182819,0.09027142624113954,0.3941568068743135,66.6464581196875,0.38579967656551345,0.3941867190437761,0.10465402097018962,0.26584116043298445,0.10671582497990982,0.028438893988962877,0.23265667002575793,0.3896670842992153,0.04379575291519896,-0.07127437596245227,22.60889900001125
8,0.6509009137611462,0.19835337233202496,0.2920407371243799,0.49949726061784033,0.4100030516244235,0.011415038711321091,0.033653702914454735,-0.04749431406693471,0.32831601111138564,0.3986212367346146,0.03365490428712316,0.13600688742273828,0.45058239721652243,0.04794747603041711,-0.03871114473932215,0.12150743565663712,0.2968702719836697,0.1939258510708419,0.1685696805493179,0.1697010121361274,0.04639914323095745,-0.054474213594308124,0.03637420424577635,0.27881604648394687,22.41096539197372,0.45477291545919046,0.3024812238152535,0.4556638411570453,0.23692419901910577,0.08339736886634509,0.01615317128471728,0.3396754709468665,0.2009675898859712,0.008691683431652397,-0.04590413091718401,14.334251391417975
9,1.326824940126941,0.305644810886077,0.3768425817899066,0.07161526061744275,0.3214594774027378,0.0380383137988835,0.021350340209644367,-0.0492916604649731,0.232979616283724,0.36923253308599246,0.280676456674056,0.07054034361829872,0.08579631053758886,0.008347461312841233,-0.09067785360598386,0.19840784118931465,0.038073118275970735,0.11328846163567774,0.26703767456495714,0.4283822169666259,0.04192288297380081,-0.040208000613739595,0.02527228801836181,0.42029482664028833,68.25322539359173,0.09124594857131138,0.21409845885015452,0.132492265888393,0.4837201460593218,0.10328301567151764,0.0180483103428467,0.19725030072203992,0.3457706715072663,0.01810301807536262,-0.07613913798866831,11.89977202026704
